Well,Chl:630,Chl:663,Chl:750
A1,0.25,0.259,0.226
B1,0.051,0.051,0.05
C1,0.034,0.034,0.034
D1,0.049,0.048,0.047
E1,0.048,0.047,0.047
F1,0.063,0.063,0.061
G1,0.034,0.034,0.034
H1,0.039,0.039,0.039
A2,0.308,0.323,0.288
B2,0.043,0.043,0.042
C2,0.034,0.034,0.034
D2,0.039,0.039,0.038
E2,0.069,0.068,0.067
F2,0.036,0.036,0.036
G2,0.047,0.047,0.047
H2,0.053,0.053,0.052
A3,0.293,0.304,0.273
B3,0.044,0.044,0.043
C3,0.039,0.039,0.039
D3,0.039,0.039,0.039
E3,0.052,0.051,0.05
F3,0.053,0.053,0.052
G3,0.047,0.047,0.047
H3,0.059,0.059,0.058
A4,0.239,0.252,0.222
B4,0.037,0.037,0.037
C4,0.04,0.04,0.04
D4,0.04,0.04,0.04
E4,0.04,0.04,0.04
F4,0.041,0.041,0.041
G4,0.041,0.041,0.041
H4,0.057,0.057,0.056
A5,0.254,0.267,0.235
B5,0.038,0.038,0.038
C5,0.036,0.036,0.035
D5,0.047,0.047,0.047
E5,0.043,0.043,0.043
F5,0.039,0.039,0.039
G5,0.053,0.053,0.053
H5,0.051,0.05,0.05
A6,0.271,0.285,0.252
B6,0.049,0.049,0.048
C6,0.039,0.039,0.038
D6,0.043,0.042,0.042
E6,0.035,0.035,0.035
F6,0.047,0.047,0.046
G6,0.038,0.038,0.038
H6,0.07,0.07,0.069
A7,0.174,0.187,0.165
B7,0.035,0.035,0.035
C7,0.036,0.036,0.035
D7,0.046,0.046,0.046
E7,0.033,0.033,0.033
F7,0.064,0.063,0.062
G7,0.112,0.11,0.109
H7,0.072,0.072,0.072
A8,0.209,0.221,0.195
B8,0.034,0.034,0.034
C8,0.034,0.035,0.034
D8,0.038,0.038,0.038
E8,0.047,0.047,0.047
F8,0.076,0.076,0.075
G8,0.037,0.037,0.037
H8,0.053,0.053,0.052
A9,0.216,0.23,0.203
B9,0.038,0.038,0.037
C9,0.042,0.042,0.041
D9,0.039,0.039,0.038
E9,0.032,0.032,0.032
F9,0.06,0.059,0.058
G9,0.059,0.059,0.059
H9,0.06,0.06,0.06
A10,0.205,0.22,0.188
B10,0.032,0.032,0.032
C10,0.035,0.035,0.034
D10,0.03,0.03,0.03
E10,0.036,0.036,0.035
F10,0.082,0.082,0.081
G10,0.092,0.092,0.092
H10,0.048,0.048,0.047
A11,0.187,0.198,0.168
B11,0.032,0.032,0.032
C11,0.041,0.041,0.041
D11,0.031,0.031,0.031
E11,0.042,0.043,0.042
F11,0.051,0.051,0.051
G11,0.053,0.052,0.051
H11,0.051,0.051,0.051
A12,0.208,0.218,0.186
B12,0.038,0.038,0.038
C12,0.039,0.039,0.039
D12,0.041,0.041,0.04
E12,0.033,0.033,0.033
F12,0.059,0.059,0.059
G12,0.095,0.095,0.091
H12,0.056,0.056,0.055
