Well,Chl:630,Chl:663,Chl:750
A1,0.061,0.073,0.051
B1,0.034,0.034,0.034
C1,0.033,0.032,0.033
D1,0.032,0.032,0.031
E1,0.034,0.034,0.034
F1,0.044,0.044,0.043
G1,0.041,0.041,0.041
H1,0.04,0.04,0.04
A2,0.072,0.086,0.064
B2,0.035,0.035,0.035
C2,0.03,0.03,0.03
D2,0.032,0.032,0.032
E2,0.083,0.082,0.082
F2,0.041,0.041,0.041
G2,0.038,0.038,0.037
H2,0.063,0.063,0.062
A3,0.058,0.072,0.05
B3,0.032,0.032,0.032
C3,0.031,0.031,0.032
D3,0.028,0.028,0.028
E3,0.031,0.031,0.031
F3,0.033,0.033,0.032
G3,0.033,0.033,0.033
H3,0.066,0.065,0.065
A4,0.09,0.101,0.08
B4,0.031,0.031,0.032
C4,0.032,0.032,0.032
D4,0.03,0.03,0.03
E4,0.031,0.031,0.031
F4,0.032,0.032,0.032
G4,0.062,0.062,0.062
H4,0.051,0.051,0.05
A5,0.126,0.146,0.127
B5,0.029,0.029,0.029
C5,0.028,0.028,0.029
D5,0.031,0.031,0.03
E5,0.033,0.033,0.033
F5,0.04,0.04,0.04
G5,0.043,0.043,0.044
H5,0.054,0.054,0.053
A6,0.094,0.109,0.084
B6,0.031,0.031,0.031
C6,0.03,0.029,0.03
D6,0.031,0.031,0.031
E6,0.037,0.037,0.037
F6,0.038,0.038,0.037
G6,0.035,0.035,0.034
H6,0.064,0.064,0.063
A7,0.16,0.122,0.1
B7,0.03,0.03,0.03
C7,0.029,0.029,0.029
D7,0.031,0.031,0.03
E7,0.03,0.03,0.03
F7,0.04,0.04,0.039
G7,0.03,0.03,0.029
H7,0.055,0.055,0.053
A8,0.112,0.126,0.1
B8,0.097,0.097,0.097
C8,0.033,0.034,0.035
D8,0.031,0.031,0.03
E8,0.031,0.031,0.031
F8,0.035,0.035,0.035
G8,0.03,0.03,0.03
H8,0.041,0.042,0.041
A9,0.07,0.082,0.06
B9,0.03,0.03,0.031
C9,0.061,0.061,0.061
D9,0.031,0.031,0.03
E9,0.032,0.032,0.032
F9,0.036,0.036,0.036
G9,0.032,0.032,0.032
H9,0.04,0.04,0.04
A10,0.058,0.061,0.049
B10,0.03,0.03,0.03
C10,0.033,0.032,0.032
D10,0.029,0.029,0.029
E10,0.03,0.03,0.03
F10,0.036,0.036,0.036
G10,0.03,0.03,0.03
H10,0.042,0.042,0.042
A11,0.101,0.107,0.094
B11,0.032,0.033,0.034
C11,0.033,0.033,0.032
D11,0.029,0.029,0.029
E11,0.039,0.039,0.038
F11,0.032,0.032,0.032
G11,0.033,0.033,0.033
H11,0.032,0.032,0.032
A12,0.064,0.073,0.06
B12,0.036,0.036,0.037
C12,0.04,0.04,0.039
D12,0.036,0.036,0.035
E12,0.031,0.031,0.031
F12,0.035,0.035,0.035
G12,0.043,0.043,0.042
H12,0.043,0.043,0.043
