Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST_C,Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2_SW_uatm,pCO2 Air (sat) uatm,dpCO2
CRESCENT_64W_32N,32.401,-64.798,4/17/2013,0:17,360.1,2,6.52,404,2,6.38,1023.4,19.9,100.38,19.698,36.526,362.5,406.6,356.9,400.3,-43.4,358.1,401.7,-43.6
CRESCENT_64W_32N,32.401,-64.798,4/17/2013,3:17,359.2,2,6,404.9,2,5.89,1023.4,19.9,100.24,19.695,36.527,361.3,407.3,355.7,401,-45.3,356.9,402.4,-45.4
CRESCENT_64W_32N,32.401,-64.798,4/17/2013,6:17,360.1,2,6.09,404.9,2,5.98,1022,19.9,100.16,19.716,36.531,362.3,407.4,356.2,400.5,-44.3,357.4,401.8,-44.5
CRESCENT_64W_32N,32.401,-64.798,4/17/2013,9:17,370.5,2,6.07,404.6,2,5.97,1021.9,20,99.74,19.711,36.529,372.7,407,366.4,400.1,-33.7,367.7,401.5,-33.8
CRESCENT_64W_32N,32.401,-64.798,4/17/2013,12:17,366.1,2,6.31,403.9,2,6.31,1023.4,20.1,99.73,19.738,36.529,368.5,406.4,362.7,400.1,-37.4,363.9,401.4,-37.5
CRESCENT_64W_32N,32.401,-64.798,4/17/2013,15:17,367.9,2,6.59,402.8,2,6.67,1023.1,20.5,99.72,19.896,36.533,370.4,405.5,364.4,399,-34.6,365.7,400.4,-34.7
CRESCENT_64W_32N,32.401,-64.798,4/17/2013,18:17,364,2,6.75,403.4,2,6.68,1022.3,21.3,100.01,20.136,36.533,366.5,406.1,360.2,399.1,-38.9,361.4,400.4,-39
CRESCENT_64W_32N,32.401,-64.798,4/17/2013,21:17,360.7,2,6.73,403,2,6.39,1022.5,21.9,100.36,20.419,36.533,363.1,405.6,356.8,398.5,-41.7,358,399.9,-41.8
CRESCENT_64W_32N,32.401,-64.798,4/18/2013,0:17,363.3,2,6.57,403.7,2,6.29,1023.2,21.9,100.29,20.179,36.534,365.7,406.3,359.7,399.6,-39.9,361,401,-40
CRESCENT_64W_32N,32.401,-64.798,4/18/2013,3:17,366.5,2,6.6,402.8,2,6.38,1023.6,21.6,100.08,19.889,36.532,368.9,405.4,363.2,399.1,-35.9,364.4,400.4,-36
CRESCENT_64W_32N,32.401,-64.798,4/18/2013,6:17,372.2,2,6.56,402.8,2,6.36,1022.9,21.4,99.78,19.969,36.538,374.7,405.4,368.5,398.7,-30.2,369.8,400.1,-30.3
CRESCENT_64W_32N,32.401,-64.798,4/18/2013,9:17,375.4,2,6.53,402.9,2,6.36,1023.6,21.2,99.38,20.076,36.541,377.8,405.5,371.8,399,-27.2,373.1,400.4,-27.3
CRESCENT_64W_32N,32.401,-64.798,4/18/2013,12:17,374.2,2,6.76,402.5,2,6.76,1025.5,21.2,99.27,20.101,36.541,376.8,405.3,371.5,399.6,-28.1,372.7,401,-28.2
CRESCENT_64W_32N,32.401,-64.798,4/18/2013,15:17,371.6,2,7.03,401.9,2,7,1026,21.8,99.48,20.279,36.541,374.3,404.8,369.1,399.2,-30.1,370.4,400.6,-30.2
CRESCENT_64W_32N,32.401,-64.798,4/18/2013,18:17,372.2,2,7.51,400.9,2,7.34,1025.6,23.1,99.74,20.577,36.542,375,403.9,369.5,398,-28.5,370.7,399.3,-28.6
CRESCENT_64W_32N,32.401,-64.798,4/18/2013,21:17,367.8,2,7.9,400.6,2,7.27,1025.9,24.1,100.32,20.788,36.544,370.7,403.5,365.3,397.7,-32.3,366.6,399,-32.4
CRESCENT_64W_32N,32.401,-64.798,4/19/2013,0:17,366.4,2,7.04,401.3,2,6.4,1027.2,24.2,100.38,20.567,36.548,369,403.9,364.2,398.7,-34.5,365.4,400,-34.6
CRESCENT_64W_32N,32.401,-64.798,4/19/2013,3:17,368.6,2,6.91,401.8,2,6.45,1027,23.3,100.15,20.359,36.547,371.2,404.4,366.4,399.2,-32.8,367.6,400.5,-32.9
CRESCENT_64W_32N,32.401,-64.798,4/19/2013,6:17,375.5,2,6.73,402.5,2,6.37,1026.5,22.4,99.71,20.113,36.541,378,405.1,373.1,399.8,-26.7,374.3,401.1,-26.8
CRESCENT_64W_32N,32.401,-64.798,4/19/2013,9:17,379.7,2,6.58,402.8,2,6.28,1026.8,21.8,99.46,20.132,36.549,382.2,405.4,377.3,400.2,-22.9,378.6,401.6,-22.9
