expocode: 316420160813
vessel name: CRESCENT_64W_32N
"PIs: Sutton, A.; Andersson, A."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRESCENT_64W_32N,32.401,-64.798,8/13/2016,15:17,453.6,2,11.09,388.1,2,9.55,1020.6,29.6,99.66,-999,-999,458.7,391.8,-999,-999,-999,-999,-999,-999
CRESCENT_64W_32N,32.401,-64.798,8/13/2016,18:17,461.1,2,12.36,386.5,2,10.29,1019.7,30.9,99.8,-999,-999,466.8,390.6,-999,-999,-999,-999,-999,-999
CRESCENT_64W_32N,32.401,-64.798,8/13/2016,21:17,449.5,2,12.75,386.4,2,10.48,1019,32,100.69,-999,-999,455.3,390.4,-999,-999,-999,-999,-999,-999
CRESCENT_64W_32N,32.401,-64.798,8/14/2016,0:17,456.2,2,10.25,387.8,2,8.86,1019.8,31.9,100.82,-999,-999,461,391.3,-999,-999,-999,-999,-999,-999
CRESCENT_64W_32N,32.401,-64.798,8/14/2016,3:17,468.7,2,10.18,387.6,2,9.34,1020.7,30.6,100.19,-999,-999,473.5,391.3,-999,-999,-999,-999,-999,-999
CRESCENT_64W_32N,32.401,-64.798,8/14/2016,6:17,455.4,2,10,387.8,2,9.19,1020.1,29.4,100.2,-999,-999,460,391.4,-999,-999,-999,-999,-999,-999
CRESCENT_64W_32N,32.401,-64.798,8/14/2016,9:17,490.1,2,10.06,387.9,2,9.32,1020.8,28.6,98.75,-999,-999,495,391.5,-999,-999,-999,-999,-999,-999
CRESCENT_64W_32N,32.401,-64.798,8/14/2016,12:17,464.4,2,11.02,387.5,2,9.94,1021.9,28.5,98.8,-999,-999,469.6,391.4,-999,-999,-999,-999,-999,-999
CRESCENT_64W_32N,32.401,-64.798,8/14/2016,15:17,465,2,12.22,386.6,2,10.35,1021.7,30.3,99.04,-999,-999,470.7,390.6,-999,-999,-999,-999,-999,-999
CRESCENT_64W_32N,32.401,-64.798,8/14/2016,18:17,473.8,2,13.2,387,2,10.39,1021.2,32.5,99.26,-999,-999,480.1,391.1,-999,-999,-999,-999,-999,-999
