Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST_C,Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2_SW_uatm,pCO2 Air (sat) uatm,dpCO2
CRESCENT_64W_32N,32.401,-64.798,2/29/2012,6:17,344.1,2,6.16,396.5,2,5.71,1025.3,21.2,100.38,19.772,36.659,346.2,398.8,341.5,393.3,-51.8,342.6,394.7,-52
CRESCENT_64W_32N,32.401,-64.798,2/29/2012,9:17,342.9,2,6.01,398.4,2,5.54,1025.1,20.6,100.22,19.749,36.667,345,400.6,340.2,395,-54.8,341.3,396.4,-55
CRESCENT_64W_32N,32.401,-64.798,2/29/2012,12:17,339.6,2,6.14,399.1,2,5.67,1026.9,20.1,100.26,19.707,36.653,341.7,401.4,337.6,396.6,-59,338.7,397.9,-59.2
CRESCENT_64W_32N,32.401,-64.798,2/29/2012,15:17,342.3,2,6.57,397.9,2,6.45,1027.1,20.9,100.38,19.851,36.649,344.6,400.5,340.4,395.7,-55.2,341.6,397,-55.4
CRESCENT_64W_32N,32.401,-64.798,2/29/2012,18:17,339.8,2,6.76,396,2,6.61,1024.9,22.5,100.78,20.132,36.654,342.1,398.6,337.1,392.8,-55.7,338.3,394.1,-55.9
CRESCENT_64W_32N,32.401,-64.798,2/29/2012,21:17,337,2,6.1,396.5,2,5.87,1024.8,23.5,101.25,20.213,36.659,339.1,398.8,334.1,392.9,-58.8,335.2,394.2,-59
CRESCENT_64W_32N,32.401,-64.798,3/1/2012,0:17,343.3,2,6.29,397.6,2,5.6,1024.8,22.8,100.97,19.985,36.661,345.5,399.8,340.5,394,-53.5,341.6,395.3,-53.7
CRESCENT_64W_32N,32.401,-64.798,3/1/2012,3:17,344.4,2,6.29,396.8,2,5.96,1022.9,21.8,100.75,19.836,36.663,346.6,399.2,340.9,392.7,-51.8,342.1,394.1,-52
CRESCENT_64W_32N,32.401,-64.798,3/1/2012,6:17,347.8,2,6.23,396.4,2,5.95,1021.1,21.2,100.42,19.817,36.669,350,398.8,343.7,391.7,-47.9,344.9,393,-48.1
CRESCENT_64W_32N,32.401,-64.798,3/1/2012,9:17,348.4,2,6.18,395.7,2,5.89,1019.6,20.8,100.2,19.737,36.67,350.5,398,343.8,390.3,-46.6,344.9,391.7,-46.7
