Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST_C,Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2_SW_uatm,pCO2 Air (sat) uatm,dpCO2
CRESCENT_64W_32N,32.401,-64.798,11/27/2010,3:17,371.1,2,5.37,391.9,2,4.76,1016.2,23.2,99.26,21.158,36.72,373.1,393.8,363.9,384.1,-20.2,365.2,385.4,-20.2
CRESCENT_64W_32N,32.401,-64.798,11/27/2010,6:17,377.6,2,5.35,391.6,2,4.84,1014.6,22.4,98.92,20.992,36.726,379.6,393.5,369.7,383.3,-13.6,371,384.6,-13.6
CRESCENT_64W_32N,32.401,-64.798,11/27/2010,9:17,375.5,2,5.38,391.3,2,4.96,1014.1,22.1,98.88,20.921,36.724,377.5,393.2,367.6,382.9,-15.3,368.8,384.2,-15.4
CRESCENT_64W_32N,32.401,-64.798,11/27/2010,12:17,369.7,2,5.65,391.2,2,5.29,1014.6,21.9,98.98,20.806,36.726,371.8,393.3,362.3,383.2,-20.9,363.5,384.5,-21
CRESCENT_64W_32N,32.401,-64.798,11/27/2010,15:17,364.3,2,5.81,391.2,2,5.48,1014,22,99.46,20.885,36.728,366.5,393.3,356.8,382.9,-26.2,358,384.2,-26.2
CRESCENT_64W_32N,32.401,-64.798,11/27/2010,18:17,362.9,2,5.86,391.3,2,5.58,1011.6,22.4,99.82,21.368,36.713,365.1,393.5,354.3,381.9,-27.6,355.5,383.2,-27.7
CRESCENT_64W_32N,32.401,-64.798,11/27/2010,21:17,366.3,2,5.79,391.3,2,5.6,1011.6,22.7,99.83,21.356,36.71,368.5,393.5,357.6,381.9,-24.3,358.8,383.2,-24.4
CRESCENT_64W_32N,32.401,-64.798,11/28/2010,0:17,369.8,2,5.7,389.2,2,5.55,1012.5,22.8,99.73,21.323,36.689,371.9,391.3,361.3,380.2,-18.9,362.5,381.4,-18.9
CRESCENT_64W_32N,32.401,-64.798,11/28/2010,3:17,370,2,5.8,389.2,2,5.67,1012.9,22.7,99.5,21.321,36.705,372.1,391.4,361.7,380.4,-18.7,362.9,381.7,-18.8
CRESCENT_64W_32N,32.401,-64.798,11/28/2010,6:17,375.2,2,5.73,390.2,2,5.59,1013.1,22.6,99.14,21.512,36.66,377.3,392.4,366.7,381.3,-14.7,367.9,382.6,-14.7
CRESCENT_64W_32N,32.401,-64.798,11/28/2010,9:17,377.8,2,5.55,393.1,2,5.34,1014.7,22.5,98.91,21.742,36.658,379.9,395.2,369.6,384.5,-14.9,370.9,385.8,-14.9
CRESCENT_64W_32N,32.401,-64.798,11/28/2010,12:17,367.5,2,5.18,393.4,2,4.88,1017.7,22.1,98.98,21.551,36.673,369.4,395.3,360.6,385.9,-25.3,361.8,387.2,-25.4
CRESCENT_64W_32N,32.401,-64.798,11/28/2010,15:17,364.1,2,5.64,392.6,2,4.94,1019.7,21.9,99.15,21.507,36.682,366.1,394.6,358.2,386,-27.8,359.4,387.3,-27.9
CRESCENT_64W_32N,32.401,-64.798,11/28/2010,18:17,355,2,5.29,392.2,2,4.61,1019,22.4,99.81,21.577,36.689,356.9,394,348.8,385.2,-36.3,350,386.4,-36.4
CRESCENT_64W_32N,32.401,-64.798,11/28/2010,21:17,361.5,2,4.74,394,2,4.15,1020.3,22.3,99.8,21.45,36.691,363.2,395.6,355.6,387.3,-31.7,356.8,388.6,-31.9
CRESCENT_64W_32N,32.401,-64.798,11/29/2010,0:17,363.2,2,4.68,393.9,2,4.08,1022.1,21.5,99.56,21.38,36.693,365,395.5,357.9,387.9,-30,359.2,389.2,-30.1
CRESCENT_64W_32N,32.401,-64.798,11/29/2010,3:17,362.5,2,4.77,393.9,2,4.18,1023.2,21.2,99.46,21.385,36.692,364.3,395.6,357.7,388.4,-30.7,358.9,389.7,-30.8
CRESCENT_64W_32N,32.401,-64.798,11/29/2010,6:17,362.5,2,5,394.8,2,4.15,1023.1,20.7,99.3,21.394,36.692,364.3,396.5,357.6,389.2,-31.6,358.8,390.5,-31.7
CRESCENT_64W_32N,32.401,-64.798,11/29/2010,9:17,361.3,2,4.71,395.2,2,4.13,1024.3,20.5,99.24,21.403,36.693,363,396.8,356.8,390,-33.3,358,391.4,-33.4
CRESCENT_64W_32N,32.401,-64.798,11/29/2010,12:17,359.4,2,4.84,394.8,2,4.23,1025.6,20.3,99.25,21.333,36.697,361.2,396.5,355.5,390.2,-34.7,356.7,391.6,-34.9
CRESCENT_64W_32N,32.401,-64.798,11/29/2010,15:17,355.8,2,5.22,394.9,2,4.71,1026.3,20.4,99.39,21.277,36.705,357.7,396.8,352.4,390.9,-38.5,353.5,392.2,-38.6
CRESCENT_64W_32N,32.401,-64.798,11/29/2010,18:17,353.7,2,4.86,394.1,2,4.33,1025.5,20.5,99.53,21.128,36.713,355.4,395.8,349.9,389.7,-39.8,351.1,391,-40
CRESCENT_64W_32N,32.401,-64.798,11/29/2010,21:17,354.7,2,4.58,393.8,2,4.13,1026.7,20.3,99.5,20.989,36.72,356.3,395.5,351.3,389.9,-38.5,352.5,391.2,-38.7
CRESCENT_64W_32N,32.401,-64.798,11/30/2010,0:17,353.7,2,4.62,393.4,2,3.92,1027.5,20,99.4,20.901,36.724,355.4,395,350.7,389.8,-39.1,351.9,391.1,-39.2
CRESCENT_64W_32N,32.401,-64.798,11/30/2010,3:17,352.7,2,4.79,394.1,2,4.33,1027.7,19.8,99.45,20.837,36.728,354.4,395.8,349.9,390.7,-40.8,351.1,392,-41
CRESCENT_64W_32N,32.401,-64.798,11/30/2010,6:17,353.1,2,4.71,394.2,2,4.22,1027.3,19.7,99.39,20.823,36.728,354.7,395.8,350,390.6,-40.6,351.2,391.9,-40.7
CRESCENT_64W_32N,32.401,-64.798,11/30/2010,9:17,355,2,4.56,393.4,2,4.12,1026.6,19.7,99.31,20.774,36.73,356.6,395,351.7,389.5,-37.9,352.9,390.9,-38
CRESCENT_64W_32N,32.401,-64.798,11/30/2010,12:17,352.4,2,4.97,393,2,4.38,1027.7,19.7,99.21,20.71,36.733,354.1,394.7,349.7,389.7,-40,350.9,391,-40.2
CRESCENT_64W_32N,32.401,-64.798,11/30/2010,15:17,353.6,2,5.07,392.6,2,4.42,1028,19.9,99.16,20.43,36.751,355.4,394.4,351.1,389.6,-38.5,352.3,391,-38.6
CRESCENT_64W_32N,32.401,-64.798,11/30/2010,18:17,352,2,4.99,392.6,2,4.23,1026.3,20.2,99.3,20.371,36.761,353.8,394.3,348.9,388.9,-39.9,350.1,390.2,-40.1
CRESCENT_64W_32N,32.401,-64.798,11/30/2010,21:17,349.9,2,4.8,392.7,2,3.84,1026.5,20.5,99.43,20.372,36.76,351.6,394.2,346.9,388.9,-42,348.1,390.2,-42.2
CRESCENT_64W_32N,32.401,-64.798,12/1/2010,0:17,352,2,4.86,392.5,2,4.04,1026.2,20.4,99.39,20.38,36.759,353.7,394.1,348.9,388.6,-39.8,350.1,390,-39.9
CRESCENT_64W_32N,32.401,-64.798,12/1/2010,3:17,351.4,2,4.81,392.5,2,3.72,1025.6,20.2,99.32,20.38,36.758,353.1,394,348,388.4,-40.4,349.2,389.7,-40.5
CRESCENT_64W_32N,32.401,-64.798,12/1/2010,6:17,352.7,2,4.96,392.2,2,4.2,1023.8,20.3,99.34,20.321,36.76,354.5,393.9,348.8,387.5,-38.7,350,388.9,-38.9
CRESCENT_64W_32N,32.401,-64.798,12/1/2010,9:17,357.4,2,4.57,392.4,2,3.97,1023.2,20.2,99.05,20.256,36.761,359,393.9,353.1,387.4,-34.4,354.3,388.7,-34.5
CRESCENT_64W_32N,32.401,-64.798,12/1/2010,12:17,356.1,2,5.23,392,2,4.3,1023.3,20,98.9,20.251,36.762,357.9,393.7,352.1,387.2,-35.1,353.3,388.5,-35.3
CRESCENT_64W_32N,32.401,-64.798,12/1/2010,15:17,354.1,2,5.49,391.7,2,4.55,1022.4,20.2,99,20.284,36.765,356,393.5,349.9,386.7,-36.8,351.1,388,-36.9
CRESCENT_64W_32N,32.401,-64.798,12/1/2010,18:17,351.6,2,5.38,391.7,2,4.29,1019.5,20.9,99.3,20.384,36.77,353.5,393.4,346.3,385.4,-39.1,347.5,386.7,-39.3
CRESCENT_64W_32N,32.401,-64.798,12/1/2010,21:17,353.1,2,5.04,392,2,3.88,1018.4,21.8,99.41,20.346,36.771,354.9,393.5,347.3,385.1,-37.8,348.5,386.4,-37.9
CRESCENT_64W_32N,32.401,-64.798,12/2/2010,0:17,353.4,2,5.02,390.9,2,4.05,1018.3,21.5,99.51,20.356,36.773,355.2,392.5,347.6,384.1,-36.5,348.8,385.4,-36.6
CRESCENT_64W_32N,32.401,-64.798,12/2/2010,3:17,355.9,2,4.89,391.7,2,3.77,1017.5,21,99.38,20.333,36.77,357.6,393.2,349.7,384.5,-34.8,350.9,385.8,-34.9
CRESCENT_64W_32N,32.401,-64.798,12/2/2010,6:17,356.5,2,4.64,391.8,2,3.88,1015.5,20.5,99.37,20.27,36.771,358.2,393.3,349.5,383.8,-34.3,350.7,385.1,-34.4
CRESCENT_64W_32N,32.401,-64.798,12/2/2010,9:17,359,2,4.52,391.8,2,3.8,1014.6,20,99.22,20.216,36.772,360.6,393.3,351.7,383.6,-31.9,352.9,384.9,-32
CRESCENT_64W_32N,32.401,-64.798,12/2/2010,12:17,362.5,2,5.07,391.6,2,4.32,1014.9,19.6,98.87,20.105,36.773,364.3,393.3,355.4,383.7,-28.3,356.6,385,-28.4
CRESCENT_64W_32N,32.401,-64.798,12/2/2010,15:17,355.5,2,5.45,392.1,2,4.62,1014.5,19.8,125.44,20.314,36.766,357.4,393.9,348.4,384,-35.6,349.6,385.3,-35.7
CRESCENT_64W_32N,32.401,-64.798,12/2/2010,18:17,356.1,2,5.65,391.6,2,4.89,1011.6,20.5,98.93,20.342,36.757,358.2,393.6,348.1,382.5,-34.4,349.3,383.8,-34.5
CRESCENT_64W_32N,32.401,-64.798,12/2/2010,21:17,354.3,2,5.39,392.2,2,4.99,1010.3,21,99.55,20.293,36.766,356.2,394.2,345.8,382.7,-36.9,347,384,-37
CRESCENT_64W_32N,32.401,-64.798,12/3/2010,0:17,361.1,2,5.5,397.4,2,5.2,1010.5,21.1,99.55,20.207,36.766,363.1,399.5,352.6,388,-35.3,353.8,389.3,-35.5
