Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST_C,Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2_SW_uatm,pCO2 Air (sat) uatm,dpCO2
HOG_REEF_64W_32N,32.457,-64.835,4/11/2013,3:17:00,341.1,2,2.93,401.8,2,2.59,1022.8,22.4,101.35,19.42,36.532,342.057,402.814,336.655,396.5,-59.8,337.8,397.8,-60
HOG_REEF_64W_32N,32.457,-64.835,4/11/2013,6:17:00,339.9,2,4.1,400.8,2,3.87,1021.8,20.6,101.46,19.31,36.535,341.327,402.32,335.647,395.6,-60,336.8,397,-60.2
HOG_REEF_64W_32N,32.457,-64.835,4/11/2013,9:17:00,346.1,2,4.1,400.6,2,3.88,1022.2,19.9,101.17,19.26,36.535,347.526,402.198,341.891,395.7,-53.8,343.1,397,-54
HOG_REEF_64W_32N,32.457,-64.835,4/11/2013,12:17:00,366.1,2,4.2,400.1,2,4.05,1022.6,19.7,99.79,19.17,36.535,367.631,401.713,361.894,395.4,-33.5,363.1,396.8,-33.7
HOG_REEF_64W_32N,32.457,-64.835,4/11/2013,15:17:00,349.2,2,4.37,400.1,2,4.31,1023.5,20.5,99.98,19.31,36.535,350.765,401.828,345.504,395.8,-50.3,346.7,397.2,-50.5
HOG_REEF_64W_32N,32.457,-64.835,4/11/2013,18:17:00,327.6,2,4.64,399.9,2,4.39,1022.6,21.3,101.41,19.54,36.537,329.151,401.683,323.822,395.2,-71.4,324.9,396.5,-71.6
HOG_REEF_64W_32N,32.457,-64.835,4/11/2013,21:17:00,321.3,2,4.63,400,2,4.42,1021.8,21.5,102.78,19.64,36.537,322.839,401.804,317.331,394.9,-77.6,318.4,396.3,-77.9
HOG_REEF_64W_32N,32.457,-64.835,4/12/2013,0:17:00,342.7,2,4.32,400,2,4.11,1022.1,21.1,102.08,19.45,36.537,344.22,401.672,338.541,395,-56.5,339.7,396.4,-56.7
HOG_REEF_64W_32N,32.457,-64.835,4/12/2013,3:17:00,350.8,2,4.32,400.2,2,4.11,1022.2,20.5,101.24,19.4,36.537,352.274,401.815,346.516,395.2,-48.7,347.7,396.6,-48.9
HOG_REEF_64W_32N,32.457,-64.835,4/12/2013,6:17:00,349,2,4.25,400.3,2,4.06,1021.4,20.2,100.8,19.39,36.539,350.48,401.942,344.497,395.1,-50.6,345.7,396.4,-50.8
HOG_REEF_64W_32N,32.457,-64.835,4/12/2013,9:17:00,353,2,4.22,400.2,2,4.02,1021.4,20,100.42,19.39,36.541,354.538,401.848,348.46,395,-46.5,349.7,396.3,-46.7
HOG_REEF_64W_32N,32.457,-64.835,4/12/2013,12:17:00,370.4,2,4.27,400.3,2,4.11,1023.1,19.9,99.15,19.33,36.54,372,401.932,366.286,395.8,-29.5,367.6,397.1,-29.6
HOG_REEF_64W_32N,32.457,-64.835,4/12/2013,15:17:00,350.1,2,4.48,399.5,2,4.46,1022.7,21,99.65,19.51,36.533,351.634,401.253,346.005,394.8,-48.8,347.2,396.2,-49
HOG_REEF_64W_32N,32.457,-64.835,4/12/2013,18:17:00,347.3,2,4.87,399.7,2,4.67,1021.7,22.4,100.54,19.88,36.541,349.011,401.582,342.912,394.6,-51.7,344.1,395.9,-51.8
HOG_REEF_64W_32N,32.457,-64.835,4/12/2013,21:17:00,323.4,2,4.91,399.6,2,4.64,1021.3,23,102.37,19.85,36.538,324.967,401.51,319.184,394.4,-75.2,320.3,395.7,-75.4
HOG_REEF_64W_32N,32.457,-64.835,4/13/2013,0:17:00,332.5,2,4.64,400.3,2,4.36,1021.5,22.6,102.96,19.82,36.539,334.025,402.076,328.144,395,-66.9,329.3,396.4,-67.1
HOG_REEF_64W_32N,32.457,-64.835,4/13/2013,3:17:00,358.1,2,4.63,400.2,2,4.39,1021,21.7,101.97,19.84,36.543,359.755,401.969,353.243,394.7,-41.4,354.5,396,-41.6
HOG_REEF_64W_32N,32.457,-64.835,4/13/2013,6:17:00,367.9,2,4.57,400,2,4.34,1020.5,21.2,100.75,19.75,36.544,369.542,401.788,362.702,394.4,-31.6,363.9,395.7,-31.8
HOG_REEF_64W_32N,32.457,-64.835,4/13/2013,9:17:00,365.6,2,4.53,400.3,2,4.3,1019.7,20.9,100.11,19.69,36.544,367.267,402.007,360.21,394.3,-34.1,361.4,395.6,-34.2
HOG_REEF_64W_32N,32.457,-64.835,4/13/2013,12:17:00,378.2,2,4.65,399.8,2,4.49,1019.7,20.8,99.11,19.68,36.544,380.012,401.564,372.747,393.9,-21.1,374,395.2,-21.2
HOG_REEF_64W_32N,32.457,-64.835,4/13/2013,15:17:00,370.4,2,4.72,399.4,2,4.58,1019.4,21.3,99.2,19.85,36.544,372.168,401.229,364.844,393.3,-28.5,366.1,394.7,-28.6
HOG_REEF_64W_32N,32.457,-64.835,4/13/2013,18:17:00,351.3,2,4.85,399.3,2,4.7,1018.6,21.7,100.43,20.02,36.544,352.992,401.177,345.674,392.9,-47.2,346.9,394.2,-47.3
HOG_REEF_64W_32N,32.457,-64.835,4/13/2013,21:17:00,341.2,2,4.86,399.3,2,4.71,1018.3,21.9,101.54,20.02,36.541,342.85,401.177,335.641,392.7,-57.1,336.8,394.1,-57.3
HOG_REEF_64W_32N,32.457,-64.835,4/14/2013,0:17:00,353.5,2,4.76,399.5,2,4.54,1018.4,21.7,101.33,19.86,36.531,355.165,401.309,347.823,393,-45.2,349,394.4,-45.3
HOG_REEF_64W_32N,32.457,-64.835,4/14/2013,3:17:00,359.2,2,4.75,399.3,2,4.53,1017.3,21.5,100.73,19.72,36.519,360.964,401.167,353.178,392.5,-39.3,354.4,393.9,-39.5
HOG_REEF_64W_32N,32.457,-64.835,4/14/2013,6:17:00,366.4,2,4.74,399.6,2,4.55,1016.4,21.4,100.11,19.72,36.517,368.112,401.403,359.844,392.4,-32.5,361.1,393.7,-32.7
HOG_REEF_64W_32N,32.457,-64.835,4/14/2013,9:17:00,375.4,2,4.72,399.4,2,4.52,1016.9,21.3,99.22,19.71,36.515,377.227,401.21,368.937,392.4,-23.5,370.2,393.7,-23.5
HOG_REEF_64W_32N,32.457,-64.835,4/14/2013,12:17:00,379.2,2,4.77,399.3,2,4.62,1018.3,21.3,98.55,19.71,36.516,381.055,401.148,373.197,392.9,-19.7,374.5,394.2,-19.7
HOG_REEF_64W_32N,32.457,-64.835,4/14/2013,15:17:00,355.9,2,4.86,398.8,2,4.75,1019.2,21.6,99.29,19.81,36.521,357.606,400.696,350.511,392.7,-42.2,351.7,394.1,-42.4
HOG_REEF_64W_32N,32.457,-64.835,4/14/2013,18:17:00,353.3,2,4.77,399,2,4.61,1019,21.7,100.1,19.89,36.492,355.026,400.805,347.879,392.7,-44.9,349.1,394.1,-45
HOG_REEF_64W_32N,32.457,-64.835,4/14/2013,21:17:00,343.6,2,4.85,398.9,2,4.68,1019,22,101.2,19.98,36.507,345.307,400.737,338.309,392.6,-54.3,339.5,394,-54.5
HOG_REEF_64W_32N,32.457,-64.835,4/15/2013,0:17:00,343.5,2,4.57,404.1,2,4.39,1020.7,21.8,101.77,19.93,36.472,345.116,405.866,338.717,398.3,-59.6,339.9,399.7,-59.8
HOG_REEF_64W_32N,32.457,-64.835,4/15/2013,3:17:00,353.9,2,4.54,404.4,2,4.37,1021.5,21.3,101.56,19.92,36.492,355.557,406.139,349.254,398.9,-49.7,350.5,400.3,-49.9
HOG_REEF_64W_32N,32.457,-64.835,4/15/2013,6:17:00,370.9,2,4.46,402.7,2,4.3,1020.5,20.8,100.76,19.93,36.495,372.556,404.463,365.57,396.9,-31.3,366.8,398.2,-31.4
HOG_REEF_64W_32N,32.457,-64.835,4/15/2013,9:17:00,379.1,2,4.49,402.6,2,4.32,1020.6,20.5,99.78,19.95,36.512,380.831,404.388,373.723,396.8,-23.1,375,398.2,-23.2
HOG_REEF_64W_32N,32.457,-64.835,4/15/2013,12:17:00,385,2,4.7,402.5,2,4.54,1022.2,20.5,98.91,19.96,36.512,386.783,404.343,380.169,397.4,-17.3,381.5,398.8,-17.3
HOG_REEF_64W_32N,32.457,-64.835,4/15/2013,15:17:00,379.2,2,4.68,403.2,2,4.53,1022.7,20.9,98.73,20.01,36.512,380.98,405.074,374.623,398.3,-23.7,375.9,399.7,-23.8
HOG_REEF_64W_32N,32.457,-64.835,4/15/2013,18:17:00,353.1,2,4.53,403,2,4.37,1022.1,21,99.68,20.01,36.522,354.705,404.74,348.579,397.7,-49.2,349.8,399.1,-49.3
HOG_REEF_64W_32N,32.457,-64.835,4/15/2013,21:17:00,351.3,2,4.09,403,2,3.94,1022.2,20.4,100.16,19.89,36.529,352.744,404.638,346.755,397.8,-51,347.9,399.1,-51.2
HOG_REEF_64W_32N,32.457,-64.835,4/16/2013,0:17:00,356.8,2,4.16,403.1,2,4,1022.6,19.6,100.06,19.78,36.527,358.342,404.722,352.443,398.1,-45.6,353.7,399.4,-45.8
HOG_REEF_64W_32N,32.457,-64.835,4/16/2013,3:17:00,363.1,2,4.23,402.8,2,4.07,1022.9,19.4,99.64,19.74,36.527,364.678,404.481,358.806,398,-39.2,360,399.3,-39.3
HOG_REEF_64W_32N,32.457,-64.835,4/16/2013,6:17:00,372.9,2,4.11,402.4,2,3.94,1021.7,19.4,98.88,19.63,36.517,374.417,403.985,368,397.1,-29.1,369.3,398.4,-29.2
HOG_REEF_64W_32N,32.457,-64.835,4/16/2013,9:17:00,380.7,2,4.22,402.5,2,4.06,1021.8,19.2,98,19.58,36.516,382.348,404.097,375.855,397.2,-21.4,377.2,398.6,-21.5
HOG_REEF_64W_32N,32.457,-64.835,4/16/2013,12:17:00,383.4,2,4.36,403.5,2,4.19,1023.2,19.3,97.47,19.58,36.517,385.082,405.165,379.08,398.9,-19.8,380.4,400.2,-19.8
HOG_REEF_64W_32N,32.457,-64.835,4/16/2013,15:17:00,382.2,2,4.35,403.5,2,4.19,1023.8,19.6,97.27,19.58,36.522,383.888,405.215,378.123,399.1,-21,379.4,400.5,-21.1
HOG_REEF_64W_32N,32.457,-64.835,4/16/2013,18:17:00,357.3,2,4.43,404.2,2,4.27,1023.3,19.7,98.3,19.57,36.528,358.938,405.955,353.367,399.7,-46.3,354.6,401,-46.4
HOG_REEF_64W_32N,32.457,-64.835,4/16/2013,21:17:00,346.2,2,4.3,403.7,2,4.17,1022.8,19.9,99.27,19.61,36.531,347.727,405.408,342.158,398.9,-56.8,343.3,400.3,-57
HOG_REEF_64W_32N,32.457,-64.835,4/17/2013,0:17:00,353.6,2,4.28,403.7,2,4.12,1023.8,19.8,99.41,19.55,36.528,355.128,405.412,349.804,399.3,-49.5,351,400.7,-49.7
