expocode: 316420160814
vessel name: HOG_REEF_64W_32N
"PIs: Sutton, A.; Andersson, A.; Bates, N. "
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
HOG_REEF_64W_32N,32.456,-64.835,8/14/2016,21:17,485.8,2,9.39,388.6,2,7.84,1021.9,32.3,99.06,29.148,36.552,490.4,391.7,474,378.5,95.4,475.4,379.7,95.7,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/15/2016,0:17,471.1,2,8.59,390.3,2,6.84,1022.7,32.2,99.43,28.49,36.535,475.2,392.9,460.3,380.7,79.6,461.7,381.8,79.9,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/15/2016,3:17,490.1,2,8.83,390.8,2,7.39,1023.2,30.6,98.96,28.28,36.527,494.5,393.7,479.4,381.8,97.7,480.9,383,98,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/15/2016,6:17,518.1,2,8.46,391,2,7.17,1022.2,29.3,97.71,28.243,36.526,522.5,393.8,506.1,381.5,124.7,507.7,382.7,125.1,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/15/2016,9:17,481.3,2,8.16,390.9,2,7,1022.9,28.3,97.16,27.818,36.464,485.2,393.7,470.8,382,88.8,472.3,383.2,89.1,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/15/2016,12:17,480.6,2,9.27,390.2,2,7.98,1023.8,28.2,96.92,27.831,36.467,485.1,393.3,471.1,382,89.1,472.6,383.2,89.4,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/15/2016,15:17,509.2,2,10.66,388.2,2,10.11,1024.4,30.3,96.89,28.273,36.495,514.7,392.2,499.7,380.7,118.9,501.2,381.9,119.3,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/15/2016,18:17,505.6,2,10.37,388,2,9.62,1023.7,33.1,97.6,28.836,36.526,510.9,391.8,495,379.6,115.4,496.6,380.8,115.8,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/15/2016,21:17,494.9,2,8.44,388.6,2,5.92,1023.4,34.5,98.12,29.311,36.541,499.1,390.9,483,378.3,104.7,484.5,379.4,105,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/16/2016,0:17,483.3,2,9.29,390,2,7.55,1023.7,33.8,98.86,28.823,36.54,487.9,392.9,472.7,380.8,92,474.2,381.9,92.3,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/16/2016,3:17,499.2,2,9.18,391.2,2,7.94,1023.8,31.8,98.77,28.553,36.534,503.8,394.3,488.5,382.3,106.2,490,383.5,106.5,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/16/2016,6:17,525.7,2,9.04,392.9,2,8,1023.2,30.5,97.81,28.504,36.53,530.5,396,514.1,383.8,130.3,515.7,385,130.7,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/16/2016,9:17,544.8,2,9.02,392.3,2,8.05,1023.8,29.6,96.46,28.395,36.521,549.8,395.5,533.3,383.6,149.6,534.9,384.8,150.1,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/16/2016,12:17,531.7,2,9.6,390.8,2,8.62,1024.9,29.2,95.5,28.198,36.505,536.9,394.2,521.6,383,138.6,523.2,384.2,139,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/16/2016,15:17,562.3,2,10.8,390.7,2,9.18,1025.2,30.6,94.54,28.667,36.52,568.4,394.3,551.8,382.8,169.1,553.5,383.9,169.6,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/16/2016,18:17,537,2,12.47,389.8,2,11.78,1024.5,33,95.5,28.938,36.532,543.8,394.4,527.2,382.4,144.8,528.8,383.5,145.3,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/16/2016,21:17,509.3,2,9.28,389.7,2,8.06,1023.3,34.3,96.75,29.381,36.541,514.1,392.9,497.3,380.1,117.2,498.8,381.2,117.6,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/17/2016,0:17,499.5,2,7.79,392.9,2,6.16,1024,34,97.77,29.009,36.535,503.4,395.3,487.7,383,104.7,489.2,384.2,105,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/17/2016,3:17,502.6,2,9.24,392.9,2,8.03,1024.5,32.2,98.1,28.638,36.507,507.2,396.1,492.1,384.2,107.9,493.6,385.4,108.2,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/17/2016,6:17,517.8,2,9.3,393.5,2,8.29,1023.1,30.9,97.93,28.723,36.53,522.6,396.7,506.2,384.3,121.9,507.8,385.5,122.3,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/17/2016,9:17,529.7,2,9.13,394.7,2,8.21,1023.4,30.1,97.39,28.7,36.528,534.6,397.9,518,385.6,132.4,519.6,386.8,132.8,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/17/2016,12:17,525.5,2,10.17,394.8,2,9.23,1024.1,29.7,96.67,28.445,36.499,530.9,398.5,515.1,386.6,128.5,516.7,387.8,128.9,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/17/2016,15:17,498.3,2,11.28,393.1,2,10.63,1024.5,30.8,97.36,28.671,36.5,503.9,397.4,488.8,385.5,103.4,490.4,386.6,103.7,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/17/2016,18:17,494.9,2,11.12,393.5,2,9.08,1023.1,32.2,97.97,28.989,36.504,500.4,397.1,484.4,384.4,100,485.9,385.6,100.3,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/17/2016,21:17,484.4,2,9.67,393.6,2,8.4,1021.5,32.3,98.93,29.009,36.509,489.1,397,472.7,383.7,89,474.2,384.8,89.3,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/18/2016,0:17,475.1,2,9.06,393.6,2,8.09,1022.5,31.4,99.7,28.875,36.505,479.5,396.8,464,384,80,465.4,385.1,80.3,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/18/2016,3:17,493.6,2,9.03,393.1,2,8.19,1022.5,30.4,99.43,28.804,36.503,498.1,396.3,482.1,383.6,98.5,483.5,384.7,98.8,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/18/2016,6:17,518.7,2,8.92,393.2,2,8.06,1021.2,29.8,98.47,28.771,36.508,523.3,396.4,505.9,383.1,122.7,507.4,384.3,123.1,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/18/2016,9:17,535.7,2,9,393.9,2,8.17,1021.1,29.3,97.18,28.714,36.511,540.5,397.2,522.5,383.9,138.6,524.1,385.1,139,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/18/2016,12:17,535.9,2,9.75,393.3,2,8.77,1021.1,29.3,96.37,28.701,36.509,541.2,396.8,523.1,383.6,139.5,524.7,384.8,140,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/18/2016,15:17,523,2,10.85,392.8,2,9.13,1021.2,30.7,96.35,28.828,36.504,528.8,396.4,511,383.1,127.9,512.6,384.3,128.3,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/18/2016,18:17,497.3,2,10.99,393.8,2,9.13,1020.4,31.8,97.53,28.996,36.503,502.8,397.4,485.4,383.6,101.7,486.8,384.8,102,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/18/2016,21:17,478.6,2,11.28,393.9,2,9.35,1018.8,32,98.97,29.079,36.503,484.1,397.6,466.4,383.2,83.3,467.9,384.3,83.5,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/19/2016,0:17,470.5,2,9.18,394.9,2,8.11,1018.8,31.7,99.83,29.068,36.493,474.8,398.1,457.6,383.6,74,459,384.8,74.2,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/19/2016,3:17,477.1,2,9.31,394.7,2,8.52,1018.6,30.8,99.66,29.015,36.491,481.5,398.1,464,383.6,80.4,465.4,384.8,80.7,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/19/2016,6:17,503.5,2,9.33,395.2,2,8.63,1017.3,30.2,98.56,28.954,36.496,508.2,398.6,489.1,383.7,105.4,490.6,384.8,105.7,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/19/2016,9:17,510.6,2,9.2,395,2,8.54,1016.9,29.8,97.35,28.863,36.489,515.4,398.4,495.9,383.3,112.6,497.4,384.5,112.9,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/19/2016,12:17,503.2,2,10,394.7,2,9.16,1016.9,29.6,96.36,28.724,36.465,508.2,398.4,489.2,383.4,105.7,490.7,384.6,106.1,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/19/2016,15:17,457.1,2,10.56,394.7,2,9.19,1016.6,30.5,97.56,28.827,36.447,461.9,398.3,444.4,383.2,61.2,445.8,384.4,61.4,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/19/2016,18:17,447.2,2,11.25,394.4,2,9.53,1016.2,31.4,99.2,29.065,36.451,452.3,398.2,434.6,382.7,52,436,383.8,52.1,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/19/2016,21:17,433.7,2,11.09,394.3,2,9.56,1015.5,31.8,100.84,29.094,36.448,438.6,398.1,421.2,382.3,38.9,422.5,383.5,39,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/20/2016,0:17,435.9,2,9.3,394.8,2,8.42,1015.4,31.5,101.67,29.054,36.444,439.9,398.2,422.5,382.4,40.1,423.8,383.6,40.2,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/20/2016,3:17,451.2,2,9.43,394.9,2,8.8,1015.2,30.7,101.45,29.015,36.449,455.5,398.4,437.4,382.5,54.8,438.7,383.7,55,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/20/2016,6:17,470.3,2,9.45,395.1,2,8.89,1014.6,30.2,100.43,28.946,36.456,474.8,398.6,455.7,382.6,73.1,457,383.7,73.3,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/20/2016,9:17,483.8,2,9.35,395.2,2,8.77,1014.6,29.8,99.17,28.889,36.458,488.4,398.7,468.8,382.7,86.1,470.3,383.9,86.3,-999,5
HOG_REEF_64W_32N,32.456,-64.835,8/20/2016,12:17,493.3,2,10.32,394.8,2,9.55,1015.3,29.7,97.36,28.812,36.431,498.4,398.6,478.8,383,95.9,480.3,384.1,96.2,-999,5
