Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST_C,Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2_SW_uatm,pCO2 Air (sat) uatm,dpCO2
HOG_REEF_64W_32N,32.447,-64.814,12/5/2010,3:17,374,2,4.71,394.4,2,4.33,1012.1,21.4,99.19,21.576,36.612,375.7,396.1,364.8,384.5,-19.8,366,385.8,-19.8
HOG_REEF_64W_32N,32.447,-64.814,12/5/2010,6:17,372.5,2,5.65,393.9,2,5.4,1011.6,20.4,99.26,21.529,36.614,374.6,396,363.5,384.2,-20.7,364.7,385.5,-20.8
HOG_REEF_64W_32N,32.447,-64.814,12/5/2010,9:17,373.7,2,5.71,393.9,2,5.52,1010.9,20.2,99.13,21.561,36.618,375.8,396.1,364.4,384.1,-19.7,365.6,385.4,-19.7
HOG_REEF_64W_32N,32.447,-64.814,12/5/2010,12:17,376.7,2,5.76,394.1,2,5.61,1010.3,20.1,99.19,21.534,36.619,378.9,396.3,367.2,384,-16.9,368.4,385.3,-16.9
HOG_REEF_64W_32N,32.447,-64.814,12/5/2010,15:17,382.6,2,6.11,393.3,2,5.96,1007.5,20.1,98.75,21.329,36.602,384.9,395.6,372.1,382.4,-10.4,373.3,383.7,-10.4
HOG_REEF_64W_32N,32.447,-64.814,12/5/2010,18:17,378.4,2,6.25,392.3,2,6.26,1004.2,20.3,98.97,21.214,36.526,380.8,394.8,366.9,380.4,-13.5,368.1,381.7,-13.5
HOG_REEF_64W_32N,32.447,-64.814,12/5/2010,21:17,375.2,2,6.24,394.2,2,6.16,1003.4,20.7,99.18,21.644,36.555,377.6,396.6,363.3,381.6,-18.3,364.5,382.9,-18.4
HOG_REEF_64W_32N,32.447,-64.814,12/6/2010,0:17,378.2,2,6.15,395.9,2,6.02,1005.4,20.8,99.04,21.547,36.583,380.6,398.3,366.9,384.1,-17.1,368.2,385.3,-17.2
HOG_REEF_64W_32N,32.447,-64.814,12/6/2010,3:17,379.6,2,5.56,395,2,5.53,1006.5,20.8,99.22,21.576,36.589,381.8,397.2,368.5,383.4,-14.9,369.7,384.7,-15
HOG_REEF_64W_32N,32.447,-64.814,12/6/2010,6:17,373.5,2,5.72,393.6,2,5.61,1006.6,20.5,99.19,21.521,36.601,375.6,395.8,362.6,382.2,-19.5,363.8,383.4,-19.6
