Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST_C,Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2_SW_uatm,pCO2 Air (sat) uatm,dpCO2
HOG_REEF_64W_32N,32.457,-64.835,2/29/2012,0:17,348.2,2,3.03,394.1,2,3.13,1026.2,23.8,99.01,19.543,36.638,349.3,395.4,344.9,390.4,-45.5,346.1,391.7,-45.7
HOG_REEF_64W_32N,32.457,-64.835,2/29/2012,3:17,350.9,2,4.55,395,2,4.13,1026.6,21.9,98.91,19.495,36.637,352.5,396.7,348.2,391.8,-43.7,349.4,393.2,-43.8
HOG_REEF_64W_32N,32.457,-64.835,2/29/2012,6:17,340.8,2,4.54,395.6,2,4.18,1026.1,21.1,99.36,19.683,36.623,342.3,397.2,337.9,392.1,-54.2,339.1,393.5,-54.4
HOG_REEF_64W_32N,32.457,-64.835,2/29/2012,9:17,343,2,4.38,396.9,2,4.04,1026.1,20.5,99.47,19.659,36.62,344.5,398.6,340,393.4,-53.4,341.2,394.8,-53.6
HOG_REEF_64W_32N,32.457,-64.835,2/29/2012,12:17,348.7,2,4.66,397.8,2,4.28,1027.9,20,99.27,19.621,36.618,350.4,399.5,346.5,395,-48.6,347.7,396.4,-48.7
HOG_REEF_64W_32N,32.457,-64.835,2/29/2012,15:17,341,2,5.32,398.6,2,4.44,1028.1,20.3,99.49,19.796,36.6,342.9,400.4,339,396,-56.9,340.2,397.3,-57.1
HOG_REEF_64W_32N,32.457,-64.835,2/29/2012,18:17,332.9,2,5.4,397.6,2,4.39,1025.6,21.2,100.42,19.972,36.602,334.7,399.3,330.1,393.8,-63.8,331.2,395.2,-64
HOG_REEF_64W_32N,32.457,-64.835,2/29/2012,21:17,312,2,5.29,396.6,2,4.34,1025.7,21.7,102.18,20.017,36.607,313.7,398.3,309.4,392.9,-83.5,310.4,394.2,-83.8
HOG_REEF_64W_32N,32.457,-64.835,3/1/2012,0:17,350.3,2,4.62,395.8,2,4.17,1025.4,21.9,101.56,19.896,36.634,352,397.5,347.1,392,-44.9,348.3,393.3,-45.1
HOG_REEF_64W_32N,32.457,-64.835,3/1/2012,3:17,363.9,2,4.63,396.3,2,4.48,1023.9,21.3,100.34,19.68,36.644,365.6,398.1,360.1,392.1,-32,361.3,393.5,-32.1
HOG_REEF_64W_32N,32.457,-64.835,3/1/2012,6:17,357,2,4.59,395.3,2,4.52,1022.2,20.9,99.92,19.76,36.636,358.6,397.1,352.6,390.4,-37.8,353.8,391.7,-37.9
HOG_REEF_64W_32N,32.457,-64.835,3/1/2012,9:17,349.3,2,4.57,394.8,2,4.57,1020.4,20.5,99.95,19.743,36.639,350.9,396.6,344.4,389.2,-44.8,345.6,390.6,-45
HOG_REEF_64W_32N,32.457,-64.835,3/1/2012,12:17,347.7,2,4.81,394.4,2,4.93,1021.6,20.3,99.83,19.679,36.609,349.4,396.4,343.4,389.5,-46.2,344.5,390.8,-46.3
HOG_REEF_64W_32N,32.457,-64.835,3/1/2012,15:17,335.4,2,5.01,393.8,2,5.25,1020.1,20.4,100.22,19.723,36.59,337.1,395.9,330.7,388.4,-57.7,331.9,389.7,-57.9
HOG_REEF_64W_32N,32.457,-64.835,3/1/2012,18:17,323.7,2,5.05,393.9,2,5.33,1017.6,20.6,101.34,19.931,36.603,325.4,396.1,318.4,387.5,-69.1,319.5,388.9,-69.4
HOG_REEF_64W_32N,32.457,-64.835,3/1/2012,21:17,321.2,2,4.97,393.5,2,5.12,1017.5,20.8,102.09,19.961,36.607,322.8,395.5,315.8,386.9,-71.1,316.9,388.3,-71.3
HOG_REEF_64W_32N,32.457,-64.835,3/2/2012,0:17,332.7,2,5.02,393.7,2,5.13,1017.2,20.8,101.84,19.903,36.602,334.4,395.7,327.1,387.1,-60,328.2,388.4,-60.2
HOG_REEF_64W_32N,32.457,-64.835,3/2/2012,3:17,347.1,2,5.11,393.3,2,5.22,1016.4,20.9,100.99,19.862,36.599,348.9,395.4,341,386.5,-45.4,342.2,387.8,-45.6
