Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST_C,Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2_SW_uatm,pCO2 Air (sat) uatm,dpCO2
HOG_REEF_64W_32N,32.457,-64.824,7/23/2014,3:17,459.9,2,7.09,396.2,2,6.64,1022.7,28.5,99.92,27.823,36.601,463.2,398.9,449.4,386.9,62.5,450.8,388.1,62.6
HOG_REEF_64W_32N,32.457,-64.824,7/23/2014,6:17,480,2,7.41,396,2,6.95,1021.3,28.1,99.31,27.817,36.599,483.5,398.7,468.4,386.3,82.1,469.9,387.5,82.4
HOG_REEF_64W_32N,32.457,-64.824,7/23/2014,9:17,504.5,2,7.43,395.9,2,6.97,1021.6,27.9,97.67,27.645,36.601,508.3,398.7,492.7,386.5,106.2,494.3,387.7,106.6
HOG_REEF_64W_32N,32.457,-64.824,7/23/2014,12:17,503.9,2,7.75,395.7,2,7.19,1022.3,27.9,96.37,27.53,36.603,507.9,398.6,492.8,386.7,106,494.3,388,106.4
HOG_REEF_64W_32N,32.457,-64.824,7/23/2014,15:17,506.3,2,7.75,395.7,2,7.13,1022,28.7,96.39,27.778,36.604,510.3,398.5,494.8,386.4,108.4,496.3,387.6,108.7
HOG_REEF_64W_32N,32.457,-64.824,7/23/2014,18:17,487.8,2,7.91,395.6,2,7.2,1021.5,29.5,97.34,28.027,36.604,491.7,398.5,476.2,385.9,90.3,477.7,387.1,90.6
HOG_REEF_64W_32N,32.457,-64.824,7/23/2014,21:17,452.1,2,7.83,395.7,2,7.26,1021,29.7,98.84,27.89,36.599,455.7,398.5,441.3,385.9,55.3,442.6,387.1,55.5
HOG_REEF_64W_32N,32.457,-64.824,7/24/2014,0:17,456.7,2,7.51,395.9,2,6.94,1021.6,29.3,99.3,27.802,36.599,460.1,398.6,445.9,386.3,59.6,447.3,387.5,59.8
HOG_REEF_64W_32N,32.457,-64.824,7/24/2014,3:17,476.3,2,7.46,396.1,2,6.88,1021.5,28.7,98.89,27.837,36.605,479.9,398.8,465,386.4,78.6,466.4,387.6,78.8
HOG_REEF_64W_32N,32.457,-64.824,7/24/2014,6:17,492.3,2,7.48,396,2,6.9,1020.4,28.3,98.27,27.858,36.604,496,398.7,480.1,385.9,94.2,481.6,387.1,94.5
HOG_REEF_64W_32N,32.457,-64.824,7/24/2014,9:17,516.5,2,7.35,395.9,2,6.81,1020.4,28,96.65,27.705,36.607,520.3,398.7,503.7,385.9,117.8,505.2,387.1,118.1
HOG_REEF_64W_32N,32.457,-64.824,7/24/2014,12:17,516.4,2,7.94,395.4,2,7.21,1021,28,95.43,27.575,36.602,520.5,398.3,504.3,386,118.4,505.9,387.2,118.8
HOG_REEF_64W_32N,32.457,-64.824,7/24/2014,15:17,501.6,2,7.94,395.5,2,7.02,1021.3,28.6,96.06,27.809,36.608,505.6,398.3,489.8,385.8,104,491.4,387,104.3
HOG_REEF_64W_32N,32.457,-64.824,7/24/2014,18:17,479.1,2,8.07,395.7,2,6.97,1020.6,29.2,97.8,28.044,36.614,483,398.5,467.4,385.5,81.9,468.8,386.7,82.1
HOG_REEF_64W_32N,32.457,-64.824,7/24/2014,21:17,445.1,2,7.63,395.8,2,6.82,1019.8,29.5,99.81,27.942,36.614,448.6,398.5,433.8,385.4,48.4,435.1,386.6,48.5
HOG_REEF_64W_32N,32.457,-64.824,7/25/2014,0:17,456.6,2,7.66,395.6,2,7.04,1020.4,29.1,100.04,27.766,36.611,460.2,398.4,445.4,385.7,59.8,446.8,386.9,60
HOG_REEF_64W_32N,32.457,-64.824,7/25/2014,3:17,481.7,2,7.69,395.8,2,7.11,1020.6,28.6,98.93,27.681,36.611,485.4,398.6,470,386,84,471.5,387.2,84.3
HOG_REEF_64W_32N,32.457,-64.824,7/25/2014,6:17,492.2,2,7.61,395.7,2,7.1,1019.7,28.4,97.82,27.611,36.614,496,398.5,479.9,385.6,94.3,481.4,386.8,94.6
HOG_REEF_64W_32N,32.457,-64.824,7/25/2014,9:17,514,2,7.61,395.3,2,7.12,1019.7,28.2,96.52,27.57,36.615,518,398.1,501.2,385.3,116,502.8,386.5,116.3
