Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST_C,Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2_SW_uatm,pCO2 Air (sat) uatm,dpCO2
HOG_REEF_64W_32N,32.457,-64.835,7/29/2015,3:17,446.1,2,7.62,387.9,2,7.51,1016.9,27.4,97.84,27.113,36.398,449.5,390.8,434.1,377.5,56.6,435.5,378.7,56.8
HOG_REEF_64W_32N,32.457,-64.835,7/29/2015,6:17,439.1,2,7.72,388.1,2,7.43,1015.4,27.4,98.38,27.155,36.361,442.5,391,426.7,377.1,49.6,428,378.2,49.8
HOG_REEF_64W_32N,32.457,-64.835,7/29/2015,9:17,449.2,2,7.66,389.3,2,7.42,1015.7,27.4,98.12,27.073,36.365,452.6,392.2,436.7,378.4,58.3,438,379.6,58.5
HOG_REEF_64W_32N,32.457,-64.835,7/29/2015,12:17,466.6,2,8.37,389.8,2,7.94,1016.8,27.5,97.29,27.01,36.305,470.5,392.9,454.5,379.5,75,455.9,380.7,75.2
HOG_REEF_64W_32N,32.457,-64.835,7/29/2015,15:17,435.2,2,8.65,397,2,8.21,1018.1,28.1,98.33,27.11,36.328,439,400.2,424.5,387,37.5,425.9,388.3,37.6
HOG_REEF_64W_32N,32.457,-64.835,7/29/2015,18:17,440.9,2,7.47,392.8,2,7.49,1017.7,27.9,98.98,27.032,36.189,444.2,395.8,429.4,382.6,46.8,430.8,383.8,47
HOG_REEF_64W_32N,32.457,-64.835,7/29/2015,21:17,460.8,2,7.83,394.2,2,7.98,1017.4,27.4,98.39,27.024,36.253,464.4,397.4,448.8,384,64.8,450.3,385.2,65
HOG_REEF_64W_32N,32.457,-64.835,7/30/2015,0:17,460.3,2,7.57,397.3,2,7.53,1017.9,27.3,97.54,26.993,36.35,463.8,400.3,448.6,387.1,61.4,450,388.3,61.6
HOG_REEF_64W_32N,32.457,-64.835,7/30/2015,3:17,480.1,2,7.77,397.4,2,7.72,1018.4,27.1,96.44,26.959,36.308,483.9,400.5,468.2,387.6,80.6,469.7,388.8,80.9
HOG_REEF_64W_32N,32.457,-64.835,7/30/2015,6:17,479,2,7.84,394.5,2,7.77,1017.6,27.2,95.78,26.904,36.259,482.8,397.6,466.8,384.5,82.3,468.3,385.7,82.6
HOG_REEF_64W_32N,32.457,-64.835,7/30/2015,9:17,500.3,2,7.61,390.7,2,7.57,1019.1,27.2,94.12,26.893,36.354,504.1,393.7,488.2,381.2,107,489.8,382.4,107.3
HOG_REEF_64W_32N,32.457,-64.835,7/30/2015,12:17,472,2,8.3,388.3,2,8.42,1020.5,27.2,94.38,26.961,36.447,475.9,391.6,461.5,379.7,81.8,463,380.9,82.1
HOG_REEF_64W_32N,32.457,-64.835,7/30/2015,15:17,472.4,2,9.08,387.8,2,8.89,1021.1,28.4,95.19,27.173,36.398,476.8,391.3,462.4,379.5,82.9,463.9,380.7,83.2
HOG_REEF_64W_32N,32.457,-64.835,7/30/2015,18:17,472.7,2,9.58,390.1,2,9.31,1020.8,29.6,96.2,27.432,36.295,477.3,393.7,462.5,381.5,80.9,463.9,382.7,81.2
HOG_REEF_64W_32N,32.457,-64.835,7/30/2015,21:17,450,2,9.13,396.7,2,8.82,1020.1,30.2,98.1,27.48,36.29,454.2,400.2,439.7,387.5,52.3,441.1,388.7,52.4
HOG_REEF_64W_32N,32.457,-64.835,7/31/2015,0:17,437.7,2,7.95,397.5,2,7.72,1020.7,29.7,99.81,27.361,36.368,441.2,400.6,427.6,388.2,39.4,428.9,389.4,39.5
HOG_REEF_64W_32N,32.457,-64.835,7/31/2015,3:17,458.6,2,7.96,397.4,2,7.77,1021.5,29.1,99.49,27.28,36.269,462.3,400.5,448.5,388.5,60,449.9,389.7,60.2
HOG_REEF_64W_32N,32.457,-64.835,7/31/2015,6:17,474.7,2,7.98,397.6,2,7.77,1021,28.7,98.3,27.167,36.25,478.6,400.7,464.1,388.6,75.5,465.5,389.8,75.7
HOG_REEF_64W_32N,32.457,-64.835,7/31/2015,9:17,488.6,2,7.93,397.7,2,7.7,1020.7,28.4,96.87,27.137,36.248,492.5,400.8,477.5,388.5,89,479,389.8,89.2
HOG_REEF_64W_32N,32.457,-64.835,7/31/2015,12:17,499.5,2,9.01,396.9,2,9.21,1021.6,28.3,95.84,27.189,36.258,504,400.6,489,388.7,100.3,490.6,389.9,100.7
HOG_REEF_64W_32N,32.457,-64.835,7/31/2015,15:17,495.3,2,8.79,397.1,2,8.75,1021.6,29.3,95.82,27.331,36.246,499.7,400.7,484.7,388.6,96,486.2,389.9,96.3
HOG_REEF_64W_32N,32.457,-64.835,7/31/2015,18:17,472.9,2,9.24,396.8,2,9.07,1020.8,30.1,97.24,27.602,36.252,477.3,400.4,462.4,387.9,74.5,463.8,389.1,74.7
HOG_REEF_64W_32N,32.457,-64.835,7/31/2015,21:17,448.4,2,9.04,396.7,2,9.21,1019.9,30.3,99.66,27.762,36.323,452.5,400.3,437.8,387.3,50.4,439.1,388.5,50.6
HOG_REEF_64W_32N,32.457,-64.835,8/01/2015,0:17,464,2,8,397.6,2,7.86,1020.5,29.9,99.06,27.811,36.507,467.8,400.8,452.8,388,64.8,454.2,389.2,65
HOG_REEF_64W_32N,32.457,-64.835,8/01/2015,3:17,474,2,8.14,397.8,2,7.97,1021.3,29.3,98.03,27.714,36.505,477.9,401,463.1,388.5,74.5,464.5,389.8,74.8
HOG_REEF_64W_32N,32.457,-64.835,8/01/2015,6:17,487.7,2,8.19,397.8,2,8,1020.1,28.9,97.28,27.651,36.454,491.8,401,476,388.1,87.8,477.5,389.4,88.1
HOG_REEF_64W_32N,32.457,-64.835,8/01/2015,9:17,486.2,2,8.29,397.7,2,8.06,1020,28.7,97.07,27.597,36.393,490.3,401,474.6,388.1,86.5,476.1,389.3,86.7
HOG_REEF_64W_32N,32.457,-64.835,8/01/2015,12:17,492.3,2,8.89,397.3,2,9.07,1020.1,28.7,96.93,27.603,36.37,496.7,400.9,480.9,388.1,92.7,482.4,389.3,93
HOG_REEF_64W_32N,32.457,-64.835,8/01/2015,15:17,486.9,2,8.94,397.1,2,8.96,1020.5,29.2,97.32,27.726,36.347,491.3,400.7,475.7,387.9,87.8,477.1,389.1,88
HOG_REEF_64W_32N,32.457,-64.835,8/01/2015,18:17,458.7,2,9.31,396.9,2,9.29,1020.5,29.9,99.44,28.026,36.334,463,400.6,448,387.6,60.4,449.4,388.8,60.6
HOG_REEF_64W_32N,32.457,-64.835,8/01/2015,21:17,460.9,2,9.71,396.6,2,9.58,1019.6,30.3,100.79,28.134,36.396,465.4,400.4,449.8,387,62.8,451.2,388.2,63
HOG_REEF_64W_32N,32.457,-64.835,8/02/2015,0:17,452.9,2,8.39,397.4,2,8.17,1020,30.4,101.81,28.04,36.424,456.7,400.6,441.6,387.4,54.2,443,388.6,54.4
HOG_REEF_64W_32N,32.457,-64.835,8/02/2015,3:17,474.6,2,8.36,397.5,2,8.14,1020,29.9,101.12,27.976,36.463,478.6,400.8,462.9,387.6,75.2,464.3,388.8,75.5
HOG_REEF_64W_32N,32.457,-64.835,8/02/2015,6:17,495.1,2,8.3,397.8,2,8.06,1019.6,29.3,99.71,27.907,36.452,499.2,401,482.7,387.7,95,484.2,388.9,95.3
HOG_REEF_64W_32N,32.457,-64.835,8/02/2015,9:17,513.5,2,8.27,397.6,2,8.01,1019.7,29,98.1,27.903,36.426,517.8,400.8,500.7,387.6,113.1,502.3,388.8,113.5
HOG_REEF_64W_32N,32.457,-64.835,8/02/2015,12:17,527.6,2,9.13,397,2,9.14,1020.5,29,96.81,27.93,36.41,532.5,400.7,515.3,387.8,127.6,516.9,389,128
HOG_REEF_64W_32N,32.457,-64.835,8/02/2015,15:17,514.1,2,9.56,396.8,2,9.21,1021.2,29.8,96.8,28.095,36.404,519.1,400.5,502.5,387.7,114.8,504.1,388.9,115.2
HOG_REEF_64W_32N,32.457,-64.835,8/02/2015,18:17,456.6,2,9.98,397.4,2,8.68,1021.1,30.9,99.52,28.389,36.365,461.2,400.9,446.1,387.8,58.3,447.5,389,58.5
HOG_REEF_64W_32N,32.457,-64.835,8/02/2015,21:17,451,2,10.41,396.2,2,9.44,1021,31.8,101.74,28.495,36.368,455.7,400,440.7,386.8,53.9,442.1,388,54.1
HOG_REEF_64W_32N,32.457,-64.835,8/03/2015,0:17,455.3,2,8.65,398.5,2,7.65,1021.5,31.9,101.22,28.383,36.508,459.3,401.6,444.4,388.6,55.8,445.8,389.8,56
HOG_REEF_64W_32N,32.457,-64.835,8/03/2015,3:17,473.3,2,8.42,398.7,2,7.79,1021.2,31.1,99.66,28.207,36.5,477.3,401.9,462,389,73,463.4,390.2,73.2
HOG_REEF_64W_32N,32.457,-64.835,8/03/2015,6:17,489.3,2,8.51,397.7,2,7.94,1020.4,30.3,97.89,28.172,36.498,493.5,400.9,477.3,387.7,89.6,478.8,388.9,89.9
HOG_REEF_64W_32N,32.457,-64.835,8/03/2015,9:17,512.7,2,8.46,397.6,2,7.87,1020.8,29.7,96.22,28.149,36.51,517.1,400.8,500.4,387.8,112.6,501.9,389,112.9
HOG_REEF_64W_32N,32.457,-64.835,8/03/2015,12:17,511.9,2,9.39,397,2,9.1,1021.6,29.5,96.01,28.198,36.489,516.7,400.6,500.3,387.9,112.4,501.9,389.1,112.8
HOG_REEF_64W_32N,32.457,-64.835,8/03/2015,15:17,457.3,2,9.3,396.6,2,8.8,1022.3,30.3,98.95,28.424,36.417,461.6,400.1,447,387.5,59.5,448.4,388.7,59.7
HOG_REEF_64W_32N,32.457,-64.835,8/03/2015,18:17,438.6,2,9.27,396.7,2,7.98,1022.7,31.3,101.57,28.546,36.406,442.7,399.9,428.8,387.3,41.5,430.2,388.5,41.7
