Mooring Name,Latitude,Longitude,Date,Time,SST_C,Salinity
HOG_REEF_64W_32N,32.457,-64.835,8/26/2017,21:17,29.306,36.587
HOG_REEF_64W_32N,32.457,-64.835,8/27/2017,0:17,29.109,36.586
HOG_REEF_64W_32N,32.457,-64.835,8/27/2017,3:17,28.902,36.564
HOG_REEF_64W_32N,32.457,-64.835,8/27/2017,6:17,28.757,36.559
HOG_REEF_64W_32N,32.457,-64.835,8/27/2017,9:17,28.647,36.506
HOG_REEF_64W_32N,32.457,-64.835,8/27/2017,12:17,28.631,36.505
HOG_REEF_64W_32N,32.457,-64.835,8/27/2017,15:17,28.622,36.52
HOG_REEF_64W_32N,32.457,-64.835,8/27/2017,18:17,28.598,36.547
HOG_REEF_64W_32N,32.457,-64.835,8/27/2017,21:17,28.63,36.559
HOG_REEF_64W_32N,32.457,-64.835,8/28/2017,0:17,28.575,36.548
HOG_REEF_64W_32N,32.457,-64.835,8/28/2017,3:17,28.534,36.549
HOG_REEF_64W_32N,32.457,-64.835,8/28/2017,6:17,28.472,36.554
HOG_REEF_64W_32N,32.457,-64.835,8/28/2017,9:17,28.407,36.55
HOG_REEF_64W_32N,32.457,-64.835,8/28/2017,12:17,28.457,36.554
HOG_REEF_64W_32N,32.457,-64.835,8/28/2017,15:17,28.594,36.552
HOG_REEF_64W_32N,32.457,-64.835,8/28/2017,18:17,28.7,36.544
HOG_REEF_64W_32N,32.457,-64.835,8/28/2017,21:17,28.735,36.546
HOG_REEF_64W_32N,32.457,-64.835,8/29/2017,0:17,28.714,36.548
HOG_REEF_64W_32N,32.457,-64.835,8/29/2017,3:17,28.677,36.552
HOG_REEF_64W_32N,32.457,-64.835,8/29/2017,6:17,28.616,36.549
HOG_REEF_64W_32N,32.457,-64.835,8/29/2017,9:17,28.556,36.55
HOG_REEF_64W_32N,32.457,-64.835,8/29/2017,12:17,28.546,36.553
HOG_REEF_64W_32N,32.457,-64.835,8/29/2017,15:17,28.703,36.55
HOG_REEF_64W_32N,32.457,-64.835,8/29/2017,18:17,28.795,36.5
HOG_REEF_64W_32N,32.457,-64.835,8/29/2017,21:17,28.896,36.507
HOG_REEF_64W_32N,32.457,-64.835,8/30/2017,0:17,28.817,36.5
HOG_REEF_64W_32N,32.457,-64.835,8/30/2017,3:17,28.8,36.504
HOG_REEF_64W_32N,32.457,-64.835,8/30/2017,6:17,28.772,36.519
HOG_REEF_64W_32N,32.457,-64.835,8/30/2017,9:17,28.705,36.518
HOG_REEF_64W_32N,32.457,-64.835,8/30/2017,12:17,28.646,36.519
HOG_REEF_64W_32N,32.457,-64.835,8/30/2017,15:17,28.695,36.505
HOG_REEF_64W_32N,32.457,-64.835,8/30/2017,18:17,28.716,36.513
HOG_REEF_64W_32N,32.457,-64.835,8/30/2017,21:17,28.62,36.507
HOG_REEF_64W_32N,32.457,-64.835,8/31/2017,0:17,28.41,36.499
HOG_REEF_64W_32N,32.457,-64.835,8/31/2017,3:17,28.315,36.507
HOG_REEF_64W_32N,32.457,-64.835,8/31/2017,6:17,28.254,36.511
HOG_REEF_64W_32N,32.457,-64.835,8/31/2017,9:17,28.072,36.518
HOG_REEF_64W_32N,32.457,-64.835,8/31/2017,12:17,28.119,36.521
HOG_REEF_64W_32N,32.457,-64.835,8/31/2017,15:17,28.101,36.526
HOG_REEF_64W_32N,32.457,-64.835,8/31/2017,18:17,28.367,36.526
HOG_REEF_64W_32N,32.457,-64.835,8/31/2017,21:17,28.512,36.525
HOG_REEF_64W_32N,32.457,-64.835,9/1/2017,0:17,28.455,36.528
HOG_REEF_64W_32N,32.457,-64.835,9/1/2017,3:17,28.309,36.536
HOG_REEF_64W_32N,32.457,-64.835,9/1/2017,6:17,28.215,36.529
HOG_REEF_64W_32N,32.457,-64.835,9/1/2017,9:17,28.152,36.531
HOG_REEF_64W_32N,32.457,-64.835,9/1/2017,12:17,28.136,36.534
HOG_REEF_64W_32N,32.457,-64.835,9/1/2017,15:17,28.432,36.538
HOG_REEF_64W_32N,32.457,-64.835,9/1/2017,18:17,28.473,36.532
HOG_REEF_64W_32N,32.457,-64.835,9/1/2017,21:17,28.554,36.531
HOG_REEF_64W_32N,32.457,-64.835,9/2/2017,0:17,28.502,36.534
HOG_REEF_64W_32N,32.457,-64.835,9/2/2017,3:17,28.449,36.538
HOG_REEF_64W_32N,32.457,-64.835,9/2/2017,6:17,28.425,36.541
