Site,Logger,Date_Time,Temp
Whalebone,WB_1a,1-1-10 0:00,17.748
Whalebone,WB_1a,1-1-10 0:30,17.867
Whalebone,WB_1a,1-1-10 1:00,18.033
Whalebone,WB_1a,1-1-10 1:30,18.105
Whalebone,WB_1a,1-1-10 2:00,18.152
Whalebone,WB_1a,1-1-10 2:30,18.176
Whalebone,WB_1a,1-1-10 3:00,18.176
Whalebone,WB_1a,1-1-10 3:30,18.2
Whalebone,WB_1a,1-1-10 4:00,18.2
Whalebone,WB_1a,1-1-10 4:30,18.176
Whalebone,WB_1a,1-1-10 5:00,18.129
Whalebone,WB_1a,1-1-10 5:30,18.105
Whalebone,WB_1a,1-1-10 6:00,18.129
Whalebone,WB_1a,1-1-10 6:30,18.105
Whalebone,WB_1a,1-1-10 7:00,18.081
Whalebone,WB_1a,1-1-10 7:30,18.105
Whalebone,WB_1a,1-1-10 8:00,18.105
Whalebone,WB_1a,1-1-10 8:30,18.105
Whalebone,WB_1a,1-1-10 9:00,18.129
Whalebone,WB_1a,1-1-10 9:30,18.2
Whalebone,WB_1a,1-1-10 10:00,18.224
Whalebone,WB_1a,1-1-10 10:30,18.271
Whalebone,WB_1a,1-1-10 11:00,18.295
Whalebone,WB_1a,1-1-10 11:30,18.39
Whalebone,WB_1a,1-1-10 12:00,18.366
Whalebone,WB_1a,1-1-10 12:30,18.295
Whalebone,WB_1a,1-1-10 13:00,18.58
Whalebone,WB_1a,1-1-10 13:30,18.557
Whalebone,WB_1a,1-1-10 14:00,18.414
Whalebone,WB_1a,1-1-10 14:30,18.39
Whalebone,WB_1a,1-1-10 15:00,18.438
Whalebone,WB_1a,1-1-10 15:30,18.461
Whalebone,WB_1a,1-1-10 16:00,18.438
Whalebone,WB_1a,1-1-10 16:30,18.414
Whalebone,WB_1a,1-1-10 17:00,18.414
Whalebone,WB_1a,1-1-10 17:30,18.39
Whalebone,WB_1a,1-1-10 18:00,18.39
Whalebone,WB_1a,1-1-10 18:30,18.39
Whalebone,WB_1a,1-1-10 19:00,18.366
Whalebone,WB_1a,1-1-10 19:30,18.343
Whalebone,WB_1a,1-1-10 20:00,18.343
Whalebone,WB_1a,1-1-10 20:30,18.343
Whalebone,WB_1a,1-1-10 21:00,18.343
Whalebone,WB_1a,1-1-10 21:30,18.343
Whalebone,WB_1a,1-1-10 22:00,18.343
Whalebone,WB_1a,1-1-10 22:30,18.343
Whalebone,WB_1a,1-1-10 23:00,18.319
Whalebone,WB_1a,1-1-10 23:30,18.343
Whalebone,WB_1a,1-2-10 0:00,18.343
Whalebone,WB_1a,1-2-10 0:30,18.343
Whalebone,WB_1a,1-2-10 1:00,18.343
Whalebone,WB_1a,1-2-10 1:30,18.295
Whalebone,WB_1a,1-2-10 2:00,18.271
Whalebone,WB_1a,1-2-10 2:30,18.247
Whalebone,WB_1a,1-2-10 3:00,18.271
Whalebone,WB_1a,1-2-10 3:30,18.271
Whalebone,WB_1a,1-2-10 4:00,18.271
Whalebone,WB_1a,1-2-10 4:30,18.271
Whalebone,WB_1a,1-2-10 5:00,18.271
Whalebone,WB_1a,1-2-10 5:30,18.247
Whalebone,WB_1a,1-2-10 6:00,18.224
Whalebone,WB_1a,1-2-10 6:30,18.224
Whalebone,WB_1a,1-2-10 7:00,18.224
Whalebone,WB_1a,1-2-10 7:30,18.2
Whalebone,WB_1a,1-2-10 8:00,18.2
Whalebone,WB_1a,1-2-10 8:30,18.224
Whalebone,WB_1a,1-2-10 9:00,18.176
Whalebone,WB_1a,1-2-10 9:30,18.081
Whalebone,WB_1a,1-2-10 10:00,18.081
Whalebone,WB_1a,1-2-10 10:30,18.105
