Date,coral.id,Tank,Position,RUN,Origin,Treatment,Transplant.Site,Group,Timepoint,Height,Surf.Area.cm2
20180630,BLANK-EXP-1,3,,,,,,Blank,Post-transplant,9.625,
20180701,BLANK-EXP-2,6,,,,,,Blank,Post-transplant,9.625,
20180701,BLANK-EXP-3,4,,,,,,Blank,Post-transplant,9.625,
20180701,BLANK-EXP-4,5,,,,,,Blank,Post-transplant,9.625,
20180701,BLANK-EXP-5,6,,,,,,Blank,Post-transplant,9.625,
20180701,P-10-A,3,,,Patch,Ambient,Patch,Patch_Ambient_Patch,Post-transplant,9.5,
20180701,P-10-B,7,,,Patch,Ambient,Rim,Patch_Ambient_Rim,Post-transplant,9.5,
20180701,P-12-A,3,,,Patch,Hot,Patch,Patch_Hot_Patch,Post-transplant,9,
20180701,P-12-B,8,,,Patch,Hot,Rim,Patch_Hot_Rim,Post-transplant,9.25,
20180701,P-14-A,9,,,Patch,Hot,Patch,Patch_Hot_Patch,Post-transplant,9.5,
20180701,P-14-B,2,,,Patch,Hot,Rim,Patch_Hot_Rim,Post-transplant,9.4375,
20180701,P-15-A,6,,,Patch,Hot,Patch,Patch_Hot_Patch,Post-transplant,9.3125,
20180701,P-15-B,4,,,Patch,Hot,Rim,Patch_Hot_Rim,Post-transplant,9.375,
20180701,P-16-A,3,,,Patch,Hot,Patch,Patch_Hot_Patch,Post-transplant,9.375,
20180701,P-16-B,7,,,Patch,Hot,Rim,Patch_Hot_Rim,Post-transplant,9.5,
20180701,P-19-A,10,,,Patch,Hot,Patch,Patch_Hot_Patch,Post-transplant,9.25,
20180701,P-19-B,1,,,Patch,Hot,Rim,Patch_Hot_Rim,Post-transplant,9.3125,
20180701,P-3-A,4,,,Patch,Ambient,Patch,Patch_Ambient_Patch,Post-transplant,9.4375,
20180701,P-3-B,5,,,Patch,Ambient,Rim,Patch_Ambient_Rim,Post-transplant,9.4375,
20180701,P-4-A,5,,,Patch,Ambient,Patch,Patch_Ambient_Patch,Post-transplant,9.5,
20180701,P-4-B,6,,,Patch,Ambient,Rim,Patch_Ambient_Rim,Post-transplant,9.5,
20180630,P-6-A,6,,,Patch,Ambient,Patch,Patch_Ambient_Patch,Post-transplant,9.4,
20180630,P-6-B,2,,,Patch,Ambient,Rim,Patch_Ambient_Rim,Post-transplant,9.5,
20180630,P-9-A,7,,,Patch,Ambient,Patch,Patch_Ambient_Patch,Post-transplant,9.5,
20180701,P-9-B,10,,,Patch,Ambient,Rim,Patch_Ambient_Rim,Post-transplant,9.5,
20180630,R-11-A,10,,,Rim,Hot,Patch,Rim_Hot_Patch,Post-transplant,9.4375,
20180630,R-11-B,4,,,Rim,Hot,Rim,Rim_Hot_Rim,Post-transplant,9.4375,
20180701,R-14-A,1,,,Rim,Hot,Patch,Rim_Hot_Patch,Post-transplant,9.25,
20180701,R-14-B,4,,,Rim,Hot,Rim,Rim_Hot_Rim,Post-transplant,9.375,
20180701,R-15-A,1,,,Rim,Hot,Patch,Rim_Hot_Patch,Post-transplant,9.4375,
20180701,R-15-B,10,,,Rim,Hot,Rim,Rim_Hot_Rim,Post-transplant,9.375,
20180701,R-18-A,8,,,Rim,Hot,Patch,Rim_Hot_Patch,Post-transplant,9.5625,
20180701,R-18-B,2,,,Rim,Hot,Rim,Rim_Hot_Rim,Post-transplant,9.4375,
20180701,R-19-A,5,,,Rim,Hot,Patch,Rim_Hot_Patch,Post-transplant,9.5,
20180701,R-19-B,7,,,Rim,Hot,Rim,Rim_Hot_Rim,Post-transplant,9.5625,
20180701,R-4-A,8,,,Rim,Ambient,Patch,Rim_Ambient_Patch,Post-transplant,9.375,
20180701,R-4-B,2,,,Rim,Ambient,Rim,Rim_Ambient_Rim,Post-transplant,9.5625,
20180701,R-5-A,10,,,Rim,Ambient,Patch,Rim_Ambient_Patch,Post-transplant,9.5,
20180701,R-5-B,2,,,Rim,Ambient,Rim,Rim_Ambient_Rim,Post-transplant,9.4375,
20180701,R-7-A,9,,,Rim,Ambient,Patch,Rim_Ambient_Patch,Post-transplant,9.4375,
20180701,R-7-B,3,,,Rim,Ambient,Rim,Rim_Ambient_Rim,Post-transplant,9.4375,
20180630,R-8-A,1,,,Rim,Ambient,Patch,Rim_Ambient_Patch,Post-transplant,9.4,
20180630,R-8-B,8,,,Rim,Ambient,Rim,Rim_Ambient_Rim,Post-transplant,9.4375,
20180630,R-9-A,9,,,Rim,Ambient,Patch,Rim_Ambient_Patch,Post-transplant,9.5,
20180630,R-9-B,5,,,Rim,Ambient,Rim,Rim_Ambient_Rim,Post-transplant,9.45,
