Colony,Timepoint,Mass.1.g,Mass.2.g,Mass.3.g,Mass.g,Std.dev
R-19-B,20190415,0.0371,0.0371,0.0371,0.0371,0
R-7-A,20190415,0.0377,0.0377,0.0377,0.0377,0
R-7-B,20190415,0.0635,0.0635,0.0634,0.063466667,5.77E-05
P-12-B,20190415,0.028,0.028,0.028,0.028,0
P-4-B,20190415,0.0093,0.0092,0.0091,0.0092,1.00E-04
P-14-B,20190415,0.018,0.018,0.0183,0.0181,0.000173205
R-14-A,20190415,0.0256,0.0254,0.0255,0.0255,0.0001
R-14-B,20190415,0.0211,0.0209,0.0209,0.020966667,0.00011547
P-19-A,20190419,0.0379,0.0378,0.0378,0.037833333,5.77E-05
R-8-A,20190419,0.0599,0.0596,0.0599,0.0598,0.000173205
P-6-A,20190419,0.031,0.0309,0.031,0.030966667,5.77E-05
R-19-A,20190419,0.0127,0.0126,0.0125,0.0126,1.00E-04
R-5-B,20190419,0.0134,0.0132,0.0134,0.013333333,0.00011547
P-14-A,20190419,0.0289,0.0289,0.0289,0.0289,0
R-11-A,20190419,0.0326,0.0326,0.0326,0.0326,0
R-4-A,20190419,0.0178,0.0176,0.0176,0.017666667,0.00011547
P-15-B,20190419,0.0215,0.0215,0.0215,0.0215,4.25E-18
R-11-B,20190419,0.0258,0.0258,0.0257,0.025766667,5.77E-05
R-8-B,20190419,0.0258,0.0258,0.0257,0.025766667,5.77E-05
P-16-B,20190419,0.0377,0.0376,0.0375,0.0376,1.00E-04
P-3-B,20190419,0.0136,0.0134,0.0134,0.013466667,0.00011547
P-4-A,20190419,0.0298,0.0298,0.0298,0.0298,4.25E-18
R-18-B,20190419,0.0122,0.0124,0.0124,0.012333333,0.00011547
R-5-A,20190419,0.044,0.0439,0.0438,0.0439,1.00E-04
R-18-A,20190419,0.0174,0.0174,0.0174,0.0174,0
R-15-A,20190424,0.0292,0.0292,0.0291,0.029166667,5.77E-05
R-9-B,20190424,0.0301,0.03,0.0299,0.03,1.00E-04
P-16-A,20190424,0.0571,0.0572,0.0572,0.057166667,5.77E-05
R-4-B,20190424,0.0234,0.0232,0.0233,0.0233,0.0001
P-6-B,20190424,0.0299,0.0298,0.0297,0.0298,1.00E-04
P-15-A,20190424,0.0348,0.0346,0.0348,0.034733333,0.00011547
P-3-A,20190424,0.0607,0.0606,0.0606,0.060633333,5.77E-05
P-10-B,20190424,0.0212,0.0211,0.0209,0.021066667,0.000152753
P-12-A,20190424,0.0723,0.0724,0.0723,0.072333333,5.77E-05
P-10-A,20190424,0.0179,0.0178,0.0179,0.017866667,5.77E-05
P-9-A,20190424,0.0118,0.0116,0.0116,0.011666667,0.00011547
R-9-A,20190424,0.028,0.028,0.028,0.028,0
R-15-B,20190424,0.0184,0.0184,0.0183,0.018366667,5.77E-05
P-19-B,20190424,0.0088,0.0087,0.0087,0.008733333,5.77E-05
P-9-B,20190424,0.0143,0.0143,0.0142,0.014266667,5.77E-05
