"","Type","coral.id","Weight","Surface_Area"
"1","Coral","R-7-B",0.683,161.671021669731
"2","Coral","P-14-B",0.875,206.850045000659
"3","Coral","P-15-B",0.945,223.321563923394
"4","Coral","P-14-A",0.884,208.967811719297
"5","Coral","P-15-A",1.061,250.617223852496
"6","Coral","P-12-A",1.287,303.79669923161
"7","Coral","R-15-A",0.628,148.729113944725
"8","Coral","P-4-A",1.002,236.734086474763
"9","Coral","P-10-B",0.368,87.5491865174259
"10","Coral","R-11-B",0.663,156.964873406092
"11","Coral","R-5-B",0.454,107.785624051071
"12","Coral","P-10-A",0.654,154.847106687455
"13","Coral","R-8-A",0.383,91.0787977151546
"14","Coral","R-19-B",0.281,67.0774415705988
"15","Coral","P-3-B",0.589,139.55212483063
"16","Coral","P-6-B",0.49,116.25669092562
"17","Coral","P-4-B",0.717,169.671473717916
"18","Coral","R-9-B",0.375,89.1963384096993
"19","Coral","P-19-A",1.356,320.032910741163
"20","Coral","P-6-A",0.678,160.494484603821
"21","Coral","R-4-A",0.913,215.791726701572
"22","Coral","R-11-A",0.86,203.32043380293
"23","Coral","R-14-A",0.695,164.494710627914
"24","Coral","P-3-A",0.652,154.376491861091
"25","Coral","P-16-A",0.757,179.083770245193
"26","Coral","P-12-B",0.913,215.791726701572
"27","Coral","R-19-A",0.426,101.197016481977
"28","Coral","R-4-B",0.516,122.37468366835
"29","Coral","P-9-B",0.612,144.964195333814
"30","Coral","R-14-B",0.682,161.435714256549
"31","Coral","P-9-A",0.489,116.021383512438
"32","Coral","R-18-A",0.373,88.7257235833355
"33","Coral","R-15-B",0.454,107.785624051071
"34","Coral","R-7-A",0.816,192.966907622926
"35","Coral","R-9-A",0.445,105.667857332434
"36","Coral","P-16-B",0.434,103.079475787433
"37","Coral","R-8-B",0.535,126.845524518806
"38","Coral","R-18-B",0.411,97.6674052842484
"39","Coral","R-5-A",0.387,92.0200273678823
"40","Coral","P-19-B",0.477,113.197694554255
