Type,coral.id,Weight ,Surface_Area
Coral,R-7-B,0.683,
Coral,P-14-B,0.875,
Coral,P-15-B,0.945,
Coral,P-14-A,0.884,
Coral,P-15-A,1.061,
Coral,P-12-A,1.287,
Coral,R-15-A,0.628,
Coral,P-4-A,1.002,
Coral,P-10-B,0.368,
Coral,R-11-B,0.663,
Coral,R-5-B,0.454,
Coral,P-10-A,0.654,
Coral,R-8-A,0.383,
Coral,R-19-B,0.281,
Coral,P-3-B,0.589,
Coral,P-6-B,0.49,
Coral,P-4-B,0.717,
Coral,R-9-B,0.375,
Coral,P-19-A,1.356,
Coral,P-6-A,0.678,
Coral,R-4-A,0.913,
Coral,R-11-A,0.86,
Coral,R-14-A,0.695,
Coral,P-3-A,0.652,
Coral,P-16-A,0.757,
Coral,P-12-B,0.913,
Coral,R-19-A,0.426,
Coral,R-4-B,0.516,
Coral,P-9-B,0.612,
Coral,R-14-B,0.682,
Coral,P-9-A,0.489,
Coral,R-18-A,0.373,
Coral,R-15-B,0.454,
Coral,R-7-A,0.816,
Coral,R-9-A,0.445,
Coral,P-16-B,0.434,
Coral,R-8-B,0.535,
Coral,R-18-B,0.411,
Coral,R-5-A,0.387,
Coral,P-19-B,0.477,
Standard,N/A,0.019,4
Standard,N/A,0.067,16
Standard,N/A,0.152,36
Standard,N/A,0.267,64
Standard,N/A,0.421,100
Standard,N/A,0.6,144
Standard,N/A,0.82,196
Standard,N/A,1.083,256
Standard,N/A,1.368,324
Standard,N/A,1.707,400
