Date,Time,Tank,Quadrat,Experimental Stage ,Light.PAR,Temp.C,pH,Salinity,Conductivity,Initials,Notes
20180620,14:21,1,1,NA,760,27.3,7.66,38.2,59977,PB AA,
20180620,14:21,1,2,NA,,27.3,7.69,38.2,59958,PB AA,
20180620,14:21,1,3,NA,,27.4,7.7,38.2,60014,PB AA,
20180620,14:21,1,4,NA,,27.3,7.71,38.2,60024,PB AA,
20180620,14:21,1,5,NA,,27.3,7.72,38.2,59942,PB AA,
20180620,14:21,1,6,NA,,27.3,7.72,38.2,59961,PB AA,
20180620,14:30,2,1,NA,,26.9,7.73,38.2,58491,PB AA,
20180620,14:30,2,2,NA,,26.9,7.73,38.2,59504,PB AA,
20180620,14:30,2,3,NA,,26.9,7.73,38.2,59529,PB AA,
20180620,14:30,2,4,NA,,26.9,7.73,38.2,59513,PB AA,
20180620,14:30,2,5,NA,,27,7.73,38.2,59503,PB AA,
20180620,14:30,2,6,NA,,27,7.73,38.2,59555,PB AA,
20180620,14:34,3,1,NA,,27,7.74,38.2,59560,PB AA,
20180620,14:34,3,2,NA,,27,7.74,38.2,59569,PB AA,
20180620,14:34,3,3,NA,,27,7.74,38.2,59577,PB AA,
20180620,14:34,3,4,NA,,26.9,7.74,38.2,59572,PB AA,
20180620,14:34,3,5,NA,,27,7.74,38.2,59584,PB AA,
20180620,14:34,3,6,NA,,27,7.75,38.2,59589,PB AA,
20180620,14:36,4,1,NA,,27.1,7.75,38.2,59728,PB AA,
20180620,14:36,4,2,NA,,27.1,7.76,38.2,59701,PB AA,
20180620,14:36,4,3,NA,,27.1,7.76,38.2,59749,PB AA,
20180620,14:36,4,4,NA,,27.1,7.76,38.2,59749,PB AA,
20180620,14:36,4,5,NA,,27.1,7.76,38.2,59754,PB AA,
20180620,14:36,4,6,NA,,27.1,7.76,38.2,59803,PB AA,
20180620,14:39,5,1,NA,,27.7,7.77,38.8,61326,PB AA,
20180620,14:39,5,2,NA,,27.7,7.79,38.8,61315,PB AA,
20180620,14:39,5,3,NA,,27.7,7.8,38.8,61317,PB AA,
20180620,14:39,5,4,NA,,27.7,7.8,38.8,61319,PB AA,
20180620,14:39,5,5,NA,,27.7,7.81,38.8,61324,PB AA,
20180620,14:39,5,6,NA,,27.8,7.81,38.8,61335,PB AA,
20180621,9:19,4,1,NA,,26.5,7.47,38.2,59128,PB AA,
20180621,9:19,4,2,NA,,26.5,7.54,38.3,59097,PB AA,
20180621,9:19,4,3,NA,,26.4,7.58,38.3,59095,PB AA,
20180621,9:19,4,4,NA,,26.4,7.62,38.3,59084,PB AA,
20180621,9:20,4,5,NA,,26.5,7.64,38.3,59131,PB AA,
20180621,9:20,4,6,NA,,26.5,7.66,38.3,59224,PB AA,
20180621,9:22,5,1,NA,,26,7.7,38.4,58878,PB AA,
20180621,9:22,5,2,NA,,26.1,7.7,38.3,58821,PB AA,
20180621,9:22,5,3,NA,,26.1,7.71,38.3,58799,PB AA,
20180621,9:22,5,4,NA,,26.2,7.72,38.3,58810,PB AA,
20180621,9:23,5,5,NA,,26.2,7.72,38.3,58806,PB AA,
20180621,9:23,5,6,NA,,26.2,7.73,38.3,58837,PB AA,
20180621,13:26,1,1,NA,630,27.1,7.03,38.3,59815,PB DB,
20180621,13:26,1,2,NA,669,27.1,7.5,38.3,59848,PB DB,
20180621,13:26,1,3,NA,528,27.1,7.54,38.3,59853,PB DB,
20180621,13:26,1,4,NA,676,27.1,7.58,38.3,59868,PB DB,
20180621,13:26,1,5,NA,724,27.1,7.6,38.3,59871,PB DB,
20180621,13:26,1,6,NA,717,27.1,7.62,38.3,59884,PB DB,
