"","coral.id","Origin","Treatment","Transplant.Site","N","Total.Protein.mgcm2","sd","se","ci"
"1","P-10-A","Patch","Ambient","Patch",9,1.43958782589446,0.114808105322073,0.038269368440691,0.0882493218758852
"2","P-10-B","Patch","Ambient","Rim",9,0.720715492240466,0.0821915723804329,0.0273971907934776,0.0631780352627369
"3","P-12-A","Patch","Hot","Patch",9,1.30871581379351,0.129977445360653,0.0433258151202178,0.0999095088283134
"4","P-12-B","Patch","Hot","Rim",9,1.73651343842407,0.148176827558721,0.049392275852907,0.113898792363948
"5","P-14-A","Patch","Hot","Patch",9,1.37778461554005,0.152614219208293,0.0508714064027642,0.117309673528426
"6","P-14-B","Patch","Hot","Rim",9,1.32554855456465,0.199036281982743,0.066345427327581,0.152992829769289
"7","P-15-A","Patch","Hot","Patch",9,2.06523779793578,0.139860071501517,0.0466200238338392,0.10750596774415
"8","P-15-B","Patch","Hot","Rim",9,0.904639623992671,0.0650638303585083,0.0216879434528361,0.0500124872863142
"9","P-16-A","Patch","Hot","Patch",9,0.909682586142469,0.0608351071196963,0.0202783690398988,0.0467620028612027
"10","P-16-B","Patch","Hot","Rim",9,1.3279528959753,0.0901154276812824,0.0300384758937608,0.0692688496262431
"11","P-19-A","Patch","Hot","Patch",9,1.88797546797851,0.105892337892655,0.0352974459642184,0.0813960563556333
"12","P-19-B","Patch","Hot","Rim",9,2.15010844079876,0.15450204478914,0.0515006815963799,0.118760784727085
"13","P-3-A","Patch","Ambient","Patch",9,1.16211195391623,0.055633912973919,0.018544637657973,0.0427640111251486
"14","P-3-B","Patch","Ambient","Rim",9,0.678196452769469,0.0172158570428041,0.00573861901426802,0.0132332791772633
"15","P-4-A","Patch","Ambient","Patch",9,1.49368394665674,0.103534711848505,0.0345115706161683,0.0795838245532747
"16","P-4-B","Patch","Ambient","Rim",9,1.81339930925336,0.421649009187989,0.14054966972933,0.324108119597414
"17","P-6-A","Patch","Ambient","Patch",9,2.02281101392687,0.276690362048738,0.0922301206829128,0.212683039685176
"18","P-6-B","Patch","Ambient","Rim",9,1.49968850709708,0.154939767598846,0.0516465891996153,0.119097248263504
"19","P-9-A","Patch","Ambient","Patch",9,1.34193367469746,0.1445138973123,0.0481712991041,0.111083214932211
"20","P-9-B","Patch","Ambient","Rim",9,0.752539675135151,0.0940790776884166,0.0313596925628055,0.0723155807285609
"21","R-11-A","Rim","Hot","Patch",9,1.24739945413451,0.0756914662512543,0.0252304887504181,0.0581816113916863
"22","R-11-B","Rim","Hot","Rim",9,0.822045053475021,0.0566563869927471,0.0188854623309157,0.0435499542303341
"23","R-14-A","Rim","Hot","Patch",9,1.1207200468018,0.154454531682256,0.0514848438940852,0.118724262920101
"24","R-14-B","Rim","Hot","Rim",9,1.40685755492474,0.146824759900554,0.0489415866335181,0.112859501160346
"25","R-15-A","Rim","Hot","Patch",9,1.04277644450198,0.0879540890220335,0.0293180296740112,0.0676074976643082
"26","R-15-B","Rim","Hot","Rim",9,1.51904239999584,0.157640920746454,0.0525469735821513,0.121173538372905
"27","R-18-A","Rim","Hot","Patch",9,0.916910547260587,0.0763570298238946,0.0254523432746315,0.0586932088419363
"28","R-18-B","Rim","Hot","Rim",9,0.929115810693811,0.252247745777142,0.0840825819257141,0.19389478161934
"29","R-19-A","Rim","Hot","Patch",9,1.03020772370455,0.208755166777332,0.0695850555924439,0.160463425944587
"30","R-19-B","Rim","Hot","Rim",9,1.18147780896988,0.131297960314556,0.0437659867715187,0.100924546476413
"31","R-4-A","Rim","Ambient","Patch",9,1.62859155410355,0.0802288013901761,0.0267429337967254,0.0616693159227399
"32","R-4-B","Rim","Ambient","Rim",9,1.95333342152924,0.157603369177637,0.0525344563925457,0.121144673681913
"33","R-5-A","Rim","Ambient","Patch",9,0.739381752105962,0.142238130964829,0.0474127103216097,0.109333906062869
"34","R-5-B","Rim","Ambient","Rim",9,0.677927559059765,0.0805838967302166,0.0268612989100722,0.0619422663635816
"35","R-7-A","Rim","Ambient","Patch",9,1.32563120890821,0.125326752354803,0.0417755841182676,0.0963346697272946
"36","R-7-B","Rim","Ambient","Rim",9,1.38102772474576,0.237473953443742,0.0791579844812473,0.182538639548184
"37","R-8-A","Rim","Ambient","Patch",9,0.977730716836872,0.0583679915827634,0.0194559971942545,0.0448656099844714
"38","R-8-B","Rim","Ambient","Rim",9,0.88444417182481,0.113750196765534,0.037916732255178,0.0874361413738697
"39","R-9-A","Rim","Ambient","Patch",9,1.17952773304169,0.157277579511437,0.0524258598371457,0.120894249576092
"40","R-9-B","Rim","Ambient","Rim",9,0.376101732358969,0.0594212942460468,0.0198070980820156,0.0456752500835225
