"","Date","coral.id.x","Origin","Treatment.y","Transplant.Site","N","Conc.calcS.mg.mm3","sd","se","ci"
"1",20180702,"P-3-A","Patch","Ambient","Patch",3,0.441584071892429,0.0934438048381347,0.0539498058774,0.232127279527848
"2",20180702,"R-11-A","Rim","Hot","Patch",3,0.608485113165513,0.0435576851719977,0.0251480412593298,0.108203288372308
"3",20180702,"R-15-A","Rim","Hot","Patch",3,0.21617514539427,0.074276925828754,0.042883803121809,0.18451411256409
"4",20180703,"P-12-A","Patch","Hot","Patch",3,0.672594306645231,0.149038529709624,0.0860474352474776,0.3702322321555
"5",20180703,"P-15-A","Patch","Hot","Patch",3,0.340937094054861,0.0314391518831947,0.018151402802856,0.0780991828184903
"6",20180703,"P-3-A","Patch","Ambient","Patch",3,0.507287055435747,0.0465581493988943,0.0268803600884224,0.115656854711099
"7",20180703,"R-11-A","Rim","Hot","Patch",3,1.35320905765229,0.0996624673516241,0.0575401523535625,0.247575293594256
"8",20180703,"R-15-A","Rim","Hot","Patch",3,0.525135294304422,0.0135590622184139,0.00782832822176018,0.0336825777927312
"9",20180704,"R-11-A","Rim","Hot","Patch",3,1.97145210606598,0.0686575077365986,0.039639430573614,0.170554704163275
"10",20180705,"R-11-A","Rim","Hot","Patch",3,0.877348518608916,0.0468909901421753,0.027072525781153,0.116483676953491
"11",20180706,"P-12-A","Patch","Hot","Patch",6,1.09272856894001,0.108916503756369,0.0444649764618386,0.114300860814798
"12",20180706,"P-14-A","Patch","Hot","Patch",3,1.66701870859188,0.173850825098896,0.100372820669686,0.431869390847079
"13",20180706,"P-15-A","Patch","Hot","Patch",3,0.722432425851989,0.091653701395371,0.052916289172843,0.227680416057745
"14",20180706,"P-6-A","Patch","Ambient","Patch",3,2.86651408961884,0.118346223537281,0.068327224016825,0.293988316932195
"15",20180706,"R-7-A","Rim","Ambient","Patch",3,1.1587059986133,0.059775933134022,0.0345116510859887,0.14849164975329
"16",20180707,"P-12-A","Patch","Hot","Patch",3,1.72211139704928,0.0514931773564932,0.0297295998082005,0.127916143769113
"17",20180707,"P-14-A","Patch","Hot","Patch",3,3.1648253316069,0.137258178118142,0.0792460460849869,0.34096821650942
"18",20180707,"P-15-A","Patch","Hot","Patch",3,4.29891937274683,0.311045824472668,0.179582390489604,0.772680662655029
"19",20180707,"P-4-A","Patch","Ambient","Patch",3,1.55993471958496,0.111557682030488,0.0644078577504731,0.277124644967388
"20",20180707,"P-6-A","Patch","Ambient","Patch",3,3.05308561576122,0.183174771126679,0.105756003418736,0.45503135679702
"21",20180707,"R-11-A","Rim","Hot","Patch",3,2.76384750618493,0.206188711091895,0.119043107852768,0.51220115296057
"22",20180707,"R-5-A","Rim","Ambient","Patch",3,2.76592471954782,0.304921499729726,0.176046509950662,0.75746699660208
"23",20180708,"P-14-B","Patch","Hot","Rim",3,2.03295945295948,0.101645263497505,0.0586849202421348,0.252500832274951
"24",20180708,"P-15-A","Patch","Hot","Patch",3,2.1410547861649,0.162357520469336,0.0937371581479316,0.403318439384155
"25",20180708,"R-9-A","Rim","Ambient","Patch",3,3.01065677396623,0.240232019114505,0.138698020903727,0.596769418252269
