"","Date","coral.id.x","Origin","Treatment.y","Transplant.Site","N","Cells.x3.mm3","sd","se","ci"
"1",20180702,"P-3-A","Patch","Ambient","Patch",1,7.04282293266995,NA,NA,NA
"2",20180702,"R-11-A","Rim","Hot","Patch",3,18.0755032243875,2.78034250218801,1.6052314920776,6.9067536612675
"3",20180702,"R-15-A","Rim","Hot","Patch",1,12.5899045598487,NA,NA,NA
"4",20180703,"P-12-A","Patch","Hot","Patch",2,15.2418190781162,10.1773886557487,7.19650053325097,91.4402091594772
"5",20180703,"P-3-A","Patch","Ambient","Patch",1,6.47259775869142,NA,NA,NA
"6",20180703,"R-11-A","Rim","Hot","Patch",2,23.1781220768754,0.977888263468272,0.691471422341152,8.7859774614806
"7",20180703,"R-15-A","Rim","Hot","Patch",1,9.40751522723068,NA,NA,NA
"8",20180704,"R-11-A","Rim","Hot","Patch",1,44.6526491292585,NA,NA,NA
"9",20180705,"R-11-A","Rim","Hot","Patch",1,22.6566739106112,NA,NA,NA
"10",20180706,"P-12-A","Patch","Hot","Patch",2,15.4070825545841,5.22933722527075,3.69769981310019,46.9837308781659
"11",20180706,"P-14-A","Patch","Hot","Patch",1,6.47610793182615,NA,NA,NA
"12",20180706,"P-15-A","Patch","Hot","Patch",1,3.65272620132325,NA,NA,NA
"13",20180706,"R-7-A","Rim","Ambient","Patch",1,9.51247856312043,NA,NA,NA
"14",20180707,"P-12-A","Patch","Hot","Patch",1,21.5201564858509,NA,NA,NA
"15",20180707,"P-14-A","Patch","Hot","Patch",1,19.5662785726683,NA,NA,NA
"16",20180707,"P-15-A","Patch","Hot","Patch",1,26.8016087682525,NA,NA,NA
"17",20180707,"P-4-A","Patch","Ambient","Patch",1,33.5736411540858,NA,NA,NA
"18",20180707,"R-11-A","Rim","Hot","Patch",1,49.193784783886,NA,NA,NA
"19",20180708,"P-14-B","Patch","Hot","Rim",1,30.2006807129292,NA,NA,NA
"20",20180708,"P-15-A","Patch","Hot","Patch",1,19.0069964283655,NA,NA,NA
"21",20180708,"R-9-A","Rim","Ambient","Patch",1,71.9097651229443,NA,NA,NA
"22",20180709,"P-10-A","Patch","Ambient","Patch",1,32.183026058582,NA,NA,NA
"23",20180709,"P-12-A","Patch","Hot","Patch",1,16.5283126080994,NA,NA,NA
"24",20180709,"P-14-A","Patch","Hot","Patch",1,19.1649988084852,NA,NA,NA
