Sample.ID,Coral.ID,History,Timepoint,LifeStage,Group,File_Name,Origin,Treatment,Transplant,Col_Life
18-118,P-6-A,Patch-Ambient-Patch,2018,Adult,A-PAP,18-118_S162_L004_R1_001_val_1,Patch,Ambient,Patch,P-6-A_Adult
18-202,P-4-A,Patch-Ambient-Patch,2018,Adult,A-PAP,18-202_S188_L004_R1_001_val_1,Patch,Ambient,Patch,P-4-A_Adult
18-322,P-9-A,Patch-Ambient-Patch,2018,Adult,A-PAP,18-322_S180_L004_R1_001_val_1,Patch,Ambient,Patch,P-9-A_Adult
18-358,P-10-A,Patch-Ambient-Patch,2018,Adult,A-PAP,18-358_S201_L004_R1_001_val_1,Patch,Ambient,Patch,P-10-A_Adult
18-311,P-10-B,Patch-Ambient-Rim,2018,Adult,A-PAR,18-311_S187_L004_R1_001_val_1,Patch,Ambient,Rim,P-10-B_Adult
18-346,P-6-B,Patch-Ambient-Rim,2018,Adult,A-PAR,18-346_S193_L004_R1_001_val_1,Patch,Ambient,Rim,P-6-B_Adult
18-394,P-9-B,Patch-Ambient-Rim,2018,Adult,A-PAR,18-394_S192_L004_R1_001_val_1,Patch,Ambient,Rim,P-9-B_Adult
18-9,P-4-B,Patch-Ambient-Rim,2018,Adult,A-PAR,18-9_S159_L004_R1_001_val_1,Patch,Ambient,Rim,P-4-B_Adult
18-106,P-19-A,Patch-Heated-Patch,2018,Adult,A-PHP,18-106_S163_L004_R1_001_val_1,Patch,Heated,Patch,P-19-A_Adult
18-190,P-14-A,Patch-Heated-Patch,2018,Adult,A-PHP,18-190_S186_L004_R1_001_val_1,Patch,Heated,Patch,P-14-A_Adult
18-370,P-15-A,Patch-Heated-Patch,2018,Adult,A-PHP,18-370_S171_L004_R1_001_val_1,Patch,Heated,Patch,P-15-A_Adult
18-454,P-12-A,Patch-Heated-Patch,2018,Adult,A-PHP,18-454_S197_L004_R1_001_val_1,Patch,Heated,Patch,P-12-A_Adult
18-262,P-15-B,Patch-Heated-Rim,2018,Adult,A-PHR,18-262_S179_L004_R1_001_val_1,Patch,Heated,Rim,P-15-B_Adult
18-32,P-12-B,Patch-Heated-Rim,2018,Adult,A-PHR,18-32_S178_L004_R1_001_val_1,Patch,Heated,Rim,P-12-B_Adult
18-334,P-19-B,Patch-Heated-Rim,2018,Adult,A-PHR,18-334_S164_L004_R1_001_val_1,Patch,Heated,Rim,P-19-B_Adult
18-67,P-14-B,Patch-Heated-Rim,2018,Adult,A-PHR,18-67_S176_L004_R1_001_val_1,Patch,Heated,Rim,P-14-B_Adult
18-130,R-5-A,Rim-Ambient-Patch,2018,Adult,A-RAP,18-130_S172_L004_R1_001_val_1,Rim,Ambient,Patch,R-5-A_Adult
18-142,R-8-A,Rim-Ambient-Patch,2018,Adult,A-RAP,18-142_S189_L004_R1_001_val_1,Rim,Ambient,Patch,R-8-A_Adult
18-418,R-9-A,Rim-Ambient-Patch,2018,Adult,A-RAP,18-418_S196_L004_R1_001_val_1,Rim,Ambient,Patch,R-9-A_Adult
18-55,R-7-A,Rim-Ambient-Patch,2018,Adult,A-RAP,18-55_S190_L004_R1_001_val_1,Rim,Ambient,Patch,R-7-A_Adult
18-178,R-5-B,Rim-Ambient-Rim,2018,Adult,A-RAM,18-178_S191_L004_R1_001_val_1,Rim,Ambient,Rim,R-5-B_Adult
18-20,R-7-B,RIm-Ambient-Rim,2018,Adult,A-RAM,18-20_S202_L004_R1_001_val_1,Rim,Ambient,Rim,R-7-B_Adult
18-239,R-8-B,Rim-Ambient-Rim,2018,Adult,A-RAM,18-239_S185_L004_R1_001_val_1,Rim,Ambient,Rim,R-8-B_Adult
18-442,R-9-B,Rim-Ambient-Rim,2018,Adult,A-RAM,18-442_S165_L004_R1_001_val_1,Rim,Ambient,Rim,R-9-B_Adult
18-167,R-19-A,Rim-Heated-Patch,2018,Adult,A-RHP,18-167_S166_L004_R1_001_val_1,Rim,Heated,Patch,R-19-A_Adult
18-227,R-11-A,Rim-Heated-Patch,2018,Adult,A-RHP,18-227_S170_L004_R1_001_val_1,Rim,Heated,Patch,R-11-A_Adult
18-406,R-15-A,Rim-Heated-Patch,2018,Adult,A-RHP,18-406_S177_L004_R1_001_val_1,Rim,Heated,Patch,R-15-A_Adult
18-79,R-14-A,Rim-Heated-Patch,2018,Adult,A-RHP,18-79_S181_L004_R1_001_val_1,Rim,Heated,Patch,R-14-A_Adult
18-250,R-11-B,Rim-Heated-Rim,2018,Adult,A-RHR,18-250_S195_L004_R1_001_val_1,Rim,Heated,Rim,R-11-B_Adult
