,ASV,Phylum,Class,Order,Family,Genus,Species,Metabolite,Corr.r
1,ASV-1041,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured uncultured_bacterium,Glycerate,0.876436808
2,ASV-1079,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,Unclassified  Lewinella,Glycerate,0.876436808
3,ASV-1101,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,Unclassified  uncultured,Glycerate,0.876436808
4,ASV-1115,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Portibacter,Portibacter uncultured_bacterium,Glycerate,0.876436808
5,ASV-1121,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,Unclassified  uncultured,Glycerate,0.876436808
6,ASV-1164,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Salinirepens,Unclassified  Salinirepens,Glycerate,0.876436808
7,ASV-1176,Bacteroidota,Bacteroidia,Flavobacteriales,Unclassified Flavobacteriales,Unclassified Flavobacteriales,Unclassified Flavobacteriales,Glycerate,0.876436808
8,ASV-1358,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Unclassified  Tenacibaculum,Glycerate,0.876436808
9,ASV-1394,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Unclassified  Winogradskyella,Glycerate,0.876436808
10,ASV-1426,Bacteroidota,Bacteroidia,Chitinophagales,uncultured,uncultured,uncultured uncultured_organism,Glycerate,0.876436808
11,ASV-147,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,uncultured uncultured_soil,Glycerate,0.876436808
12,ASV-1473,Bacteroidota,Bacteroidia,Cytophagales,Unclassified Cytophagales,Unclassified Cytophagales,Unclassified Cytophagales,Glycerate,0.876436808
13,ASV-1525,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,uncultured uncultured_Flammeovirgaceae,Glycerate,0.876436808
14,ASV-1541,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Unclassified  Ekhidna,Feature 112,-0.853757718
15,ASV-1541,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Unclassified  Ekhidna,Feature 126,-0.85113896
16,ASV-1541,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Unclassified  Ekhidna,Feature 101,-0.851746654
17,ASV-1546,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Unclassified  Ekhidna,Glycerate,0.876436808
18,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 105,-0.948173839
19,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 10,0.91878336
20,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,4-Guanidinobutanoic acid,0.935350698
21,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 114,-0.945968334
22,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 113,-0.937373678
23,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 117,-0.934519162
24,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 110,-0.947660947
25,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 103,-0.946000592
26,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 108,-0.968623064
27,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 125,-0.905174895
28,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 139,-0.970087825
29,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 12,0.944469705
30,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 109,-0.963156155
31,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 102,-0.971860139
32,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Arginine,0.936308413
33,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 56,-0.969153467
34,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 137,-0.965359647
35,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 104,-0.956938225
36,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 118,-0.96728185
37,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 140,-0.906539061
38,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 138,-0.972313095
39,ASV-1567,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,Ekhidna uncultured_Flammeovirgaceae,Feature 16,0.906381207
