"","gene","GO_ID","adj.pval.Origin","adj.pval.Treatment","adj.pval.LifeStage","adj.pval.Origin_x_Treatment","adj.pval.Origin_x_LifeStage","adj.pval.Treatment_x_LifeStage","adj.pval.Origin_x_Treatment_x_LifeStage","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect","direction"
"1","Pastreoides00024","GO:0001817",0.00556459947419163,0.954184669052117,2.50466276316744e-15,0.368926618395739,0.894402317488595,0.834341625444198,0.600872472780248,0.036454916218045,0.998497123364643,2,3,"regulation of cytokine production","BP","other biological processes","P","Adult"
"2","Pastreoides00081","GO:0015074",2.43825507401322e-15,2.8369578391168e-10,1.21441768041595e-73,0.00551569522066572,0.75255344431002,0.0856986122909982,0.789247987113137,0.000380454439989532,0.999938485461057,9,23,"DNA integration","BP","DNA metabolism","P","Larvae"
"3","Pastreoides00081","GO:0015074",2.43825507401322e-15,2.8369578391168e-10,1.21441768041595e-73,0.00551569522066572,0.75255344431002,0.0856986122909982,0.789247987113137,0.000380454439989532,0.999938485461057,9,23,"DNA integration","BP","DNA metabolism","P","Larvae"
"4","Pastreoides00278","GO:0008333",0.590168506054998,0.879393405140479,7.15940947506582e-05,0.000521948867837783,0.457026065380483,0.923579546718343,0.939331099154697,0.0377525996862966,0.995347337201091,3,7,"endosome to lysosome transport","BP","transport","P","Adult"
"5","Pastreoides00783","GO:0006513",0.23029782841491,0.018113679547951,0.0227786864228681,0.901485425607197,0.787172236550861,0.883223941139491,0.821757780483518,0.0357392377709332,0.998543031953974,2,3,"protein monoubiquitination","BP","protein metabolism","P","Adult"
"6","Pastreoides00993","GO:0022414",0.0201896526548535,0.371788337250464,0.00470492619060579,0.277192237509306,0.755455711742507,0.957500090889148,0.987848662689874,0.0438142009207497,0.994753352963793,3,6,"reproductive process","BP","other biological processes","P","Adult"
"7","Pastreoides02042","GO:0022414",0.967094518848564,0.976439581475014,5.00941374773781e-10,0.948111613095141,0.896424298708709,0.980774120059778,0.939006884080784,0.0438142009207497,0.994753352963793,3,6,"reproductive process","BP","other biological processes","P","Adult"
"8","Pastreoides02486","GO:0010838",0.00136294007563178,0.000147114984396291,0.000218211530245825,0.599687580844802,0.20430525499404,0.00279434654573005,0.0058180577224669,0.0374569253513271,0.998431950280602,2,3,"positive regulation of keratinocyte proliferation","BP","cell cycle and proliferation","P","Adult"
"9","Pastreoides02486","GO:0006886",0.00136294007563178,0.000147114984396291,0.000218211530245825,0.599687580844802,0.20430525499404,0.00279434654573005,0.0058180577224669,0.0152752972899906,0.995157916498627,9,35,"intracellular protein transport","BP","transport","P","Adult"
"10","Pastreoides03198","GO:0051496",0.907077979852381,0.885241527211571,0.0399825208467827,0.917250869291879,0.927888250214417,0.200562020720503,0.726114325882085,0.037859599339769,0.995328770702424,3,7,"positive regulation of stress fiber assembly","BP","cell organization and biogenesis","P","Adult"
"11","Pastreoides03442","GO:0060385",0.684720623049141,0.849461736293542,0.0065175811034568,0.67975010745362,0.759977267057122,0.873584342879206,0.987848662689874,0.0118696578747206,1,2,2,"axonogenesis involved in innervation","BP","cell organization and biogenesis","P","Adult"
"12","Pastreoides03540","GO:0006886",1.8188272077752e-53,1.103254944146e-21,0.00289167382392054,5.99896344927574e-08,0.897353323411048,0.74333573302447,0.982518828176512,0.0152752972899906,0.995157916498627,9,35,"intracellular protein transport","BP","transport","P","Adult"
