"","GOSlim_bin","direction","n"
"1","cell organization and biogenesis","Patch",6
"2","cell organization and biogenesis","Rim",1
"3","developmental processes","Patch",6
"4","developmental processes","Rim",2
"5","DNA metabolism","Patch",42
"6","DNA metabolism","Rim",35
"7","other biological processes","Patch",15
"8","other biological processes","Rim",2
"9","other metabolic processes","Patch",28
"10","other metabolic processes","Rim",8
"11","protein metabolism","Patch",11
"12","protein metabolism","Rim",1
"13","RNA metabolism","Rim",2
"14","signal transduction","Patch",8
"15","signal transduction","Rim",1
"16","transport","Patch",15
"17","transport","Rim",14
