"","GO_ID","gene","adj.pval.Origin","adj.pval.Treatment","adj.pval.LifeStage","adj.pval.Origin_x_Treatment","adj.pval.Origin_x_LifeStage","adj.pval.Treatment_x_LifeStage","adj.pval.Origin_x_Treatment_x_LifeStage","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0000062","Pastreoides04562",0.754832777053564,0.000383166260449782,0.836658619167689,0.482484588379133,0.888887628219776,0.836628513170998,0.848651929708684,NA,NA,NA,NA,NA,NA,NA,NA
"2","GO:0000086","Pastreoides13337",0.0134808910330698,0.0471603471570399,0.395958533772753,0.590005151015521,0.944537990507438,0.805516666869128,0.60084368314643,NA,NA,NA,NA,NA,NA,NA,NA
"3","GO:0000118","Pastreoides45678",1.1127493770141e-37,0.00113399341106339,0.534475260749805,0.948111613095141,0.852892996840806,0.958168241150804,0.973223460339163,NA,NA,NA,NA,NA,NA,NA,NA
"4","GO:0000122","Pastreoides00089",0.553799468863992,0.000149670508681743,0.00414135773760335,0.811338941983177,0.819234407295945,0.832858289651228,0.734811581262585,NA,NA,NA,NA,NA,NA,NA,NA
"5","GO:0000122","Pastreoides01150",4.00593569732151e-35,0.00292764858303138,0.000509587697910392,0.00714867529346164,0.552345956994265,0.832029745504566,0.916018083344968,NA,NA,NA,NA,NA,NA,NA,NA
"6","GO:0000122","Pastreoides02491",0.480564028099601,0.0220930676085894,0.258728162069659,0.104276821391783,0.387260094757041,0.820498933652446,0.920374601732649,NA,NA,NA,NA,NA,NA,NA,NA
"7","GO:0000122","Pastreoides03298",0.907738818226816,0.00804764296481479,0.572238063593082,0.99636450023221,0.862238581749107,0.794865183492079,0.598287374123589,NA,NA,NA,NA,NA,NA,NA,NA
"8","GO:0000122","Pastreoides38729",7.40944250240339e-30,8.282380579657e-13,0.802680250239681,0.661374609746919,0.659832444894455,0.0378273441913467,0.207349427155228,NA,NA,NA,NA,NA,NA,NA,NA
"9","GO:0000122","Pastreoides45678",1.1127493770141e-37,0.00113399341106339,0.534475260749805,0.948111613095141,0.852892996840806,0.958168241150804,0.973223460339163,NA,NA,NA,NA,NA,NA,NA,NA
"10","GO:0000126","Pastreoides57981",2.61073111829514e-06,0.0187281746976227,1.19762722319221e-187,0.00147397236200338,1.55558839496316e-10,0.0544007734677706,0.0655478706730789,NA,NA,NA,NA,NA,NA,NA,NA
"11","GO:0000132","Pastreoides24119",1.23335837968465e-88,2.45295551123021e-05,0.828161604513265,3.44960228502593e-09,0.982366292335021,0.702114862517576,0.944882199510928,NA,NA,NA,NA,NA,NA,NA,NA
"12","GO:0000137","Pastreoides10252",0.0778122824117036,0.0081318901286621,0.881180788089177,6.20373476638309e-05,0.32602753024806,0.786186285027249,0.818618646230973,0.0135309469085478,1,2,2,"Golgi cis cisterna","CC","ER/Golgi","C"
"13","GO:0000137","Pastreoides23817",0.355168440361383,0.00199952460431118,0.861472232879381,0.473983054462007,0.863985119039748,0.915860826994623,0.981826412706755,0.0135309469085478,1,2,2,"Golgi cis cisterna","CC","ER/Golgi","C"
"14","GO:0000138","Pastreoides10252",0.0778122824117036,0.0081318901286621,0.881180788089177,6.20373476638309e-05,0.32602753024806,0.786186285027249,0.818618646230973,NA,NA,NA,NA,NA,NA,NA,NA
"15","GO:0000139","Pastreoides10252",0.0778122824117036,0.0081318901286621,0.881180788089177,6.20373476638309e-05,0.32602753024806,0.786186285027249,0.818618646230973,NA,NA,NA,NA,NA,NA,NA,NA
"16","GO:0000139","Pastreoides13337",0.0134808910330698,0.0471603471570399,0.395958533772753,0.590005151015521,0.944537990507438,0.805516666869128,0.60084368314643,NA,NA,NA,NA,NA,NA,NA,NA
"17","GO:0000139","Pastreoides13607",2.48036422916302e-08,5.34338545390713e-08,0.795858290363505,0.0887522264791519,0.150172738195562,0.034990885650855,0.36203841586275,NA,NA,NA,NA,NA,NA,NA,NA
"18","GO:0000139","Pastreoides23817",0.355168440361383,0.00199952460431118,0.861472232879381,0.473983054462007,0.863985119039748,0.915860826994623,0.981826412706755,NA,NA,NA,NA,NA,NA,NA,NA
"19","GO:0000154","Pastreoides02208",4.83767262934998e-59,1.30437100068009e-47,0.015721320361408,2.32980504289252e-21,0.95232912799918,0.916319744872964,0.793756773969659,NA,NA,NA,NA,NA,NA,NA,NA
"20","GO:0000166","Pastreoides08215",7.80871243269889e-10,0.0453750195724845,0.965709575500436,0.0605440626061527,0.926788529496909,0.336440759177464,0.982260619573731,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"21","GO:0000166","Pastreoides17880",1.57539381075176e-14,1.27053455094494e-37,5.03042811955832e-10,0.0018358384298694,0.055294035987902,0.334646845455828,0.0253228218288884,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"22","GO:0000166","Pastreoides02895",2.2370931758027e-13,1.13936160768285e-15,0.462876318516239,5.99063514726724e-06,0.0674631507432189,0.804420365506259,0.00585603464147358,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
"23","GO:0000166","Pastreoides11081",0.974145334611984,0.000877706541101941,0.189304418583098,0.482484588379133,0.648078860842133,0.909646901058539,0.916018083344968,0.000580995387062194,0.999776997625567,23,104,"nucleotide binding","MF","other molecular function","F"
