"","GO_ID","gene","adj.pval.Origin","adj.pval.Treatment","adj.pval.LifeStage","adj.pval.Origin_x_Treatment","adj.pval.Origin_x_LifeStage","adj.pval.Treatment_x_LifeStage","adj.pval.Origin_x_Treatment_x_LifeStage","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0000122","Pastreoides07243",0.992695811350681,0.98386882520418,0.707460467242177,0.336720201990786,0.718802397371619,0.0240808920314471,1,NA,NA,NA,NA,NA,NA,NA,NA
"2","GO:0000139","Pastreoides13607",3.03806174877144e-08,7.58304350306425e-08,0.821197023859389,0.0988295821120736,0.168352252075161,0.0498314072319001,0.374342945940258,NA,NA,NA,NA,NA,NA,NA,NA
"3","GO:0000166","Pastreoides24355",0.165377476735463,0.924151696684225,0.789868595385334,0.835403359096541,0.0594486509369861,0.00071649372691264,0.0042757595906925,0.0323679697667875,0.990160683392567,6,184,"nucleotide binding","MF","other molecular function","F"
"4","GO:0000166","Pastreoides33741",1.41889061477891e-09,0.018276743656268,5.07408742634461e-07,2.99419646828282e-12,0.770263567038519,0.0207985233530756,0.253310381440865,0.0323679697667875,0.990160683392567,6,184,"nucleotide binding","MF","other molecular function","F"
"5","GO:0000166","Pastreoides13181",0.193032597302573,1.44863100648477e-05,0.952468122915206,0.00992015224717596,0.841448743850034,0.00071649372691264,0.585170782284611,0.0323679697667875,0.990160683392567,6,184,"nucleotide binding","MF","other molecular function","F"
"6","GO:0000166","Pastreoides13181",0.193032597302573,1.44863100648477e-05,0.952468122915206,0.00992015224717596,0.841448743850034,0.00071649372691264,0.585170782284611,0.0323679697667875,0.990160683392567,6,184,"nucleotide binding","MF","other molecular function","F"
"7","GO:0000166","Pastreoides04598",0.6385278428,0.140070536805972,0.00104616397494518,0.194247321338086,0.662506307481678,0.0196302699935557,0.431116648709643,0.0323679697667875,0.990160683392567,6,184,"nucleotide binding","MF","other molecular function","F"
"8","GO:0000166","Pastreoides55947",1.18400128854169e-07,0.990450782091733,0.119155987737081,0.173957328871977,0.770263567038519,0.0334524527720224,0.338874829362318,0.0323679697667875,0.990160683392567,6,184,"nucleotide binding","MF","other molecular function","F"
"9","GO:0000166","Pastreoides55947",1.18400128854169e-07,0.990450782091733,0.119155987737081,0.173957328871977,0.770263567038519,0.0334524527720224,0.338874829362318,0.0323679697667875,0.990160683392567,6,184,"nucleotide binding","MF","other molecular function","F"
"10","GO:0000166","Pastreoides00785",1.66842261583874e-199,2.96983172332458e-06,0.0021394234768445,8.86110611346317e-16,0.748310770168627,0.023541968822934,0.342383947317525,0.0323679697667875,0.990160683392567,6,184,"nucleotide binding","MF","other molecular function","F"
"11","GO:0000166","Pastreoides04598",0.6385278428,0.140070536805972,0.00104616397494518,0.194247321338086,0.662506307481678,0.0196302699935557,0.431116648709643,0.0323679697667875,0.990160683392567,6,184,"nucleotide binding","MF","other molecular function","F"
"12","GO:0000166","Pastreoides33741",1.41889061477891e-09,0.018276743656268,5.07408742634461e-07,2.99419646828282e-12,0.770263567038519,0.0207985233530756,0.253310381440865,0.0323679697667875,0.990160683392567,6,184,"nucleotide binding","MF","other molecular function","F"
"13","GO:0000381","Pastreoides11347",1.22803012751892e-11,9.36848044401498e-06,0.0760809794887178,0.681159223950022,0.531432440408743,0.00251172617193143,0.864390112478344,NA,NA,NA,NA,NA,NA,NA,NA
"14","GO:0000390","Pastreoides21112",3.73466548186712e-06,0.980787530560042,0.504854500841858,0.998994219465562,0.636438395993033,0.0334524527720224,0.342383947317525,0.0258617775026418,0.999832541758825,1,2,"spliceosomal complex disassembly","BP","RNA metabolism","P"
"15","GO:0000398","Pastreoides02166",2.04852967627991e-05,0.169814381364474,0.800669869055053,0.26620637694008,0.0479994314928324,0.00331460256981728,0.311355777870018,0.0224450685842971,0.998484667266211,2,18,"mRNA splicing, via spliceosome","BP","RNA metabolism","P"
"16","GO:0000398","Pastreoides48386",0.000932443262146001,9.5239593671407e-10,0.100663709862162,9.86939764672762e-09,0.988122287771753,5.90546720633012e-11,0.85428683721694,0.0224450685842971,0.998484667266211,2,18,"mRNA splicing, via spliceosome","BP","RNA metabolism","P"
"17","GO:0000412","Pastreoides02166",2.04852967627991e-05,0.169814381364474,0.800669869055053,0.26620637694008,0.0479994314928324,0.00331460256981728,0.311355777870018,0.0131238366881279,1,1,1,"histone peptidyl-prolyl isomerization","BP","protein metabolism","P"
"18","GO:0000413","Pastreoides02166",2.04852967627991e-05,0.169814381364474,0.800669869055053,0.26620637694008,0.0479994314928324,0.00331460256981728,0.311355777870018,0.0016825372585749,0.99997812304266,2,5,"protein peptidyl-prolyl isomerization","BP","protein metabolism","P"
