"","GO_ID","gene","colors","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0000003","Pastreoides54937","brown",NA,NA,NA,NA,NA,NA,NA,NA
"2","GO:0000018","Pastreoides22503","brown",NA,NA,NA,NA,NA,NA,NA,NA
"3","GO:0000077","Pastreoides24898","brown",NA,NA,NA,NA,NA,NA,NA,NA
"4","GO:0000082","Pastreoides03951","brown",NA,NA,NA,NA,NA,NA,NA,NA
"5","GO:0000122","Pastreoides00089","brown",NA,NA,NA,NA,NA,NA,NA,NA
"6","GO:0000122","Pastreoides01150","brown",NA,NA,NA,NA,NA,NA,NA,NA
"7","GO:0000122","Pastreoides08493","brown",NA,NA,NA,NA,NA,NA,NA,NA
"8","GO:0000122","Pastreoides20277","brown",NA,NA,NA,NA,NA,NA,NA,NA
"9","GO:0000122","Pastreoides27238","brown",NA,NA,NA,NA,NA,NA,NA,NA
"10","GO:0000122","Pastreoides38073","brown",NA,NA,NA,NA,NA,NA,NA,NA
"11","GO:0000122","Pastreoides33482","brown",NA,NA,NA,NA,NA,NA,NA,NA
"12","GO:0000126","Pastreoides10751","brown",NA,NA,NA,NA,NA,NA,NA,NA
"13","GO:0000132","Pastreoides24119","brown",NA,NA,NA,NA,NA,NA,NA,NA
"14","GO:0000139","Pastreoides13607","brown",NA,NA,NA,NA,NA,NA,NA,NA
"15","GO:0000139","Pastreoides23988","brown",NA,NA,NA,NA,NA,NA,NA,NA
"16","GO:0000139","Pastreoides23988","brown",NA,NA,NA,NA,NA,NA,NA,NA
"17","GO:0000139","Pastreoides27332","brown",NA,NA,NA,NA,NA,NA,NA,NA
"18","GO:0000149","Pastreoides45686","brown",NA,NA,NA,NA,NA,NA,NA,NA
"19","GO:0000151","Pastreoides17040","brown",NA,NA,NA,NA,NA,NA,NA,NA
"20","GO:0000154","Pastreoides02208","brown",NA,NA,NA,NA,NA,NA,NA,NA
"21","GO:0000166","Pastreoides01150","brown",NA,NA,NA,NA,NA,NA,NA,NA
"22","GO:0000166","Pastreoides04543","brown",NA,NA,NA,NA,NA,NA,NA,NA
"23","GO:0000166","Pastreoides09651","brown",NA,NA,NA,NA,NA,NA,NA,NA
"24","GO:0000166","Pastreoides15601","brown",NA,NA,NA,NA,NA,NA,NA,NA
