Permutation: free
Number of permutations: 9999

Terms added sequentially (first to last)

                           Df SumsOfSqs MeanSqs F.Model      R2 Pr(>F)    
Origin                      1      4978  4978.2 1.64689 0.05527 0.0001 ***
Treatment                   1      3392  3391.6 1.12200 0.03765 0.0981 .  
LifeStage                   1      4468  4468.0 1.47809 0.04960 0.0004 ***
Origin:Treatment            1      3218  3218.3 1.06467 0.03573 0.2014    
Origin:LifeStage            1      2515  2515.4 0.83212 0.02793 0.9950    
Treatment:LifeStage         1      2597  2596.9 0.85911 0.02883 0.9787    
Origin:Treatment:LifeStage  1      2403  2403.5 0.79512 0.02668 0.9998    
Residuals                  22     66502  3022.8         0.73830           
Total                      29     90074                 1.00000           
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
