"","GO_ID","gene","colors","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"1","GO:0000122","Pastreoides12888","grey60",0.00379194144747175,0.999302644234675,6,73,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"2","GO:0000122","Pastreoides22890","grey60",0.00379194144747175,0.999302644234675,6,73,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"3","GO:0000122","Pastreoides15556","grey60",0.00379194144747175,0.999302644234675,6,73,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"4","GO:0000122","Pastreoides36412","grey60",0.00379194144747175,0.999302644234675,6,73,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"5","GO:0000122","Pastreoides05639","grey60",0.00379194144747175,0.999302644234675,6,73,"negative regulation of transcription by RNA polymerase II","BP","RNA metabolism","P"
"6","GO:0000183","Pastreoides24485","grey60",0.0210170050028819,1,1,1,"rDNA heterochromatin assembly","BP","RNA metabolism","P"
"7","GO:0000354","Pastreoides14125","grey60",0.0203792457288144,1,1,1,"cis assembly of pre-catalytic spliceosome","BP","cell organization and biogenesis","P"
"8","GO:0000930","Pastreoides24262","grey60",0.0413692297557005,0.999569783399794,1,2,"gamma-tubulin complex","CC","cytoskeleton","C"
"9","GO:0001667","Pastreoides13831","grey60",0.0418550221944566,0.999559507985278,1,2,"ameboidal-type cell migration","BP","other biological processes","P"
"10","GO:0002244","Pastreoides21234","grey60",0.0209068822410797,0.998728289229336,2,11,"hematopoietic progenitor cell differentiation","BP","developmental processes","P"
"11","GO:0004679","Pastreoides57880","grey60",0.0211367755135732,1,1,1,"AMP-activated protein kinase activity","MF","kinase activity","F"
"12","GO:0005049","Pastreoides21221","grey60",0.0405686877209007,0.999586446159667,1,2,"nuclear export signal receptor activity","MF","other molecular function","F"
"13","GO:0005096","Pastreoides53032","grey60",0.0303991351798278,0.995494625925156,3,33,"GTPase activator activity","MF","enzyme regulator activity","F"
"14","GO:0005096","Pastreoides35766","grey60",0.0303991351798278,0.995494625925156,3,33,"GTPase activator activity","MF","enzyme regulator activity","F"
"15","GO:0005524","Pastreoides01957","grey60",0.0232591683975616,0.991164572126865,10,238,"ATP binding","MF","other molecular function","F"
"16","GO:0007165","Pastreoides23500","grey60",0.0277398103701697,0.991130580268205,7,143,"signal transduction","BP","signal transduction","P"
