"","gene","colors"
"1","Pastreoides00007","green"
"2","Pastreoides00010","purple"
"3","Pastreoides00019","turquoise"
"4","Pastreoides00024","blue"
"5","Pastreoides00039","turquoise"
"6","Pastreoides00052","turquoise"
"7","Pastreoides00054","blue"
"8","Pastreoides00059","tan"
"9","Pastreoides00069","brown"
"10","Pastreoides00081","tan"
"11","Pastreoides00089","brown"
"12","Pastreoides00098","turquoise"
"13","Pastreoides00108","midnightblue"
"14","Pastreoides00109","grey"
"15","Pastreoides00114","purple"
"16","Pastreoides00124","blue"
"17","Pastreoides00135","yellow"
"18","Pastreoides00136","purple"
"19","Pastreoides00137","yellow"
"20","Pastreoides00166","brown"
"21","Pastreoides00168","blue"
"22","Pastreoides00170","salmon"
"23","Pastreoides00186","green"
"24","Pastreoides00190","red"
"25","Pastreoides00207","red"
"26","Pastreoides00213","grey"
"27","Pastreoides00221","turquoise"
"28","Pastreoides00224","grey"
"29","Pastreoides00238","brown"
"30","Pastreoides00248","green"
"31","Pastreoides00254","lightcyan"
"32","Pastreoides00265","tan"
"33","Pastreoides00278","magenta"
"34","Pastreoides00281","turquoise"
"35","Pastreoides00332","blue"
"36","Pastreoides00340","pink"
"37","Pastreoides00345","grey"
"38","Pastreoides00379","blue"
"39","Pastreoides00384","lightcyan"
"40","Pastreoides00389","blue"
"41","Pastreoides00408","salmon"
"42","Pastreoides00413","blue"
"43","Pastreoides00414","brown"
"44","Pastreoides00434","red"
"45","Pastreoides00437","brown"
"46","Pastreoides00453","salmon"
"47","Pastreoides00456","green"
"48","Pastreoides00457","magenta"
"49","Pastreoides00458","purple"
"50","Pastreoides00462","turquoise"
"51","Pastreoides00472","midnightblue"
"52","Pastreoides00484","grey"
"53","Pastreoides00523","yellow"
"54","Pastreoides00528","lightcyan"
"55","Pastreoides00538","salmon"
"56","Pastreoides00543","turquoise"
"57","Pastreoides00610","greenyellow"
"58","Pastreoides00612","green"
"59","Pastreoides00613","tan"
"60","Pastreoides00644","turquoise"
"61","Pastreoides00649","grey"
"62","Pastreoides00674","cyan"
"63","Pastreoides00704","turquoise"
"64","Pastreoides00715","brown"
"65","Pastreoides00754","purple"
"66","Pastreoides00774","salmon"
"67","Pastreoides00778","yellow"
