"","gene","colors"
"1","Pastreoides00010","purple"
"2","Pastreoides00024","blue"
"3","Pastreoides00027","yellow"
"4","Pastreoides00028","yellow"
"5","Pastreoides00039","grey"
"6","Pastreoides00051","darkturquoise"
"7","Pastreoides00052","darkred"
"8","Pastreoides00053","royalblue"
"9","Pastreoides00054","blue"
"10","Pastreoides00059","black"
"11","Pastreoides00069","brown"
"12","Pastreoides00081","turquoise"
"13","Pastreoides00082","turquoise"
"14","Pastreoides00089","lightgreen"
"15","Pastreoides00098","green"
"16","Pastreoides00108","greenyellow"
"17","Pastreoides00109","darkgreen"
"18","Pastreoides00110","grey"
"19","Pastreoides00114","green"
"20","Pastreoides00124","brown"
"21","Pastreoides00126","lightyellow"
"22","Pastreoides00127","turquoise"
"23","Pastreoides00135","lightgreen"
"24","Pastreoides00136","darkturquoise"
"25","Pastreoides00137","brown"
"26","Pastreoides00166","lightgreen"
"27","Pastreoides00168","blue"
"28","Pastreoides00170","lightcyan"
"29","Pastreoides00174","black"
"30","Pastreoides00186","brown"
"31","Pastreoides00188","red"
"32","Pastreoides00190","cyan"
"33","Pastreoides00207","salmon"
"34","Pastreoides00213","magenta"
"35","Pastreoides00221","grey"
"36","Pastreoides00224","blue"
"37","Pastreoides00238","greenyellow"
"38","Pastreoides00248","brown"
"39","Pastreoides00249","grey"
"40","Pastreoides00254","grey60"
"41","Pastreoides00265","cyan"
"42","Pastreoides00267","red"
"43","Pastreoides00268","grey"
"44","Pastreoides00271","blue"
"45","Pastreoides00278","darkred"
"46","Pastreoides00279","darkturquoise"
"47","Pastreoides00281","tan"
"48","Pastreoides00284","grey"
"49","Pastreoides00288","green"
"50","Pastreoides00291","darkgreen"
"51","Pastreoides00332","lightcyan"
"52","Pastreoides00333","midnightblue"
"53","Pastreoides00339","red"
"54","Pastreoides00340","darkred"
"55","Pastreoides00344","royalblue"
"56","Pastreoides00345","grey"
"57","Pastreoides00373","darkred"
"58","Pastreoides00379","grey60"
"59","Pastreoides00384","grey"
"60","Pastreoides00389","yellow"
"61","Pastreoides00392","green"
"62","Pastreoides00408","lightcyan"
"63","Pastreoides00413","yellow"
"64","Pastreoides00414","turquoise"
"65","Pastreoides00416","darkred"
"66","Pastreoides00425","royalblue"
"67","Pastreoides00434","red"
"68","Pastreoides00437","turquoise"
"69","Pastreoides00444","tan"
"70","Pastreoides00450","greenyellow"
"71","Pastreoides00453","lightgreen"
"72","Pastreoides00456","darkred"
"73","Pastreoides00457","pink"
"74","Pastreoides00458","grey"
"75","Pastreoides00462","pink"
"76","Pastreoides00466","red"
"77","Pastreoides00472","yellow"
"78","Pastreoides00480","brown"
"79","Pastreoides00483","blue"
"80","Pastreoides00484","greenyellow"
"81","Pastreoides00511","brown"
"82","Pastreoides00522","black"
"83","Pastreoides00523","royalblue"
"84","Pastreoides00528","grey60"
"85","Pastreoides00538","salmon"
"86","Pastreoides00543","greenyellow"
"87","Pastreoides00563","turquoise"
"88","Pastreoides00578","pink"
"89","Pastreoides00603","blue"
"90","Pastreoides00608","yellow"
