totalLines	Meth	sparseMeth	unMeth	percentMeth	percentSparseMeth	percentUnMeth
18-106	4527111	339827	300128	3887156	7.50648702892419	6.62957016074932	85.8639428103265
18-118	5597804	401162	344847	4851795	7.16641740225274	6.16039789889035	86.6731846988569
18-130	4104763	255370	277521	3571872	6.22130924489429	6.76095063222895	87.0177401228768
18-142	4884343	317770	263596	4302977	6.50589035209034	5.39675448673445	88.0973551611752
18-167	2463417	176774	169833	2116810	7.1759673656551	6.89420426992263	85.9298283644223
18-178	5188393	359141	262682	4566570	6.92200841378053	5.06287785061772	88.0151137356018
18-190	5235506	387930	283804	4563772	7.40959899577997	5.42075589255365	87.1696451116664
18-202	3310274	233847	174799	2901628	7.06427927114191	5.28049943901925	87.6552212898388
18-20	4670049	306141	251131	4112777	6.55541301600904	5.3774810499847	88.0671059340063
18-227	4704858	258126	312806	4133926	5.4863717459698	6.64857472850403	87.8650535255262
18-239	3954330	248410	227048	3478872	6.2819744432053	5.74175650489463	87.9762690519001
18-250	6100768	393525	322314	5384929	6.45041739007286	5.28317090569581	88.2664117042313
18-262	6854723	478062	334404	6042257	6.97419866564995	4.87844658347245	88.1473547508776
18-311	5632004	375339	321377	4935288	6.66439512471937	5.70626370293771	87.6293411723429
18-322	5462756	390522	314692	4757542	7.14880913590137	5.76068197078544	87.0905088933132
18-32	5424011	423021	293779	4707211	7.79904391786816	5.41626851420471	86.7846875679271
18-334	377146	30500	24581	322065	8.08705382000605	6.51763508031372	85.3953110996802
18-346	7094939	522153	350248	6222538	7.35951359130783	4.93658930682843	87.7038971018637
18-358	4928861	324941	400057	4203863	6.59261845688081	8.11662166979349	85.2907598733257
18-370	5907039	411792	381442	5113805	6.97120841761837	6.45741462008292	86.5713769622987
18-394	4421506	293491	254491	3873524	6.63780621353901	5.75575380877013	87.6064399776909
18-406	5986501	425700	327169	5233632	7.11099856159717	5.46511225839601	87.4238891800068
18-418	5640553	399846	289792	4950915	7.0887730334242	5.13765228338427	87.7735746831915
18-442	7830166	629113	461925	6739128	8.03447845167012	5.89930021917798	86.0662213291519
18-44	6501465	475540	343026	5682899	7.31435145770992	5.27613391750936	87.4095146247807
18-454	7627601	572691	389304	6665606	7.50814050184324	5.10388521895679	87.3879742792
18-466	7787309	556111	422079	6809119	7.14124738083464	5.42008799188526	87.4386646272801
18-55	5835415	389440	306923	5139052	6.67373271652487	5.25966019554736	88.0666070879278
18-67	4083785	274445	225697	3583643	6.72035868685545	5.52666215288023	87.7529791602643
18-79	7046855	500898	385824	6160133	7.10810709174518	5.47512329968475	87.4167696085701
18-91	1035017	56378	94102	884537	5.44706028983099	9.09183134190067	85.4611083682683
18-9	725233	43358	66354	615521	5.97849242932961	9.14933545495034	84.87217211572
L-1029	4867549	328242	223090	4316217	6.74347602869535	4.58321015361119	88.6733138176935
L-1038	4555292	315794	227119	4012379	6.93246448306717	4.98582747275037	88.0817080441825
L-1053	6352836	511257	351698	5489881	8.0476971229857	5.53607868989535	86.416224187119
L-1059	7551302	527897	344127	6679278	6.99080767793422	4.55718762141946	88.4520047006463
L-1093	7108688	561224	400789	6146675	7.89490268809097	5.638016466611	86.467080845298
L-1257	8781711	693035	387888	7700788	7.89179921771509	4.4169980087024	87.6912027735825
L-1263	8085738	583587	460727	7041424	7.2174858992463	5.69802039096493	87.0844937097888
L-562	4471821	257266	218901	3995654	5.75304780759337	4.8951199075276	89.351832284879
L-571	7147304	492048	328757	6326499	6.88438605661659	4.59973438935856	88.5158795540248
L-661	6156923	428486	301901	5426536	6.9594178780537	4.90343959149725	88.1371425304491
L-704	6763146	537188	367899	5858059	7.94287155711262	5.43976131817944	86.6173671247079
L-728	2165197	138893	167990	1858314	6.4147973602402	7.75864736557459	85.8265552741852
L-862	4272213	326434	201939	3743840	7.64086434828975	4.72680084068842	87.6323348110218
L-924	5074266	305240	258218	4510808	6.01545129876912	5.08877540121074	88.8957733000201
L-933	6627315	433030	297578	5896707	6.53401867875603	4.49017437680267	88.9758069444413
