Sample.ID	Meth_Status	Feature	counts	Coral.ID	History	LifeStage	Group	Origin	Treatment	Transplant	Col_Life
1	18-106	Methylated	Downstream_Flanks	15316	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
2	18-106	All_CpGs	All_Flanks	680265	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
3	18-106	All_CpGs	Upstream_Flanks	381332	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
4	18-106	All_CpGs	Intergenic	3847548	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
5	18-106	Methylated	CDS	48844	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
6	18-106	Methylated	Introns	161180	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
7	18-106	Methylated	All_Flanks	32663	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
8	18-106	Unmethylated	Downstream_Flanks	264358	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
9	18-106	Unmethylated	Intergenic	3282988	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
10	18-106	Methylated	Intergenic	307207	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
11	18-106	Sparsely_Methylated	All_Flanks	42813	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
12	18-106	Sparsely_Methylated	Gene	126128	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
13	18-106	Sparsely_Methylated	CDS	36805	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
14	18-106	Sparsely_Methylated	Introns	89245	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
15	18-106	Methylated	Gene	207777	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
16	18-106	Sparsely_Methylated	Upstream_Flanks	23554	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
17	18-106	Sparsely_Methylated	Intergenic	257353	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
18	18-106	All_CpGs	Downstream_Flanks	298933	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
19	18-106	Unmethylated	Upstream_Flanks	340431	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
20	18-106	Unmethylated	CDS	485797	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
21	18-106	Methylated	Upstream_Flanks	17347	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
22	18-106	Unmethylated	All_Flanks	604789	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
23	18-106	All_CpGs	Gene	1842628	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
24	18-106	All_CpGs	CDS	571446	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
25	18-106	All_CpGs	Introns	1264773	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
26	18-106	Unmethylated	Introns	1014348	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
27	18-106	Sparsely_Methylated	Downstream_Flanks	19259	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
