Sample.ID	Meth_Status	Feature	percent	Coral.ID	History	LifeStage	Group	Origin	Treatment	Transplant	Col_Life
1	18-106	Unmethylated	Downstream_Flanks	4.91	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
2	18-106	Unmethylated	Upstream_Flanks	6.32	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
3	18-106	Unmethylated	Intergenic	60.93	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
4	18-106	All_CpGs	Upstream_Flanks	5.99	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
5	18-106	Methylated	CDS	8.88	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
6	18-106	Methylated	Upstream_Flanks	3.15	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
7	18-106	All_CpGs	Introns	19.87	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
8	18-106	Methylated	Introns	29.31	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
9	18-106	All_CpGs	Downstream_Flanks	4.7	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
10	18-106	Sparsely_Methylated	Introns	20.94	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
11	18-106	Methylated	Intergenic	55.87	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
12	18-106	Sparsely_Methylated	Downstream_Flanks	4.52	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
13	18-106	All_CpGs	Intergenic	60.46	P-19-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-19-A_Adult
