"gene"	"adj.pval.Origin"	"adj.pval.Treatment"	"adj.pval.LifeStage"	"adj.pval.Origin_x_Treatment"	"adj.pval.Origin_x_LifeStage"	"adj.pval.Treatment_x_LifeStage"	"adj.pval.Origin_x_Treatment_x_LifeStage"	"Length"	"GO_Name"	"GO_IDs"
"Pastreoides64575"	0.153603049229164	1.02992015040581e-77	2.06883021536715e-127	7.03029627407007e-07	1.47799481330491e-13	5.10556022611484e-55	0.00123061267596606	526	"AT synthesis coupled proton transport; electron transfer activity; proton transmembrane transporter activity; oxidoreductase activity; membrane; proton-transporting AT synthase complex, coupling factor (o); AT synthesis coupled electron transport; NADH dehydrogenase (ubiquinone) activity; mitochondrial inner membrane; integral component of membrane; respirasome"	"GO:0015986; GO:0009055; GO:0015078; GO:0016491; GO:0016020; GO:0045263; GO:0042773; GO:0008137; GO:0005743; GO:0016021; GO:0070469"
"Pastreoides28894"	3.6618112568958e-55	2.04469749554635e-102	0	4.04285088479803e-108	9.51736829542887e-85	3.03858588733174e-49	1.88497284517619e-21	936	"metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0031225"
"Pastreoides64576"	0.954443013277195	1.46193194278182e-48	4.63836749996451e-111	0.00102974063675423	0.193537067424113	2.46494544644306e-38	4.67843901401803e-11	231	"respiratory electron transport chain; electron transfer activity; oxidoreductase activity; membrane; aerobic respiration; electron transport chain; NADH dehydrogenase (ubiquinone) activity; mitochondrial respiratory chain complex I"	"GO:0022904; GO:0009055; GO:0016491; GO:0016020; GO:0009060; GO:0022900; GO:0008137; GO:0005747"
"Pastreoides28897"	2.7743047623122e-40	3.60358952671109e-123	0	0	5.4269703932703e-85	1.27290723145092e-32	0.271773013772728	1627	"metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; host cell cytoplasm; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0030430; GO:0031225"
"Pastreoides28896"	0.567511106941748	3.12457067870788e-59	0	0	8.12381816835542e-44	3.96611330388521e-28	0.000121721081887748	944	"metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; host cell cytoplasm; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0030430; GO:0031225"
"Pastreoides64573"	0.151952188140313	1.25604130231709e-18	5.86419817146276e-73	0.288719790858658	5.8881162671764e-13	4.2974979445648e-27	0.329304751109392	381	"cytochrome-c oxidase activity; copper ion binding; membrane; electron transport chain; electron transfer activity; oxidoreduction-driven active transmembrane transporter activity; metal ion binding; mitochondrion; respirasome"	"GO:0004129; GO:0005507; GO:0016020; GO:0022900; GO:0009055; GO:0015453; GO:0046872; GO:0005739; GO:0070469"
"Pastreoides31715"	4.90402852435654e-98	6.14596132927723e-85	0	1.73401700648313e-182	1.01383785175017e-55	2.03761648887715e-25	4.25948643679383e-20	947	""	""
"Pastreoides57974"	9.16263669547083e-118	7.29051004064905e-75	0	0	0.00565050983356822	6.47951991064559e-14	6.27595080957338e-56	1753	"biological; process; metabolic process; molecular; function; exo-alpha-sialidase activity; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; cellular; component; plasma membrane; membrane; anchored component of membrane"	"GO:0008150; GO:0008152; GO:0003674; GO:0004308; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005575; GO:0005886; GO:0016020; GO:0031225"
"Pastreoides04970"	1.59053631799473e-17	0.000821424060596536	0.0847841088757981	0.409333068730004	0.873467613024697	4.52914813081887e-11	0.198967539368299	411	"protein binding; protein import into nucleus; protein transport; ribosome biogenesis; ribosomal large subunit biogenesis; unfolded protein binding; nucleus; cytoplasm; cytosol"	"GO:0005515; GO:0006606; GO:0015031; GO:0042254; GO:0042273; GO:0051082; GO:0005634; GO:0005737; GO:0005829"
"Pastreoides57982"	0.000438810502250101	8.6141232861072e-16	0	1.63401031232759e-21	9.53476886028921e-76	5.52262941580329e-09	3.99111619440153e-05	205	""	""
