"gene"	"adj.pval.Origin"	"adj.pval.Treatment"	"adj.pval.LifeStage"	"adj.pval.Origin_x_Treatment"	"adj.pval.Origin_x_LifeStage"	"adj.pval.Treatment_x_LifeStage"	"adj.pval.Origin_x_Treatment_x_LifeStage"	"Length"	"GO_Name"	"GO_IDs"
"Pastreoides40768"	1.70579823744006e-298	0	0.0272822710584778	5.49898507181893e-34	0.894402317488595	0.293677828807363	0.618307980722011	244	"membrane; integral component of membrane; membrane; integral component of membrane"	"GO:0016020; GO:0016021; GO:0016020; GO:0016021"
"Pastreoides49786"	0	0	0	2.91776638752279e-66	0	0.392464685393428	0.92563977428179	645	"catalytic activity; lyase activity; catalytic activity; lyase activity"	"GO:0003824; GO:0016829; GO:0003824; GO:0016829"
"Pastreoides08545"	0	2.14898474731901e-226	0	1.87826105703099e-34	4.39353095858297e-27	0.00348552590717796	0.464389866586186	337	"positive regulation of biological process; regulation of cellular process; response to stimulus; binding; cellular anatomical entity"	"GO:0048518; GO:0050794; GO:0050896; GO:0005488; GO:0110165"
"Pastreoides28902"	5.10150980453235e-25	1.27023016244289e-140	0.135708107627449	0.776361797724528	0.802719530432019	0.986430139080427	0.734811581262585	314	""	""
"Pastreoides28897"	2.7743047623122e-40	3.60358952671109e-123	0	0	5.4269703932703e-85	1.27290723145092e-32	0.271773013772728	1627	"metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; host cell cytoplasm; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0030430; GO:0031225"
"Pastreoides21450"	7.87875924139245e-229	7.32335820123742e-103	0.958053287184986	7.09276431140321e-08	0.524825632896766	0.820148745091785	0.835940952228689	314	"translation; RNA binding; structural constituent of ribosome; transferase activity; ribosome; large ribosomal subunit; translation; RNA binding; mitochondrial inner membrane; large ribosomal subunit; intracellular organelle lumen"	"GO:0006412; GO:0003723; GO:0003735; GO:0016740; GO:0005840; GO:0015934; GO:0006412; GO:0003723; GO:0005743; GO:0015934; GO:0070013"
"Pastreoides28894"	3.6618112568958e-55	2.04469749554635e-102	0	4.04285088479803e-108	9.51736829542887e-85	3.03858588733174e-49	1.88497284517619e-21	936	"metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0031225"
"Pastreoides31715"	4.90402852435654e-98	6.14596132927723e-85	0	1.73401700648313e-182	1.01383785175017e-55	2.03761648887715e-25	4.25948643679383e-20	947	""	""
"Pastreoides64575"	0.153603049229164	1.02992015040581e-77	2.06883021536715e-127	7.03029627407007e-07	1.47799481330491e-13	5.10556022611484e-55	0.00123061267596606	526	"AT synthesis coupled proton transport; electron transfer activity; proton transmembrane transporter activity; oxidoreductase activity; membrane; proton-transporting AT synthase complex, coupling factor (o); AT synthesis coupled electron transport; NADH dehydrogenase (ubiquinone) activity; mitochondrial inner membrane; integral component of membrane; respirasome"	"GO:0015986; GO:0009055; GO:0015078; GO:0016491; GO:0016020; GO:0045263; GO:0042773; GO:0008137; GO:0005743; GO:0016021; GO:0070469"
"Pastreoides57974"	9.16263669547083e-118	7.29051004064905e-75	0	0	0.00565050983356822	6.47951991064559e-14	6.27595080957338e-56	1753	"biological; process; metabolic process; molecular; function; exo-alpha-sialidase activity; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; cellular; component; plasma membrane; membrane; anchored component of membrane"	"GO:0008150; GO:0008152; GO:0003674; GO:0004308; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005575; GO:0005886; GO:0016020; GO:0031225"
"Pastreoides00839"	4.28539348540001e-63	1.34490354633489e-73	7.28646653405188e-06	8.07478705275083e-19	0.180804201702397	0.31467282801797	0.967858928572766	166	"tRNA 5'-leader removal; ribonuclease  complex; tRNA 5'-leader removal; ribonuclease  activity; protein binding; ribonuclease  RNA binding; nucleoplasm; nucleolus; multimeric ribonuclease  complex"	"GO:0001682; GO:0030677; GO:0001682; GO:0004526; GO:0005515; GO:0033204; GO:0005654; GO:0005730; GO:0030681"
"Pastreoides09037"	2.78095216553715e-73	7.44734547626232e-64	0.00159067930420582	5.4924381804123e-17	0.125212709351057	0.514112530075545	0.552096811740819	808	"DNA recombination; DNA integration; DNA binding; DNA recombination; DNA integration; DNA binding; nucleus; intracellular membrane-bounded organelle; DNA recombination; DNA integration; DNA binding; nucleus; intracellular membrane-bounded organelle"	"GO:0006310; GO:0015074; GO:0003677; GO:0006310; GO:0015074; GO:0003677; GO:0005634; GO:0043231; GO:0006310; GO:0015074; GO:0003677; GO:0005634; GO:0043231"
"Pastreoides02209"	1.33463727801465e-67	4.97278769464092e-61	0.0101283530551894	5.05349385106842e-23	0.910703919374959	0.360714807509322	0.807129947956919	288	"xenobiotic transport; transmembrane transport; AT binding; AB-type xenobiotic transporter activity; integral component of membrane; xenobiotic transport; transmembrane transport; AT binding; AB-type xenobiotic transporter activity; integral component of membrane"	"GO:0042908; GO:0055085; GO:0005524; GO:0008559; GO:0016021; GO:0042908; GO:0055085; GO:0005524; GO:0008559; GO:0016021"
"Pastreoides28896"	0.567511106941748	3.12457067870788e-59	0	0	8.12381816835542e-44	3.96611330388521e-28	0.000121721081887748	944	"metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; host cell cytoplasm; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0030430; GO:0031225"
"Pastreoides15601"	0	6.91619267214155e-56	0.866442979387116	5.54225793957715e-172	0.000444318875062636	0.779819294810324	0.973223460339163	2163	"protein phosphorylation; protein kinase activity; protein binding; AT binding; positive regulation of protein phosphorylation; organelle organization; positive regulation of signal transduction; regulation of gene expression; regulation of autophagy; peptidyl-amino acid modification; telencephalon development; regulation of anatomical structure morphogenesis; regulation of proteolysis; negative regulation of cellular protein metabolic process; regulation of intracellular transport; protein localization to organelle; cellular response to stress; regulation of membrane potential; homeostatic process; positive regulation of catalytic activity; negative regulation of molecular function; cell development; negative regulation of response to stimulus; modulation of chemical synaptic transmission; regulation of cellular component organization; regulation of multicellular organismal process; negative regulation of cell death; regulation of vesicle-mediated transport; cellular response to chemical stimulus; regulation of response to stress; regulation of intracellular signal transduction; nucleotide binding; protein serine/threonine kinase activity; cytoskeletal protein binding; hydrolase activity; ion binding; vacuole; endoplasmic reticulum; Golgi apparatus; axon; cytoplasmic vesicle; mitochondrial membrane; somatodendritic compartment; bounding membrane of organelle; presynapse"	"GO:0006468; GO:0004672; GO:0005515; GO:0005524; GO:0001934; GO:0006996; GO:0009967; GO:0010468; GO:0010506; GO:0018193; GO:0021537; GO:0022603; GO:0030162; GO:0032269; GO:0032386; GO:0033365; GO:0033554; GO:0042391; GO:0042592; GO:0043085; GO:0044092; GO:0048468; GO:0048585; GO:0050804; GO:0051128; GO:0051239; GO:0060548; GO:0060627; GO:0070887; GO:0080134; GO:1902531; GO:0000166; GO:0004674; GO:0008092; GO:0016787; GO:0043167; GO:0005773; GO:0005783; GO:0005794; GO:0030424; GO:0031410; GO:0031966; GO:0036477; GO:0098588; GO:0098793"
"Pastreoides10280"	2.79293748090871e-59	5.38027534354205e-49	0.000138676062886981	1.12872537218639e-09	0.720242987308562	0.887261982330056	0.496441611403599	580	"protein phosphorylation; GTase activity; protein kinase activity; protein tyrosine kinase activity; AT binding; GT binding; protein phosphorylation; intracellular protein transport; response to stress; signal transduction; response to hormone; vesicle-mediated transport; regulation of response to stimulus; response to other organism; cellular response to organic substance; response to oxygen-containing compound; protein kinase activity; binding; endosome; membrane"	"GO:0006468; GO:0003924; GO:0004672; GO:0004713; GO:0005524; GO:0005525; GO:0006468; GO:0006886; GO:0006950; GO:0007165; GO:0009725; GO:0016192; GO:0048583; GO:0051707; GO:0071310; GO:1901700; GO:0004672; GO:0005488; GO:0005768; GO:0016020"
