"gene"	"adj.pval.Origin"	"adj.pval.Treatment"	"adj.pval.LifeStage"	"adj.pval.Origin_x_Treatment"	"adj.pval.Origin_x_LifeStage"	"adj.pval.Treatment_x_LifeStage"	"adj.pval.Origin_x_Treatment_x_LifeStage"	"Length"	"GO_Name"	"GO_IDs"
"Pastreoides57974"	9.16263669547083e-118	7.29051004064905e-75	0	0	0.00565050983356822	6.47951991064559e-14	6.27595080957338e-56	1753	"biological; process; metabolic process; molecular; function; exo-alpha-sialidase activity; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; cellular; component; plasma membrane; membrane; anchored component of membrane"	"GO:0008150; GO:0008152; GO:0003674; GO:0004308; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005575; GO:0005886; GO:0016020; GO:0031225"
"Pastreoides28894"	3.6618112568958e-55	2.04469749554635e-102	0	4.04285088479803e-108	9.51736829542887e-85	3.03858588733174e-49	1.88497284517619e-21	936	"metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0031225"
"Pastreoides31715"	4.90402852435654e-98	6.14596132927723e-85	0	1.73401700648313e-182	1.01383785175017e-55	2.03761648887715e-25	4.25948643679383e-20	947	""	""
"Pastreoides64576"	0.954443013277195	1.46193194278182e-48	4.63836749996451e-111	0.00102974063675423	0.193537067424113	2.46494544644306e-38	4.67843901401803e-11	231	"respiratory electron transport chain; electron transfer activity; oxidoreductase activity; membrane; aerobic respiration; electron transport chain; NADH dehydrogenase (ubiquinone) activity; mitochondrial respiratory chain complex I"	"GO:0022904; GO:0009055; GO:0016491; GO:0016020; GO:0009060; GO:0022900; GO:0008137; GO:0005747"
"Pastreoides57984"	6.69951820768168e-20	6.20347283540899e-21	0	2.75338172024036e-08	1.86294853861925e-19	0.688508805157692	8.49692727245911e-11	307	""	""
"Pastreoides57986"	1.04765789133256e-05	0.965785091411258	0	1.05126013093858e-101	5.17365002224286e-68	0.788642931500582	6.25148558925516e-06	396	""	""
"Pastreoides57982"	0.000438810502250101	8.6141232861072e-16	0	1.63401031232759e-21	9.53476886028921e-76	5.52262941580329e-09	3.99111619440153e-05	205	""	""
"Pastreoides02887"	0.000237308142695446	0.26539744251919	0.135302069084434	0.901485425607197	0.72144763664556	0.583402921400286	8.06775166614102e-05	316	"RNA-dependent DNA biosynthetic process; RNA-directed DNA polymerase activity; RNA-dependent DNA biosynthetic process; RNA-directed DNA polymerase activity"	"GO:0006278; GO:0003964; GO:0006278; GO:0003964"
"Pastreoides28896"	0.567511106941748	3.12457067870788e-59	0	0	8.12381816835542e-44	3.96611330388521e-28	0.000121721081887748	944	"metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; host cell cytoplasm; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0030430; GO:0031225"
"Pastreoides41700"	0.0567294502227796	0.000768590268265442	0.0488337684347337	0.0236821619509867	0.243728736706248	0.975230750267918	0.000403570400302361	1011	"protein binding; negative regulation of macromolecule metabolic process; RNA metabolic process; regulation of telomere maintenance; regulation of dephosphorylation; regulation of DNA biosynthetic process; nuclease activity; ubiquitin protein ligase binding; telomeric DNA binding; histone deacetylase binding; protein phosphatase 2A binding; telomerase RNA binding; nucleus; cytoplasm; intracellular non-membrane-bounded organelle"	"GO:0005515; GO:0010605; GO:0016070; GO:0032204; GO:0035303; GO:2000278; GO:0004518; GO:0031625; GO:0042162; GO:0042826; GO:0051721; GO:0070034; GO:0005634; GO:0005737; GO:0043232"
"Pastreoides51853"	1.93795793956532e-55	2.18016146802669e-05	0.00562459038344068	0.882726278711952	0.247882164159631	0.0576514527001692	0.000568672553087655	219	""	""
"Pastreoides00942"	3.57441411878555e-36	7.24873479003822e-06	1.06503568611412e-34	0.00110419715357741	1.26961723116006e-05	0.983381248098326	0.00110155756738657	375	""	""
"Pastreoides09788"	3.84740040473399e-22	0.358159783248489	0	1.01372802666542e-180	8.71205950715811e-13	0.873584342879206	0.00110155756738657	1810	"binding; cellular anatomical entity"	"GO:0005488; GO:0110165"
"Pastreoides64575"	0.153603049229164	1.02992015040581e-77	2.06883021536715e-127	7.03029627407007e-07	1.47799481330491e-13	5.10556022611484e-55	0.00123061267596606	526	"AT synthesis coupled proton transport; electron transfer activity; proton transmembrane transporter activity; oxidoreductase activity; membrane; proton-transporting AT synthase complex, coupling factor (o); AT synthesis coupled electron transport; NADH dehydrogenase (ubiquinone) activity; mitochondrial inner membrane; integral component of membrane; respirasome"	"GO:0015986; GO:0009055; GO:0015078; GO:0016491; GO:0016020; GO:0045263; GO:0042773; GO:0008137; GO:0005743; GO:0016021; GO:0070469"
"Pastreoides21874"	8.88964668950429e-17	0.568811418074561	0.202301365470636	0.00347310979796325	0.589548116454947	0.0353124192258516	0.00216354894452787	493	"protein binding; positive regulation of cell population proliferation; cell migration; lung alveolus development; protein binding; focal adhesion"	"GO:0005515; GO:0008284; GO:0016477; GO:0048286; GO:0005515; GO:0005925"
"Pastreoides02788"	6.46084462818758e-05	0.000137674422048574	0.872917315246079	0.339716575720866	0.56486653914607	0.756939359747046	0.00234908268087945	383	""	""
"Pastreoides57980"	7.24086018068828e-11	1.39749762258169e-40	1.43267783986718e-70	0.138788844678541	0.0937785296530149	0.0694290480272028	0.00268476489523469	116	""	""
"Pastreoides24355"	0.147338254050951	0.918032031260252	0.759896012564887	0.843923816008451	0.0542899765708999	0.00044331327000473	0.00289117676886849	613	"fatty acid biosynthetic process; acyl-oA metabolic process; sensory perception of smell; regulation of blood pressure; cholesterol homeostasis; nucleotide binding; fatty-acyl-oA synthase activity; protein binding; odorant binding; propionate oA-transferase activity; ion binding; butyrate-oA ligase activity; decanoate-oA ligase activity; mitochondrial matrix"	"GO:0006633; GO:0006637; GO:0007608; GO:0008217; GO:0042632; GO:0000166; GO:0004321; GO:0005515; GO:0005549; GO:0018729; GO:0043167; GO:0047760; GO:0102391; GO:0005759"
"Pastreoides57983"	1.94626763453198e-34	1.32090107590303e-12	0	2.25210950417217e-15	8.12381816835542e-44	1.9106155944727e-07	0.00369247970473202	420	""	""
"Pastreoides02486"	0.00136294007563178	0.000147114984396291	0.000218211530245825	0.599687580844802	0.20430525499404	0.00279434654573005	0.0058180577224669	954	"protein binding; intracellular protein transport; cellular response to DNA damage stimulus; signal transduction; nervous system development; positive regulation of keratinocyte proliferation; cellular component organization; protein stabilization; regulation of insulin secretion involved in cellular response to glucose stimulus; positive regulation of cell cycle G1/S phase transition; protein -terminus binding; syntaxin binding; apicolateral plasma membrane; cytoplasmic vesicle; apical junction complex; apical part of cell; synapse"	"GO:0005515; GO:0006886; GO:0006974; GO:0007165; GO:0007399; GO:0010838; GO:0016043; GO:0050821; GO:0061178; GO:1902808; GO:0008022; GO:0019905; GO:0016327; GO:0031410; GO:0043296; GO:0045177; GO:0045202"
"Pastreoides30065"	0.000652231103581768	0.855723747524034	0.784947583289025	0.938821979091282	0.57231932547899	0.674588116603494	0.0058180577224669	863	"metalloexopeptidase activity; proteolysis; neurotransmitter catabolic process; peptide catabolic process; aminopeptidase activity; carboxypeptidase activity; calcium ion binding; zinc ion binding; protein homodimerization activity; N-formylglutamate deformylase activity; integral component of membrane; apical plasma membrane"	"GO:0008235; GO:0006508; GO:0042135; GO:0043171; GO:0004177; GO:0004180; GO:0005509; GO:0008270; GO:0042803; GO:0050129; GO:0016021; GO:0016324"
"Pastreoides02895"	2.2370931758027e-13	1.13936160768285e-15	0.462876318516239	5.99063514726724e-06	0.0674631507432189	0.804420365506259	0.00585603464147358	356	"nucleotide binding; helicase activity; AT binding; hydrolase activity; nucleotide binding; helicase activity; AT binding; hydrolase activity"	"GO:0000166; GO:0004386; GO:0005524; GO:0016787; GO:0000166; GO:0004386; GO:0005524; GO:0016787"
"Pastreoides13806"	3.64294660792138e-10	0.271718656436005	0.615952663811478	0.000147561188166784	0.110075454427653	0.0675886492651357	0.00585603464147358	203	"protein binding"	"GO:0005515"
"Pastreoides48451"	7.79200760303862e-06	0.0657452524883508	2.10375256730617e-08	0.00480127980104586	0.562665235737027	0.163521984592484	0.00888006614268659	108	"intracellular protein transport; retrograde transport, endosome to Golgi; regulation of catalytic activity; guanyl-nucleotide exchange factor activity; Golgi membrane; cytoplasm; cytosol; membrane; Ric1-Rgp1 guanyl-nucleotide exchange factor complex"	"GO:0006886; GO:0042147; GO:0050790; GO:0005085; GO:0000139; GO:0005737; GO:0005829; GO:0016020; GO:0034066"
"Pastreoides22987"	0.946872973527072	0.834101029270769	0.55645906055993	0.773225641598314	0.373014958343551	0.809935400727938	0.00951936817192744	440	"protein glycosylation; fucosyltransferase activity; membrane; transferase activity; cellular anatomical entity"	"GO:0006486; GO:0008417; GO:0016020; GO:0016740; GO:0110165"
"Pastreoides00835"	8.94134966718186e-33	0.976439581475014	0.00627200452955997	0.00480959243448948	0.299108840054825	0.00355831095558801	0.00969906163912239	878	"ubiquitin-protein transferase activity; intracellular membrane-bounded organelle"	"GO:0004842; GO:0043231"
"Pastreoides09298"	0.983567219793504	0.528974553541684	0.94200459627487	0.815111924661716	0.810735657997522	0.801687519833603	0.0108063308338408	820	"protein phosphorylation; transmembrane receptor protein tyrosine kinase signaling pathway; protein kinase activity; protein tyrosine kinase activity; transmembrane receptor protein tyrosine kinase activity; AT binding; protein tyrosine kinase collagen receptor activity; integral component of plasma membrane; membrane; regulation of cell growth; regulation of cell-matrix adhesion; endochondral bone growth; embryo implantation; negative regulation of cell population proliferation; positive regulation of fibroblast migration; smooth muscle cell migration; collagen fibril organization; regulation of bone mineralization; animal organ regeneration; regulation of tissue remodeling; chondrocyte proliferation; collagen-activated tyrosine kinase receptor signaling pathway; peptidyl-tyrosine autophosphorylation; ear development; skin development; wound healing, spreading of cells; positive regulation of osteoblast differentiation; positive regulation of protein kinase activity; positive regulation of fibroblast proliferation; positive regulation of DNA-binding transcription factor activity; branching involved in mammary gland duct morphogenesis; mammary gland alveolus development; smooth muscle cell-matrix adhesion; axon development; positive regulation of extracellular matrix disassembly; neuron projection extension; protein binding; collagen binding; protein tyrosine kinase collagen receptor activity; cytoplasm; integral component of plasma membrane; brush border; actin cytoskeleton; basolateral plasma membrane; receptor complex"	"GO:0006468; GO:0007169; GO:0004672; GO:0004713; GO:0004714; GO:0005524; GO:0038062; GO:0005887; GO:0016020; GO:0001558; GO:0001952; GO:0003416; GO:0007566; GO:0008285; GO:0010763; GO:0014909; GO:0030199; GO:0030500; GO:0031100; GO:0034103; GO:0035988; GO:0038063; GO:0038083; GO:0043583; GO:0043588; GO:0044319; GO:0045669; GO:0045860; GO:0048146; GO:0051091; GO:0060444; GO:0060749; GO:0061302; GO:0061564; GO:0090091; GO:1990138; GO:0005515; GO:0005518; GO:0038062; GO:0005737; GO:0005887; GO:0005903; GO:0015629; GO:0016323; GO:0043235"
"Pastreoides15746"	0.843546049451836	0.342874867897755	0.609766035841856	0.997485344117487	0.850745352943168	0.921174149683578	0.0250546229770607	1215	"binding; nucleoplasm; cytoplasm"	"GO:0005488; GO:0005654; GO:0005737"
"Pastreoides01939"	3.25507354811441e-48	0.97212123633017	0.847287091147497	0.841856275849072	0.909172274295327	0.289226725789852	0.0253228218288884	596	"helicase activity; regulation of gene expression; organic cyclic compound binding; heterocyclic compound binding; intracellular anatomical structure"	"GO:0004386; GO:0010468; GO:0097159; GO:1901363; GO:0005622"
"Pastreoides17880"	1.57539381075176e-14	1.27053455094494e-37	5.03042811955832e-10	0.0018358384298694	0.055294035987902	0.334646845455828	0.0253228218288884	409	"DNA replication; nucleotide binding; DNA binding; DNA-directed DNA polymerase activity; DNA replication; DNA biosynthetic process; nucleotide binding; nucleic acid binding; DNA binding; DNA-directed DNA polymerase activity; transferase activity; nucleotidyltransferase activity; mitochondrion"	"GO:0006260; GO:0000166; GO:0003677; GO:0003887; GO:0006260; GO:0071897; GO:0000166; GO:0003676; GO:0003677; GO:0003887; GO:0016740; GO:0016779; GO:0005739"
"Pastreoides27461"	3.49702622926453e-11	0.148828147527355	4.9918656507915e-07	0.277192237509306	0.920894545847254	0.684100305793274	0.0299016916242918	283	"AT binding; response to aluminum ion; cellular aluminum ion homeostasis; auxin influx; aluminum ion transmembrane transport; auxin influx transmembrane transporter activity; auxin efflux transmembrane transporter activity; aluminum ion transmembrane transporter activity; ATase-coupled transmembrane transporter activity; plasma membrane; plant-type vacuole membrane; integral component of membrane"	"GO:0005524; GO:0010044; GO:0010217; GO:0060919; GO:1902602; GO:0010328; GO:0010329; GO:0015083; GO:0042626; GO:0005886; GO:0009705; GO:0016021"
"Pastreoides35760"	0.000118192039989041	0.133918561037517	4.72622754227428e-15	0.604064632224569	0.120981922846675	0.924921808580483	0.0299016916242918	67	"DNA recombination; DNA integration; DNA binding; DNA recombination; DNA integration; DNA binding"	"GO:0006310; GO:0015074; GO:0003677; GO:0006310; GO:0015074; GO:0003677"
"Pastreoides17097"	0.360484555092462	0.500877746974857	0.998482816968383	0.799810584306205	0.882380314355057	0.971763817103763	0.0375155794998787	853	"protein binding; cell adhesion; axonogenesis; visual perception; response to bacterium; regulation of locomotion; positive regulation of cellular process; positive regulation of response to stimulus; regulation of multicellular organismal process; basement membrane organization; neuron projection guidance; neuron projection extension; protein binding; extracellular region; basement membrane; muscle tendon junction; cell cortex; membrane"	"GO:0005515; GO:0007155; GO:0007409; GO:0007601; GO:0009617; GO:0040012; GO:0048522; GO:0048584; GO:0051239; GO:0071711; GO:0097485; GO:1990138; GO:0005515; GO:0005576; GO:0005604; GO:0005927; GO:0005938; GO:0016020"
"Pastreoides06635"	0.94745322091636	0.0585639956668595	0.49666864232684	0.750748018600006	0.82436749121571	0.922798082887704	0.0384948862059644	3730	"microtubule-based movement; cilium-dependent cell motility; microtubule motor activity; AT binding; minus-end-directed microtubule motor activity; AT hydrolysis activity; axonemal dynein complex; dynein complex; cilium movement; cell projection organization; protein binding; AT-dependent activity; axonemal dynein complex"	"GO:0007018; GO:0060285; GO:0003777; GO:0005524; GO:0008569; GO:0016887; GO:0005858; GO:0030286; GO:0003341; GO:0030030; GO:0005515; GO:0140657; GO:0005858"
"Pastreoides14803"	7.3310315722363e-24	0.914311270153661	0.540879379067557	0.637242207496466	0.231613523406677	0.555151090407261	0.0384948862059644	241	"calcium ion binding; skeletal system development; kidney development; epidermis development; anatomical structure morphogenesis; sequestering of BM in extracellular matrix; negative regulation of osteoclast differentiation; Tie signaling pathway; tight junction organization; chromatin binding; signaling receptor binding; protein-containing complex binding; microfibril; extracellular space; intracellular anatomical structure; collagen-containing extracellular matrix"	"GO:0005509; GO:0001501; GO:0001822; GO:0008544; GO:0009653; GO:0035582; GO:0045671; GO:0048014; GO:0120193; GO:0003682; GO:0005102; GO:0044877; GO:0001527; GO:0005615; GO:0005622; GO:0062023"
"Pastreoides15593"	0.237177503303421	0.756664632245365	0.293521361451334	0.905401748987697	0.968843346471215	0.532507200444781	0.0385438612839272	547	"synapse assembly; behavior; metabolic process; regulation of biological quality; protein binding; carboxylic ester hydrolase activity; plasma membrane; integral component of membrane; organelle; synapse"	"GO:0007416; GO:0007610; GO:0008152; GO:0065008; GO:0005515; GO:0052689; GO:0005886; GO:0016021; GO:0043226; GO:0045202"
"Pastreoides11992"	6.14477971655893e-34	5.93460298856993e-05	0.498183530442029	5.0358953663823e-10	0.332228005658108	5.63150783092215e-08	0.0389686988728955	363	"cytoplasm; intracellular organelle"	"GO:0005737; GO:0043229"
"Pastreoides16125"	0.701496389946829	0.00199952460431118	0.253253680138776	0.948111613095141	0.981127656649834	0.702114862517576	0.0394498132445194	720	""	""
"Pastreoides55945"	8.22765546257831e-07	0.432993861296037	3.12587908222178e-09	0.000245285480101374	4.4162925698657e-07	0.498472096680751	0.0396478558033075	160	""	""
"Pastreoides23628"	0.88935670252847	0.255886063106485	0.549666226068653	0.404594245816816	0.937356259245876	0.536095690594056	0.0416159679400312	593	"protein phosphorylation; intracellular signal transduction; protein kinase activity; protein kinase  activity; AT binding; macrophage activation involved in immune response; neuropeptide signaling pathway; sensory perception of chemical stimulus; chemosensory behavior; associative learning; positive regulation of epithelial cell migration; positive regulation of fibroblast migration; positive regulation of cell-substrate adhesion; negative regulation of mitochondrial membrane potential; peptidyl-serine phosphorylation; positive regulation of actin filament polymerization; negative regulation of protein ubiquitination; lipopolysaccharide-mediated signaling pathway; positive regulation of insulin secretion; positive regulation of synaptic transmission, GABAergic; positive regulation of cytokinesis; locomotory exploration behavior; TRAM-dependent toll-like receptor 4 signaling pathway; cellular response to platelet-derived growth factor stimulus; c-gamma receptor signaling pathway involved in phagocytosis; dauer larval development; negative regulation of apoptotic process; positive regulation of I-kappaB kinase/N-kappaB signaling; response to morphine; positive regulation of MAK cascade; insulin-like growth factor receptor signaling pathway; regulation of peptidyl-tyrosine phosphorylation; sensory processing; positive regulation of positive chemotaxis; sensory perception of touch; positive regulation of lipid catabolic process; negative regulation of release of sequestered calcium ion into cytosol; negative regulation of mitochondrial calcium ion concentration; regulation of insulin secretion involved in cellular response to glucose stimulus; positive regulation of mucus secretion; cellular response to ethanol; cellular response to prostaglandin E stimulus; cellular response to hypoxia; positive regulation of wound healing; response to salt; positive regulation of protein localization to plasma membrane; dense core granule exocytosis; regulation of synaptic vesicle exocytosis; negative regulation of sodium ion transmembrane transporter activity; negative regulation of response to drug; positive regulation of cellular glucuronidation; actin monomer binding; calcium-independent protein kinase  activity; signaling receptor binding; enzyme activator activity; SH3 domain binding; protein kinase binding; signaling receptor activator activity; ethanol binding; 14-3-3 protein binding; Golgi membrane; nucleus; mitochondrion; endoplasmic reticulum; T-tubule; neuromuscular junction; neuron projection; intermediate filament cytoskeleton; perinuclear region of cytoplasm; glutamatergic synapse; presynaptic cytosol"	"GO:0006468; GO:0035556; GO:0004672; GO:0004697; GO:0005524; GO:0002281; GO:0007218; GO:0007606; GO:0007635; GO:0008306; GO:0010634; GO:0010763; GO:0010811; GO:0010917; GO:0018105; GO:0030838; GO:0031397; GO:0031663; GO:0032024; GO:0032230; GO:0032467; GO:0035641; GO:0035669; GO:0036120; GO:0038096; GO:0040024; GO:0043066; GO:0043123; GO:0043278; GO:0043410; GO:0048009; GO:0050730; GO:0050893; GO:0050927; GO:0050975; GO:0050996; GO:0051280; GO:0051562; GO:0061178; GO:0070257; GO:0071361; GO:0071380; GO:0071456; GO:0090303; GO:1902074; GO:1903078; GO:1990504; GO:2000300; GO:2000650; GO:2001024; GO:2001031; GO:0003785; GO:0004699; GO:0005102; GO:0008047; GO:0017124; GO:0019901; GO:0030546; GO:0035276; GO:0071889; GO:0000139; GO:0005634; GO:0005739; GO:0005783; GO:0030315; GO:0031594; GO:0043005; GO:0045111; GO:0048471; GO:0098978; GO:0099523"
"Pastreoides28610"	8.16247457000825e-10	0.844415574541813	0.00033947956750721	1.91400266905277e-24	0.909172274295327	0.450142553409666	0.0416159679400312	191	""	""
"Pastreoides54848"	0.354078500244494	0.885676153120421	0.759896012564887	0.486208498690703	0.998107006399234	0.873584342879206	0.0416159679400312	360	"endocytosis; regulation of signal transduction; cell migration; positive regulation of osteoblast proliferation; ossification involved in bone remodeling; positive regulation of osteoblast differentiation; Wnt signaling pathway, planar cell polarity pathway; inner ear receptor cell stereocilium organization; cochlea morphogenesis; establishment of planar polarity involved in neural tube closure; frizzled binding; Wnt-protein binding; signaling receptor activity; extracellular space; cytoplasm; plasma membrane; integral component of membrane; extracellular matrix"	"GO:0006897; GO:0009966; GO:0016477; GO:0033690; GO:0043932; GO:0045669; GO:0060071; GO:0060122; GO:0090103; GO:0090177; GO:0005109; GO:0017147; GO:0038023; GO:0005615; GO:0005737; GO:0005886; GO:0016021; GO:0031012"
"Pastreoides30877"	0.789160102376893	0.981338236404637	0.759896012564887	0.950750928587584	0.925949183398995	0.922798082887704	0.0436243550081349	597	"membrane; integral component of membrane; membrane; integral component of membrane"	"GO:0016020; GO:0016021; GO:0016020; GO:0016021"
"Pastreoides19315"	8.42049362511894e-05	6.74873265107234e-15	0.833364855724318	0.557404186567284	0.738712745256034	0.188644497191007	0.0446385194173595	510	"intracellular transport; transport; cellular process; small GTase binding; R-SMAD binding; nucleoplasm"	"GO:0046907; GO:0006810; GO:0009987; GO:0031267; GO:0070412; GO:0005654"
