"gene"	"adj.pval.Origin"	"adj.pval.Treatment"	"adj.pval.LifeStage"	"adj.pval.Origin_x_Treatment"	"adj.pval.Origin_x_LifeStage"	"adj.pval.Treatment_x_LifeStage"	"adj.pval.Origin_x_Treatment_x_LifeStage"	"Length"	"GO_Name"	"GO_IDs"
"Pastreoides04543"	0	0.00016849989016816	0.861472232879381	2.37674203985356e-60	0.957634228230725	0.443381939838838	0.891331365042626	988	"nucleic acid binding; helicase activity; AT binding; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); brain development; ribosome assembly; positive regulation of male gonad development; nucleotide binding; RNA helicase activity; protein binding; hydrolase activity; U3 snoRNA binding; nucleoplasm; nucleolus; cytoplasm; nuclear membrane; small-subunit processome"	"GO:0003676; GO:0004386; GO:0005524; GO:0000462; GO:0007420; GO:0042255; GO:2000020; GO:0000166; GO:0003724; GO:0005515; GO:0016787; GO:0034511; GO:0005654; GO:0005730; GO:0005737; GO:0031965; GO:0032040"
"Pastreoides08545"	0	2.14898474731901e-226	0	1.87826105703099e-34	4.39353095858297e-27	0.00348552590717796	0.464389866586186	337	"positive regulation of biological process; regulation of cellular process; response to stimulus; binding; cellular anatomical entity"	"GO:0048518; GO:0050794; GO:0050896; GO:0005488; GO:0110165"
"Pastreoides15601"	0	6.91619267214155e-56	0.866442979387116	5.54225793957715e-172	0.000444318875062636	0.779819294810324	0.973223460339163	2163	"protein phosphorylation; protein kinase activity; protein binding; AT binding; positive regulation of protein phosphorylation; organelle organization; positive regulation of signal transduction; regulation of gene expression; regulation of autophagy; peptidyl-amino acid modification; telencephalon development; regulation of anatomical structure morphogenesis; regulation of proteolysis; negative regulation of cellular protein metabolic process; regulation of intracellular transport; protein localization to organelle; cellular response to stress; regulation of membrane potential; homeostatic process; positive regulation of catalytic activity; negative regulation of molecular function; cell development; negative regulation of response to stimulus; modulation of chemical synaptic transmission; regulation of cellular component organization; regulation of multicellular organismal process; negative regulation of cell death; regulation of vesicle-mediated transport; cellular response to chemical stimulus; regulation of response to stress; regulation of intracellular signal transduction; nucleotide binding; protein serine/threonine kinase activity; cytoskeletal protein binding; hydrolase activity; ion binding; vacuole; endoplasmic reticulum; Golgi apparatus; axon; cytoplasmic vesicle; mitochondrial membrane; somatodendritic compartment; bounding membrane of organelle; presynapse"	"GO:0006468; GO:0004672; GO:0005515; GO:0005524; GO:0001934; GO:0006996; GO:0009967; GO:0010468; GO:0010506; GO:0018193; GO:0021537; GO:0022603; GO:0030162; GO:0032269; GO:0032386; GO:0033365; GO:0033554; GO:0042391; GO:0042592; GO:0043085; GO:0044092; GO:0048468; GO:0048585; GO:0050804; GO:0051128; GO:0051239; GO:0060548; GO:0060627; GO:0070887; GO:0080134; GO:1902531; GO:0000166; GO:0004674; GO:0008092; GO:0016787; GO:0043167; GO:0005773; GO:0005783; GO:0005794; GO:0030424; GO:0031410; GO:0031966; GO:0036477; GO:0098588; GO:0098793"
"Pastreoides49786"	0	0	0	2.91776638752279e-66	0	0.392464685393428	0.92563977428179	645	"catalytic activity; lyase activity; catalytic activity; lyase activity"	"GO:0003824; GO:0016829; GO:0003824; GO:0016829"
"Pastreoides21061"	3.20766794118566e-305	2.67367600161582e-32	0.00284612901061581	2.9734713083536e-16	0.332228005658108	0.873584342879206	0.769585385408789	263	"protein binding; mitotic spindle assembly; positive regulation of non-motile cilium assembly; protein binding; centrosome; ciliary basal body"	"GO:0005515; GO:0090307; GO:1902857; GO:0005515; GO:0005813; GO:0036064"
"Pastreoides40768"	1.70579823744006e-298	0	0.0272822710584778	5.49898507181893e-34	0.894402317488595	0.293677828807363	0.618307980722011	244	"membrane; integral component of membrane; membrane; integral component of membrane"	"GO:0016020; GO:0016021; GO:0016020; GO:0016021"
"Pastreoides21450"	7.87875924139245e-229	7.32335820123742e-103	0.958053287184986	7.09276431140321e-08	0.524825632896766	0.820148745091785	0.835940952228689	314	"translation; RNA binding; structural constituent of ribosome; transferase activity; ribosome; large ribosomal subunit; translation; RNA binding; mitochondrial inner membrane; large ribosomal subunit; intracellular organelle lumen"	"GO:0006412; GO:0003723; GO:0003735; GO:0016740; GO:0005840; GO:0015934; GO:0006412; GO:0003723; GO:0005743; GO:0015934; GO:0070013"
"Pastreoides00414"	2.6040579505295e-208	1.32120749826285e-13	0.833789388441455	4.46246877599295e-59	0.513470685297754	0.00592266200265641	0.87524971818365	432	"glycogen metabolic process; calmodulin binding; carbohydrate metabolic process; generation of precursor metabolites and energy; cellular macromolecule metabolic process; protein binding; cytoplasm"	"GO:0005977; GO:0005516; GO:0005975; GO:0006091; GO:0044260; GO:0005515; GO:0005737"
"Pastreoides00785"	9.54589752871917e-200	2.31274947384799e-06	0.00163783601814202	5.98097098362044e-16	0.750576946459982	0.0166652232990977	0.333801438492573	444	"AD binding; defense response; signal transduction; defense response to fungus; nucleotide binding; NAD+ nucleosidase activity; AT binding; hydrolase activity; AD binding; NAD()+ nucleosidase activity; NAD+ nucleotidase, cyclic AD-ribose generating"	"GO:0043531; GO:0006952; GO:0007165; GO:0050832; GO:0000166; GO:0003953; GO:0005524; GO:0016787; GO:0043531; GO:0050135; GO:0061809"
"Pastreoides17076"	3.4886227419674e-135	0.00341634181870843	0.0732570995341188	4.67163601442953e-06	0.981156629654763	0.151121209649196	0.253891188559853	737	"protein binding; cell adhesion; signal transduction; regulation of anatomical structure morphogenesis; cell differentiation; nervous system process; regulation of cellular component organization; regulation of multicellular organismal development; protein binding; extracellular region; basement membrane; cell cortex; membrane; cell junction"	"GO:0005515; GO:0007155; GO:0007165; GO:0022603; GO:0030154; GO:0050877; GO:0051128; GO:2000026; GO:0005515; GO:0005576; GO:0005604; GO:0005938; GO:0016020; GO:0030054"
