"gene"	"adj.pval.Origin"	"adj.pval.Treatment"	"adj.pval.LifeStage"	"adj.pval.Origin_x_Treatment"	"adj.pval.Origin_x_LifeStage"	"adj.pval.Treatment_x_LifeStage"	"adj.pval.Origin_x_Treatment_x_LifeStage"	"Length"	"GO_Name"	"GO_IDs"
"Pastreoides28896"	0.605266424197971	6.22969243067557e-59	0	0	1.73540030737406e-43	8.47236373833817e-28	0.00015601147037834	944	"P:metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; host cell cytoplasm; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0030430; GO:0031225"
"Pastreoides28897"	4.70628789292469e-40	7.69794478742051e-123	0	0	1.15930291562616e-84	2.71916918244587e-32	0.301863455946104	1627	"P:metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; host cell cytoplasm; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0030430; GO:0031225"
"Pastreoides57974"	1.71264754234201e-117	1.55739002317149e-74	0	0	0.00891358027636332	1.38414728290835e-13	1.34066109534834e-55	1753	"P:biological; process; P:metabolic process; molecular; function; exo-alpha-sialidase activity; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; cellular; component; plasma membrane; membrane; anchored component of membrane"	"GO:0008150; GO:0008152; GO:0003674; GO:0004308; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005575; GO:0005886; GO:0016020; GO:0031225"
"Pastreoides31715"	9.37319784127149e-98	1.31289289825352e-84	0	3.70418636124134e-182	2.1657482763562e-55	4.35273193937536e-25	9.09906391118063e-20	947	""	""
"Pastreoides09788"	5.97728775634491e-22	0.383296946528942	0	2.16551366932551e-180	1.86105971764308e-12	0.861693045798848	0.00152953715349209	1810	"binding; cellular anatomical entity"	"GO:0005488; GO:0110165"
"Pastreoides15601"	0	1.30361364284476e-55	0.887603422887641	1.18393050319042e-171	0.000870052937766862	0.757765823201226	1	2163	"P:protein phosphorylation; protein kinase activity; protein binding; ATP binding; P:positive regulation of protein phosphorylation; P:organelle organization; P:positive regulation of signal transduction; P:regulation of gene expression; P:regulation of autophagy; P:peptidyl-amino acid modification; P:telencephalon development; P:regulation of anatomical structure morphogenesis; P:regulation of proteolysis; P:negative regulation of cellular protein metabolic process; P:regulation of intracellular transport; P:protein localization to organelle; P:cellular response to stress; P:regulation of membrane potential; P:homeostatic process; P:positive regulation of catalytic activity; P:negative regulation of molecular function; P:cell development; P:negative regulation of response to stimulus; P:modulation of chemical synaptic transmission; P:regulation of cellular component organization; P:regulation of multicellular organismal process; P:negative regulation of cell death; P:regulation of vesicle-mediated transport; P:cellular response to chemical stimulus; P:regulation of response to stress; P:regulation of intracellular signal transduction; nucleotide binding; protein serine/threonine kinase activity; cytoskeletal protein binding; hydrolase activity; ion binding; vacuole; endoplasmic reticulum; Golgi apparatus; axon; cytoplasmic vesicle; mitochondrial membrane; somatodendritic compartment; bounding membrane of organelle; presynapse"	"GO:0006468; GO:0004672; GO:0005515; GO:0005524; GO:0001934; GO:0006996; GO:0009967; GO:0010468; GO:0010506; GO:0018193; GO:0021537; GO:0022603; GO:0030162; GO:0032269; GO:0032386; GO:0033365; GO:0033554; GO:0042391; GO:0042592; GO:0043085; GO:0044092; GO:0048468; GO:0048585; GO:0050804; GO:0051128; GO:0051239; GO:0060548; GO:0060627; GO:0070887; GO:0080134; GO:1902531; GO:0000166; GO:0004674; GO:0008092; GO:0016787; GO:0043167; GO:0005773; GO:0005783; GO:0005794; GO:0030424; GO:0031410; GO:0031966; GO:0036477; GO:0098588; GO:0098793"
"Pastreoides28894"	6.8445276813637e-55	4.36785830101418e-102	0	8.63628963961201e-108	2.03308881648972e-84	6.49099077992469e-49	4.02665641588668e-21	936	"P:metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0031225"
"Pastreoides57986"	1.23340829677828e-05	0.970723436199729	0	2.24568930095863e-101	1.1051889213645e-67	0.772123301872448	1.14465845510187e-05	396	""	""
"Pastreoides58164"	2.84629713995388e-94	0.959719114874443	5.42454594460851e-06	8.76295879615776e-75	0.785066409571759	0.940585061465489	1	93	"P:protein folding in endoplasmic reticulum; protein-disulfide reductase activity; thiol oxidase activity; AD binding; endoplasmic reticulum membrane; P:protein folding in endoplasmic reticulum; protein-disulfide reductase activity; thiol oxidase activity; AD binding; endoplasmic reticulum membrane"	"GO:0034975; GO:0015035; GO:0016972; GO:0071949; GO:0005789; GO:0034975; GO:0015035; GO:0016972; GO:0071949; GO:0005789"
"Pastreoides01536"	8.03572475468077e-249	5.75606337081471e-57	0.0130678433929611	1.6423431473181e-68	0.757497910007251	0.739258374760703	0.38454478071411	737	"P:regulation of transcription, DNA-templated; P:positive regulation of biosynthetic process; P:negative regulation of cellular metabolic process; P:positive regulation of cellular metabolic process; P:chemical homeostasis; DNA-binding transcription factor activity; protein binding; sequence-specific DNA binding; cytoplasm; intracellular membrane-bounded organelle"	"GO:0006355; GO:0009891; GO:0031324; GO:0031325; GO:0048878; GO:0003700; GO:0005515; GO:0043565; GO:0005737; GO:0043231"
"Pastreoides49786"	0	0	0	5.66627055587827e-66	0	0.408104850944545	0.990560071518914	645	"catalytic activity; lyase activity; catalytic activity; lyase activity"	"GO:0003824; GO:0016829; GO:0003824; GO:0016829"
"Pastreoides04543"	0	0.000198881468927638	0.883961538669842	4.65407055641532e-60	0.964325674897397	0.440858416451294	0.943045011652627	988	"nucleic acid binding; helicase activity; ATP binding; P:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); P:brain development; P:ribosome assembly; P:positive regulation of male gonad development; nucleotide binding; RNA helicase activity; protein binding; hydrolase activity; U3 snoRNA binding; nucleoplasm; nucleolus; cytoplasm; nuclear membrane; small-subunit processome"	"GO:0003676; GO:0004386; GO:0005524; GO:0000462; GO:0007420; GO:0042255; GO:2000020; GO:0000166; GO:0003724; GO:0005515; GO:0016787; GO:0034511; GO:0005654; GO:0005730; GO:0005737; GO:0031965; GO:0032040"
"Pastreoides00414"	4.94467324941353e-208	2.08927032641271e-13	0.854510171235278	8.79938986439542e-59	0.513847373245035	0.00869819474935363	0.918975762945332	432	"P:glycogen metabolic process; calmodulin binding; P:carbohydrate metabolic process; P:generation of precursor metabolites and energy; P:cellular macromolecule metabolic process; protein binding; cytoplasm"	"GO:0005977; GO:0005516; GO:0005975; GO:0006091; GO:0044260; GO:0005515; GO:0005737"
"Pastreoides25398"	2.033074320167e-27	0.0187310325096809	0.424638592460098	3.98393920160345e-52	0.402427682652962	0.100263660626053	0.548419991105165	406	""	""
"Pastreoides05493"	7.77745532704504e-12	9.77851492841325e-09	0.587520648952103	7.77377232711858e-45	0.0140734399589247	0.00115634890481098	0.521143814617711	651	"P:dephosphorylation; phosphatidylinositol-3-phosphatase activity; protein tyrosine phosphatase activity; P:phosphate-containing compound metabolic process; P:primary metabolic process; P:organic substance metabolic process; phosphatidylinositol phosphate phosphatase activity; cytoplasm"	"GO:0016311; GO:0004438; GO:0004725; GO:0006796; GO:0044238; GO:0071704; GO:0052866; GO:0005737"
"Pastreoides29784"	0.313967874277584	0.745274985425713	0.00422452885018586	6.2691822442257e-35	0.778224806289677	0.00127680552731194	0.47787379897061	281	"P:axonemal dynein complex assembly; axonemal dynein complex; P:regulation of cilium movement; P:cilium-dependent cell motility; P:axonemal dynein complex assembly; axoneme; ciliary basal body"	"GO:0070286; GO:0005858; GO:0003352; GO:0060285; GO:0070286; GO:0005930; GO:0036064"
"Pastreoides08545"	0	4.59063547922139e-226	0	3.54028127156187e-34	9.38540821319962e-27	0.00507664002095484	0.465428329942001	337	"P:positive regulation of biological process; P:regulation of cellular process; P:response to stimulus; binding; cellular anatomical entity"	"GO:0048518; GO:0050794; GO:0050896; GO:0005488; GO:0110165"
"Pastreoides12587"	2.53018665397012e-17	0.886457760532612	0.71480163557818	5.13496479598231e-34	1	0.881222915154448	0.97972899786041	255	"P:metabolic process; P:negative regulation of endoplasmic reticulum calcium ion concentration; P:lipid homeostasis; protein binding"	"GO:0008152; GO:0032471; GO:0055088; GO:0005515"
"Pastreoides40768"	3.64390576478261e-298	0	0.0358006087036106	9.89209772637505e-34	0.901703036117087	0.319778167062029	0.625877427809073	244	"membrane; integral component of membrane; membrane; integral component of membrane"	"GO:0016020; GO:0016021; GO:0016020; GO:0016021"
"Pastreoides39834"	1.6144605696715e-11	0.0611016510012946	0.0250027615740122	2.17446315289994e-33	0.617580807314177	0.939650780603154	0.807202380554307	134	""	""
"Pastreoides35928"	2.44969418401361e-87	6.20408468982885e-07	0.896016608511049	1.29857439668449e-32	0.0230366858180855	0.919148101009298	0.867584823184829	179	"P:protein ubiquitination; P:ubiquitin-dependent protein catabolic process via the N-end rule pathway; zinc ion binding; ubiquitin protein ligase activity; P:protein ubiquitination; P:ubiquitin-dependent protein catabolic process via the N-end rule pathway; zinc ion binding; ubiquitin protein ligase activity"	"GO:0016567; GO:0071596; GO:0008270; GO:0061630; GO:0016567; GO:0071596; GO:0008270; GO:0061630"
"Pastreoides63879"	0.598029900133783	0.977927842103377	0.409994207626987	5.24921371918505e-32	0.00115623499163363	0.440434844398083	0.908512107955259	293	"nucleic acid binding; nucleic acid binding"	"GO:0003676; GO:0003676"
"Pastreoides12623"	9.73969096806758e-103	2.25870961318076e-26	4.09663671182302e-91	1.47410110924532e-31	0.00891358027636332	0.873254123794373	0.885114221795229	255	""	""
"Pastreoides03539"	3.35172007263653e-29	1.0862182696781e-05	0.0212598996689086	4.6059329794889e-30	0.546914398507446	0.00200152711914963	0.864390112478344	244	"P:protein peptidyl-prolyl isomerization; P:protein folding; peptidyl-prolyl cis-trans isomerase activity; P:protein peptidyl-prolyl isomerization; P:protein folding; P:RNA splicing; peptidyl-prolyl cis-trans isomerase activity; protein binding; cyclosporin A binding; cytosol; membrane; nuclear matrix; nuclear speck"	"GO:0000413; GO:0006457; GO:0003755; GO:0000413; GO:0006457; GO:0008380; GO:0003755; GO:0005515; GO:0016018; GO:0005829; GO:0016020; GO:0016363; GO:0016607"
"Pastreoides33854"	1.06566869192691e-67	0.000232726595117259	0.0963580108768884	5.35065235748492e-30	0.991226414501271	0.718253838187184	0.882020510752419	255	"DNA binding; P:tissue development; P:cell differentiation; P:pancreas development; P:positive regulation of transcription by RNA polymerase II; P:hematopoietic or lymphoid organ development; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription activator activity, RNA polymerase II-specific; protein binding; nucleus; transcription regulator complex"	"GO:0003677; GO:0009888; GO:0030154; GO:0031016; GO:0045944; GO:0048534; GO:0000977; GO:0001228; GO:0005515; GO:0005634; GO:0005667"
